GEO ID,State Abbreviation,State,Year,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
,US,United States,2012,8768,3.3,4804,3.7,3964,2.9,1449,2.7,2770,6.5,2005,4.9,1618,3.6,908,1.1
1,AL,Alabama,2012,63,2,35,2,28,1,7,1,17,3,13,2,16,2,9,1
2,AK,Alaska,2012,8,1,6,2,2,1,-1,-1,2,2,2,2,2,2,2,1
4,AZ,Arizona,2012,171,3,89,3,82,3,23,2,54,6,40,5,33,4,22,1
5,AR,Arkansas,2012,41,2,18,2,23,2,7,1,12,3,12,3,6,2,4,0
6,CA,California,2012,1063,3,767,5,296,2,92,1,316,6,289,6,227,4,140,2
8,CO,Colorado,2012,98,2,57,3,41,2,17,2,32,4,27,4,17,2,5,0
9,CT,Connecticut,2012,180,6,76,5,104,7,40,7,62,14,43,9,18,3,16,2
10,DE,Delaware,2012,46,6,18,5,28,7,13,9,14,12,13,12,3,2,3,1
11,DC,District of Columbia,2012,82,15,59,23,23,8,13,12,26,19,25,29,8,11,9,6
12,FL,Florida,2012,838,5,464,6,374,4,107,4,231,10,204,8,186,7,109,2
13,GA,Georgia,2012,280,3,151,4,129,3,27,2,106,8,69,5,54,4,24,1
15,HI,Hawaii,2012,26,2,12,2,14,2,2,1,9,5,3,2,5,3,7,2
16,ID,Idaho,2012,10,1,4,1,6,1,3,1,5,2,1,1,1,0,-1,-1
17,IL,Illinois,2012,332,3,185,4,147,3,55,3,82,5,79,5,73,4,43,1
18,IN,Indiana,2012,104,2,54,2,50,2,29,3,29,3,24,3,14,2,8,0
19,IA,Iowa,2012,60,2,22,2,38,3,12,2,23,6,8,2,11,3,6,1
20,KS,Kansas,2012,54,2,27,2,27,2,11,2,21,6,11,3,7,2,3,0
21,KY,Kentucky,2012,49,1,23,1,26,1,13,2,12,2,13,2,9,1,1,0
22,LA,Louisiana,2012,105,3,58,3,47,2,9,1,33,5,31,5,18,3,14,1
23,ME,Maine,2012,29,3,14,3,15,3,5,3,8,5,7,4,6,3,3,1
24,MD,Maryland,2012,197,4,106,4,91,4,25,3,78,10,36,5,38,4,17,1
25,MA,Massachusetts,2012,790,14,315,12,475,16,197,18,272,31,147,17,103,10,70,4
26,MI,Michigan,2012,142,2,85,2,57,1,22,1,46,4,32,3,23,2,19,1
27,MN,Minnesota,2012,105,2,54,2,51,2,20,2,32,4,20,3,24,3,9,1
28,MS,Mississippi,2012,37,2,15,1,22,2,5,1,13,3,5,1,9,2,5,1
29,MO,Missouri,2012,76,2,50,2,26,1,14,1,25,3,22,3,9,1,6,0
30,MT,Montana,2012,9,1,4,1,5,1,1,1,4,3,2,2,2,1,-1,-1
31,NE,Nebraska,2012,28,2,10,1,18,2,11,4,6,2,6,3,3,1,2,0
32,NV,Nevada,2012,42,2,26,2,16,1,7,2,15,4,7,2,10,3,3,0
33,NH,New Hampshire,2012,39,3,16,3,23,4,8,4,14,9,8,5,5,2,4,1
34,NJ,New Jersey,2012,334,4,151,4,183,5,64,5,100,9,67,6,65,5,37,2
35,NM,New Mexico,2012,38,2,22,3,16,2,3,1,13,5,8,3,10,4,4,1
36,NY,New York,2012,999,6,587,7,412,5,177,5,322,12,220,9,174,6,102,2
37,NC,North Carolina,2012,214,3,99,3,115,3,43,3,53,4,54,4,49,4,15,1
38,ND,North Dakota,2012,3,1,3,1,-1,-1,-1,-1,2,2,-1,-1,1,1,-1,-1
39,OH,Ohio,2012,198,2,96,2,102,2,46,2,75,5,45,3,24,1,8,0
40,OK,Oklahoma,2012,38,1,25,2,13,1,3,0,14,3,7,1,7,1,7,1
41,OR,Oregon,2012,83,3,36,2,47,3,19,3,28,5,16,3,9,2,10,1
42,PA,Pennsylvania,2012,394,4,186,4,208,4,96,5,134,9,70,4,59,3,31,1
44,RI,Rhode Island,2012,68,8,29,7,39,8,9,5,19,15,20,15,15,10,6,2
45,SC,South Carolina,2012,72,2,34,2,38,2,11,1,26,4,16,3,13,2,5,0
46,SD,South Dakota,2012,6,1,3,1,3,1,-1,-1,4,4,-1,-1,1,1,1,0
47,TN,Tennessee,2012,100,2,58,2,42,2,21,2,33,4,21,2,16,2,9,1
48,TX,Texas,2012,519,2,314,3,205,2,70,2,152,4,114,3,123,4,59,1
49,UT,Utah,2012,28,1,18,2,10,1,3,1,8,2,11,3,5,2,1,0
50,VT,Vermont,2012,8,1,3,1,5,2,2,2,2,3,3,4,1,1,-1,-1
