Indicator,Year,Full Name,FIPS,All Deaths,All Death Rates,Population
HIV deaths,2017,United States,,15969,5.9,272460904
HIV deaths,2016,United States,,16334,6.0,270301427
HIV deaths,2015,United States,,15859,5.9,268005522
HIV deaths,2014,United States,,16148,6.1,265732678
HIV deaths,2013,United States,,15917,6.0,263356005
HIV deaths,2012,United States,,16034,6.1,261032045
HIV deaths,2011,United States,,16331,6.3,258666188
HIV deaths,2010,United States,,16774,6.5,256390428
HIV deaths,2009,United States,,18064,7.1,253253138
HIV deaths,2008,United States,,18544,7.4,251009998
HIV deaths,2017,Alabama,1.0,244,6.0,4094777
HIV deaths,2016,Alabama,1.0,266,6.5,4082972
HIV deaths,2015,Alabama,1.0,276,6.8,4070748
HIV deaths,2014,Alabama,1.0,279,6.9,4059211
HIV deaths,2013,Alabama,1.0,244,6.0,4041871
HIV deaths,2012,Alabama,1.0,281,7.0,4019335
HIV deaths,2011,Alabama,1.0,255,6.4,3997493
HIV deaths,2010,Alabama,1.0,274,6.9,3980625
HIV deaths,2009,Alabama,1.0,310,8.0,3898688
HIV deaths,2008,Alabama,1.0,288,7.4,3870996
HIV deaths,2017,Alaska,2.0,8,1.3,603161
HIV deaths,2016,Alaska,2.0,13,2.2,604157
HIV deaths,2015,Alaska,2.0,12,2.0,600941
HIV deaths,2014,Alaska,2.0,12,2.0,599474
HIV deaths,2013,Alaska,2.0,16,2.7,599385
HIV deaths,2012,Alaska,2.0,11,1.9,592771
HIV deaths,2011,Alaska,2.0,12,2.1,584567
HIV deaths,2010,Alaska,2.0,16,2.8,577749
HIV deaths,2009,Alaska,2.0,13,2.3,565800
HIV deaths,2008,Alaska,2.0,21,3.8,559346
HIV deaths,2017,Arizona,4.0,197,3.4,5874596
HIV deaths,2016,Arizona,4.0,242,4.2,5770861
HIV deaths,2015,Arizona,4.0,213,3.8,5663944
HIV deaths,2014,Arizona,4.0,220,4.0,5567140
HIV deaths,2013,Arizona,4.0,214,3.9,5469060
HIV deaths,2012,Arizona,4.0,211,3.9,5388365
HIV deaths,2011,Arizona,4.0,191,3.6,5304658
HIV deaths,2010,Arizona,4.0,199,3.8,5229908
HIV deaths,2009,Arizona,4.0,213,4.0,5316387
HIV deaths,2008,Arizona,4.0,233,4.5,5235123
HIV deaths,2017,Arkansas,5.0,104,4.2,2495932
HIV deaths,2016,Arkansas,5.0,94,3.8,2482955
HIV deaths,2015,Arkansas,5.0,110,4.5,2470760
HIV deaths,2014,Arkansas,5.0,120,4.9,2459895
HIV deaths,2013,Arkansas,5.0,120,4.9,2449550
HIV deaths,2012,Arkansas,5.0,90,3.7,2438682
HIV deaths,2011,Arkansas,5.0,111,4.6,2426548
HIV deaths,2010,Arkansas,5.0,114,4.7,2407988
HIV deaths,2009,Arkansas,5.0,112,4.7,2374089
HIV deaths,2008,Arkansas,5.0,113,4.8,2357363
HIV deaths,2017,California,6.0,1708,5.2,32888662
HIV deaths,2016,California,6.0,1765,5.4,32663036
HIV deaths,2015,California,6.0,1698,5.2,32390164
HIV deaths,2014,California,6.0,1635,5.1,32069627
HIV deaths,2013,California,6.0,1607,5.1,31722579
HIV deaths,2012,California,6.0,1555,5.0,31393072
HIV deaths,2011,California,6.0,1605,5.2,31068145
HIV deaths,2010,California,6.0,1543,5.0,30753805
HIV deaths,2009,California,6.0,1632,5.4,30167113
HIV deaths,2008,California,6.0,1777,6.0,29836645
HIV deaths,2017,Colorado,8.0,133,2.8,4710781
HIV deaths,2016,Colorado,8.0,127,2.7,4632063
HIV deaths,2015,Colorado,8.0,124,2.7,4542949
HIV deaths,2014,Colorado,8.0,146,3.3,4447355
HIV deaths,2013,Colorado,8.0,114,2.6,4367984
HIV deaths,2012,Colorado,8.0,112,2.6,4290960
HIV deaths,2011,Colorado,8.0,126,3.0,4220896
HIV deaths,2010,Colorado,8.0,137,3.3,4152382
HIV deaths,2009,Colorado,8.0,144,3.5,4120964
HIV deaths,2008,Colorado,8.0,118,2.9,4049693
HIV deaths,2017,Connecticut,9.0,197,6.4,3060949
HIV deaths,2016,Connecticut,9.0,195,6.4,3060226
HIV deaths,2015,Connecticut,9.0,183,6.0,3061946
HIV deaths,2014,Connecticut,9.0,184,6.0,3061978
HIV deaths,2013,Connecticut,9.0,175,5.7,3054288
HIV deaths,2012,Connecticut,9.0,191,6.3,3043910
HIV deaths,2011,Connecticut,9.0,214,7.1,3029649
HIV deaths,2010,Connecticut,9.0,209,6.9,3013777
HIV deaths,2009,Connecticut,9.0,234,7.9,2951882
HIV deaths,2008,Connecticut,9.0,260,8.9,2932812
HIV deaths,2017,Delaware,10.0,65,8.0,811576
HIV deaths,2016,Delaware,10.0,55,6.8,803341
HIV deaths,2015,Delaware,10.0,70,8.8,795441
HIV deaths,2014,Delaware,10.0,88,11.2,786714
HIV deaths,2013,Delaware,10.0,72,9.3,777619
HIV deaths,2012,Delaware,10.0,77,10.0,768406
HIV deaths,2011,Delaware,10.0,70,9.2,760646
HIV deaths,2010,Delaware,10.0,77,10.2,752949
HIV deaths,2009,Delaware,10.0,82,11.1,736007
HIV deaths,2008,Delaware,10.0,95,13.0,728265
HIV deaths,2017,District of Columbia,11.0,230,38.5,596785
HIV deaths,2016,District of Columbia,11.0,253,42.8,590875
HIV deaths,2015,District of Columbia,11.0,255,43.8,582251
HIV deaths,2014,District of Columbia,11.0,210,36.7,572788
HIV deaths,2013,District of Columbia,11.0,200,35.5,564030
HIV deaths,2012,District of Columbia,11.0,231,41.8,552642
HIV deaths,2011,District of Columbia,11.0,279,51.5,541801
HIV deaths,2010,District of Columbia,11.0,258,48.6,530795
HIV deaths,2009,District of Columbia,11.0,290,56.2,515989
HIV deaths,2008,District of Columbia,11.0,308,60.6,508021
HIV deaths,2017,Florida,12.0,2077,11.6,17971716
HIV deaths,2016,Florida,12.0,2168,12.3,17658611
HIV deaths,2015,Florida,12.0,2080,12.0,17305349
HIV deaths,2014,Florida,12.0,1963,11.6,16983458
HIV deaths,2013,Florida,12.0,2000,12.0,16709125
HIV deaths,2012,Florida,12.0,1963,11.9,16480031
HIV deaths,2011,Florida,12.0,2012,12.4,16258521
HIV deaths,2010,Florida,12.0,2018,12.6,16018609
HIV deaths,2009,Florida,12.0,2229,14.3,15614290
HIV deaths,2008,Florida,12.0,2408,15.5,15508944
HIV deaths,2017,Georgia,13.0,791,9.2,8627633
HIV deaths,2016,Georgia,13.0,822,9.7,8516944
HIV deaths,2015,Georgia,13.0,822,9.8,8397538
HIV deaths,2014,Georgia,13.0,913,11.0,8288270
HIV deaths,2013,Georgia,13.0,836,10.2,8187895
HIV deaths,2012,Georgia,13.0,827,10.2,8106476
HIV deaths,2011,Georgia,13.0,816,10.2,8003157
HIV deaths,2010,Georgia,13.0,897,11.3,7912814
HIV deaths,2009,Georgia,13.0,967,12.2,7937181
HIV deaths,2008,Georgia,13.0,904,11.5,7826920
HIV deaths,2017,Hawaii,15.0,36,3.0,1198339
HIV deaths,2016,Hawaii,15.0,39,3.2,1200302
HIV deaths,2015,Hawaii,15.0,32,2.7,1193935
HIV deaths,2014,Hawaii,15.0,44,3.7,1187196
HIV deaths,2013,Hawaii,15.0,39,3.3,1180667
HIV deaths,2012,Hawaii,15.0,51,4.4,1168924
HIV deaths,2011,Hawaii,15.0,41,3.5,1155908
HIV deaths,2010,Hawaii,15.0,36,3.1,1144087
HIV deaths,2009,Hawaii,15.0,26,2.4,1083032
HIV deaths,2008,Hawaii,15.0,46,4.3,1077785
HIV deaths,2017,Idaho,16.0,19,1.4,1402234
HIV deaths,2016,Idaho,16.0,12,0.9,1369107
HIV deaths,2015,Idaho,16.0,14,1.0,1339988
HIV deaths,2014,Idaho,16.0,21,1.6,1320877
HIV deaths,2013,Idaho,16.0,14,1.1,1301066
HIV deaths,2012,Idaho,16.0,24,1.9,1283965
HIV deaths,2011,Idaho,16.0,14,1.1,1270672
HIV deaths,2010,Idaho,16.0,15,1.2,1256890
HIV deaths,2009,Idaho,16.0,7,0.6,1238079
HIV deaths,2008,Idaho,16.0,16,1.3,1223541
HIV deaths,2017,Illinois,17.0,494,4.6,10731215
HIV deaths,2016,Illinois,17.0,524,4.9,10743318
HIV deaths,2015,Illinois,17.0,545,5.1,10756428
HIV deaths,2014,Illinois,17.0,523,4.9,10759859
HIV deaths,2013,Illinois,17.0,512,4.8,10744121
HIV deaths,2012,Illinois,17.0,551,5.1,10704446
HIV deaths,2011,Illinois,17.0,565,5.3,10668059
HIV deaths,2010,Illinois,17.0,659,6.2,10623897
HIV deaths,2009,Illinois,17.0,615,5.8,10626004
HIV deaths,2008,Illinois,17.0,613,5.8,10563388
HIV deaths,2017,Indiana,18.0,190,3.4,5540003
HIV deaths,2016,Indiana,18.0,197,3.6,5510511
HIV deaths,2015,Indiana,18.0,177,3.2,5483619
HIV deaths,2014,Indiana,18.0,180,3.3,5466488
HIV deaths,2013,Indiana,18.0,181,3.3,5436314
HIV deaths,2012,Indiana,18.0,169,3.1,5399958
HIV deaths,2011,Indiana,18.0,199,3.7,5371451
HIV deaths,2010,Indiana,18.0,171,3.2,5340692
HIV deaths,2009,Indiana,18.0,206,3.9,5279967
HIV deaths,2008,Indiana,18.0,202,3.9,5246323
HIV deaths,2017,Iowa,19.0,43,1.6,2617029
HIV deaths,2016,Iowa,19.0,33,1.3,2605250
HIV deaths,2015,Iowa,19.0,36,1.4,2595775
HIV deaths,2014,Iowa,19.0,54,2.1,2585119
HIV deaths,2013,Iowa,19.0,43,1.7,2570198
HIV deaths,2012,Iowa,19.0,43,1.7,2553591
HIV deaths,2011,Iowa,19.0,37,1.5,2543043
HIV deaths,2010,Iowa,19.0,28,1.1,2526684
HIV deaths,2009,Iowa,19.0,37,1.5,2496048
HIV deaths,2008,Iowa,19.0,25,1.0,2486127
HIV deaths,2017,Kansas,20.0,47,2.0,2397743
HIV deaths,2016,Kansas,20.0,49,2.0,2393712
HIV deaths,2015,Kansas,20.0,51,2.1,2388086
HIV deaths,2014,Kansas,20.0,46,1.9,2377652
HIV deaths,2013,Kansas,20.0,56,2.4,2367607
HIV deaths,2012,Kansas,20.0,44,1.9,2356616
HIV deaths,2011,Kansas,20.0,46,2.0,2340115
HIV deaths,2010,Kansas,20.0,49,2.1,2329143
HIV deaths,2009,Kansas,20.0,41,1.8,2305964
HIV deaths,2008,Kansas,20.0,58,2.5,2290014
HIV deaths,2017,Kentucky,21.0,130,3.5,3728831
HIV deaths,2016,Kentucky,21.0,122,3.3,3712013
HIV deaths,2015,Kentucky,21.0,123,3.3,3699491
HIV deaths,2014,Kentucky,21.0,119,3.2,3686449
HIV deaths,2013,Kentucky,21.0,120,3.3,3673716
HIV deaths,2012,Kentucky,21.0,117,3.2,3652563
HIV deaths,2011,Kentucky,21.0,110,3.0,3632735
HIV deaths,2010,Kentucky,21.0,119,3.3,3610828
HIV deaths,2009,Kentucky,21.0,125,3.5,3583570
HIV deaths,2008,Kentucky,21.0,137,3.8,3559663
HIV deaths,2017,Louisiana,22.0,399,10.3,3868605
HIV deaths,2016,Louisiana,22.0,419,10.8,3871344
HIV deaths,2015,Louisiana,22.0,420,10.9,3858097
HIV deaths,2014,Louisiana,22.0,422,11.0,3839337
HIV deaths,2013,Louisiana,22.0,416,10.9,3819669
HIV deaths,2012,Louisiana,22.0,470,12.4,3793129
HIV deaths,2011,Louisiana,22.0,473,12.6,3766665
HIV deaths,2010,Louisiana,22.0,456,12.2,3737428
HIV deaths,2009,Louisiana,22.0,539,14.6,3680921
HIV deaths,2008,Louisiana,22.0,484,13.3,3648291
HIV deaths,2017,Maine,23.0,35,3.0,1157986
HIV deaths,2016,Maine,23.0,23,2.0,1153307
HIV deaths,2015,Maine,23.0,19,1.7,1149501
HIV deaths,2014,Maine,23.0,19,1.7,1150000
HIV deaths,2013,Maine,23.0,30,2.6,1145689
HIV deaths,2012,Maine,23.0,19,1.7,1142956
HIV deaths,2011,Maine,23.0,24,2.1,1140816
HIV deaths,2010,Maine,23.0,22,1.9,1137673
HIV deaths,2009,Maine,23.0,24,2.1,1130458
HIV deaths,2008,Maine,23.0,26,2.3,1129848
HIV deaths,2017,Maryland,24.0,595,11.8,5060236
HIV deaths,2016,Maryland,24.0,641,12.7,5039003
HIV deaths,2015,Maryland,24.0,546,10.9,5021726
HIV deaths,2014,Maryland,24.0,591,11.8,4994516
HIV deaths,2013,Maryland,24.0,614,12.4,4962705
HIV deaths,2012,Maryland,24.0,632,12.8,4924611
HIV deaths,2011,Maryland,24.0,583,12.0,4877694
HIV deaths,2010,Maryland,24.0,613,12.7,4830144
HIV deaths,2009,Maryland,24.0,680,14.4,4733633
HIV deaths,2008,Maryland,24.0,745,15.9,4697010
HIV deaths,2017,Massachusetts,25.0,297,5.0,5899032
HIV deaths,2016,Massachusetts,25.0,292,5.0,5857445
HIV deaths,2015,Massachusetts,25.0,298,5.1,5821545
HIV deaths,2014,Massachusetts,25.0,263,4.5,5785038
HIV deaths,2013,Massachusetts,25.0,269,4.7,5730770
HIV deaths,2012,Massachusetts,25.0,267,4.7,5676159
