Year,Full Name,AI_AN Death Cases,AI_AN Death Rates,Asian Death Cases,Asian Death Rates,Black Death Cases,Black Death Rates,Latino Death Cases,Latino Death Rates,Multi Death Cases,Multi Death Rates,NH_OPI Death Cases,NH_OPI Death Rates,White Death Cases,White Death Rates
2008,United States,85,4.6,104,0.9,9413,31.4,2869,8.3,722,25.5,14,4,5335,3.1
2009,United States,65,3.4,75,0.7,9046,29.9,2817,7.9,877,30,7,2,5176,3
2010,United States,73,4,69,0.6,8096,26.4,2637,6.9,883,24.8,6,1.5,5006,3
2011,United States,57,3.1,83,0.6,7766,25,2687,6.9,851,23.1,7,1.7,4878,2.9
2012,United States,54,2.9,72,0.5,7537,23.9,2455,6.1,889,23.2,7,1.7,4999,2.9
2013,United States,64,3.4,71,0.5,7390,23.2,2541,6.2,967,24.4,10,2.3,4871,2.9
2014,United States,61,3.2,60,0.4,7348,22.8,2652,6.3,991,24.2,9,2,5023,2.9
2015,United States,62,3.2,81,0.6,7127,21.8,2505,5.8,1023,24.1,7,1.6,5048,3
2016,United States,47,2.4,102,0.7,7218,21.9,2615,5.9,1024,23.3,14,3,5312,3.1
2017,United States,39,2,84,0.5,7048,21.1,2606,5.8,1061,23.3,8,1.7,5122,3
2008,Alabama,0,0,2,5.4,191,19.4,9,9.6,11,36.3,0,0,75,2.8
2008,Alaska,10,12.6,0,0,1,4.9,1,3.3,0,0,0,0,9,2.4
2008,Arizona,11,5.3,1,0.8,23,12.7,65,4.6,4,7,0,0,129,4
2008,Arkansas,0,0,0,0,53,15.1,2,1.8,5,20.7,0,0,53,2.9
2008,California,11,6.7,41,1.1,435,23.8,442,4.4,56,11,4,4,788,5.8
2008,Colorado,1,3.3,0,0,20,13.2,13,1.8,4,7.8,0,0,80,2.7
2008,Connecticut,0,0,1,1,84,31.7,88,27.9,5,19,0,0,82,3.7
2008,Delaware,0,0,0,0,70,48.2,4,9.5,4,59.2,0,0,17,3.3
2008,District of Columbia,0,0,0,0,270,100.3,7,17.6,9,159.9,0,0,22,12.5
2008,Florida,1,2.2,5,1.4,1314,59.8,384,12.4,83,60.4,1,11.4,620,6.4
2008,Georgia,0,0,1,0.5,700,30.5,33,6.2,29,43.2,0,0,141,3
2008,Hawaii,0,0,5,1.1,1,3.7,6,7.6,10,6.4,8,8.8,16,5.7
2008,Idaho,2,13.5,0,0,0,0,0,0,1,7.1,0,0,13,1.2
2008,Illinois,1,5.4,2,0.4,398,26.6,47,3.4,11,13,0,0,154,2.2
2008,Indiana,0,0,2,2.8,73,16.4,19,8.2,9,21.5,0,0,99,2.2
2008,Iowa,0,0,0,0,3,5.3,1,1.2,1,5.9,0,0,20,0.9
2008,Kansas,0,0,0,0,19,14.8,4,2.3,3,10.5,0,0,31,1.6
2008,Kentucky,1,12.4,0,0,49,18.9,6,8.1,2,7.6,0,0,79,2.5
2008,Louisiana,2,9.5,0,0,359,32.2,9,7.6,9,34.6,0,0,105,4.5
2008,Maine,0,0,0,0,4,43.1,2,15.8,1,11.9,0,0,19,1.8
2008,Maryland,0,0,1,0.4,607,45.3,21,7.4,28,55.3,0,0,88,3.2
2008,Massachusetts,1,9,4,1.5,78,25,73,17.3,3,6,0,0,138,3.1
2008,Michigan,0,0,0,0,248,22,14,4.7,8,8.7,0,0,100,1.5
2008,Minnesota,0,0,2,1.4,25,14.5,2,1.4,2,4.6,0,0,49,1.3
2008,Mississippi,2,18.9,0,0,187,22,5,9.9,5,34,0,0,47,3.3
2008,Missouri,0,0,0,0,97,18.1,2,1.5,18,35.1,0,0,99,2.4
2008,Montana,0,0,0,0,1,26.6,1,4.8,0,0,0,0,13,1.8
2008,Nebraska,2,17.5,0,0,10,17.1,3,3.1,0,0,0,0,13,1
2008,Nevada,4,18.2,4,2.8,40,25.7,21,4.4,2,5.2,1,10.6,68,5.4
2008,New Hampshire,0,0,1,5.1,0,0,4,15.6,1,11.9,0,0,12,1.1
2008,New Jersey,0,0,2,0.4,506,54.5,178,16.4,32,52.3,0,0,150,3.3
2008,New Mexico,8,5.9,1,4.9,2,6.1,32,4.6,0,0,0,0,24,3.3
2008,New York,0,0,19,1.7,1090,46.3,843,33.4,178,115.2,0,0,335,3.3
2008,North Carolina,2,2.4,0,0,416,26.1,28,6.2,8,13.5,0,0,123,2.3
2008,North Dakota,0,0,0,0,0,0,0,0,1,22.1,0,0,9,1.8
2008,Ohio,1,4.8,0,0,169,15.5,16,7.2,5,5.7,0,0,180,2.2
2008,Oklahoma,11,5,0,0,21,9.5,8,4.1,6,6.1,0,0,80,3.6
2008,Oregon,3,8.4,1,0.9,6,11.6,4,1.4,4,6.9,0,0,62,2.4
2008,Pennsylvania,0,0,2,0.8,394,37.8,68,15.4,36,50.5,0,0,205,2.3
2008,Rhode Island,0,0,0,0,9,21.5,10,11,2,22.7,0,0,24,3.3
2008,South Carolina,0,0,1,2.2,279,27.3,7,5.3,6,22.6,0,0,82,3.3
2008,South Dakota,2,4.3,0,0,0,0,2,14.2,0,0,0,0,6,1
2008,Tennessee,0,0,0,0,269,32.8,5,3.1,9,22.4,0,0,136,3.3
2008,Texas,0,0,4,0.6,580,26.3,335,5.2,72,44.7,0,0,436,4.5
