Year,Full Name,13-24 Diag Cases,13-24 Diag Rates,25-34 Diag Cases,25-34 Diag Rates,35-44 Diag Cases,35-44 Diag Rates,45-54 Diag Cases,45-54 Diag Rates,55+ Diag Cases,55+ Diag Rates
2008,United States,8577,16.8,12538,30.6,12630,29.9,9385,21.2,4160,5.7
2009,United States,8802,17.2,11984,28.8,11392,27.4,8652,19.4,3921,5.3
2010,United States,9123,17.6,11703,28.4,10132,24.7,8227,18.3,3882,5
2011,United States,9060,17.4,11504,27.5,9126,22.5,7800,17.4,3821,4.8
2012,United States,9058,17.3,11816,27.9,8510,21,7396,16.7,3749,4.6
2013,United States,8759,16.7,11821,27.6,7873,19.5,6855,15.7,3922,4.7
2014,United States,9125,17.4,12623,29,8001,19.8,6496,15,3718,4.3
2015,United States,9061,17.4,13039,29.6,7663,18.9,6310,14.7,3723,4.2
2016,United States,8640,16.7,13592,30.4,7503,18.5,5968,14,3817,4.2
2017,United States,8245,16,13346,29.5,7245,17.8,5594,13.2,3796,4.1
2018,United States,7734,15.1,13322,29.2,7158,17.3,5282,12.7,3790,4
2008,Alabama,168,21.4,185,30.3,165,26.5,143,21.3,48,4.1
2008,Alaska,5,3.7,11,10.7,10,10.8,11,10.4,2,1.6
2008,Arizona,110,10.4,213,22.5,203,23.3,117,13.8,36,2.4
2008,Arkansas,47,10,69,18,57,15.3,44,11.1,21,2.9
2008,California,908,14.3,1696,31.9,1659,31.4,1062,20.7,394,5.1
2008,Colorado,59,7.2,137,19.1,124,17.4,90,12.2,41,3.9
2008,Connecticut,52,9,93,23,76,15,83,14.9,43,4.8
2008,Delaware,25,17.7,39,34.3,50,41.6,27,21.1,12,5.3
2008,District of Columbia,147,145,244,227.2,274,318.5,255,327.4,109,80.6
2008,Florida,827,29.4,1310,56.3,1625,65.3,1330,50.9,683,13
2008,Georgia,646,39.1,790,57.3,834,57.4,640,47,248,12.5
2008,Hawaii,12,5.9,25,13.4,18,10.5,20,11.2,8,2.4
2008,Idaho,13,4.8,15,7.3,10,5.2,7,3.4,4,1.2
2008,Illinois,401,18.3,508,28.7,430,24,327,17.5,140,4.8
2008,Indiana,88,8.1,125,15,133,15.3,79,8.4,38,2.5
2008,Iowa,13,2.5,28,7.8,22,5.8,22,5,10,1.3
2008,Kansas,25,5,39,10.9,36,10.1,31,7.7,8,1.2
2008,Kentucky,75,10.7,97,16.9,88,14.8,68,10.7,27,2.5
2008,Louisiana,238,30.1,309,51.1,232,40.5,196,30.5,96,9.3
2008,Maine,6,2.9,8,5.4,13,7.2,7,3.2,11,2.9
2008,Maryland,328,35.1,457,61.6,512,62,464,53,273,20.7
2008,Massachusetts,82,7.6,196,23.3,199,20.8,187,18.4,77,4.7
2008,Michigan,211,12.3,195,16.1,187,13.5,121,7.9,60,2.4
