Indicator,Year,Full Name,FIPS,Population,All Deaths,All Death Rates,F Diag Cases,F Diag Rates,M Diag Cases,M Diag Rates,13-24 Death Cases,13-24 Death Rates,25-34 Death Cases,25-34 Death Rates,35-44 Death Cases,35-44 Death Rates,45-54 Death Cases,45-54 Death Rates,55+ Death Cases,55+ Death Rates,AI_AN Death Cases,AI_AN Death Rates,Asian Death Cases,Asian Death Rates,Black Death Cases,Black Death Rates,Latino Death Cases,Latino Death Rates,Multi Death Cases,Multi Death Rates,NH_OPI Death Cases,NH_OPI Death Rates,White Death Cases,White Death Rates,M2F Death Cases,ID Death Cases,M2M Death Cases,M2MID Death Cases,O Death Cases
HIV deaths,2017,United States,,272460904,15969,5.9,3902,2.8,12067,9.1,147,0.3,1019,2.3,1789,4.4,4351,10.3,8663,9.3,39,2,84,0.5,7048,21.1,2606,5.8,1061,23.3,8,1.7,5122,3,4163,3451,6855,1327,174
HIV deaths,2016,United States,,270301427,16334,6.0,4006,2.9,12328,9.3,167,0.3,1105,2.5,1955,4.8,4643,10.9,8464,9.3,47,2.4,102,0.7,7218,21.9,2615,5.9,1024,23.3,14,3,5312,3.1,4226,3661,6883,1387,177
HIV deaths,2015,United States,,268005522,15859,5.9,3901,2.8,11958,9.1,160,0.3,988,2.2,2043,5,4946,11.5,7722,8.7,62,3.2,81,0.6,7127,21.8,2505,5.8,1023,24.1,7,1.6,5048,3,4065,3638,6575,1402,180
HIV deaths,2014,United States,,265732678,16148,6.1,4183,3.1,11965,9.2,187,0.4,996,2.3,2247,5.6,5162,11.9,7556,8.8,61,3.2,60,0.4,7348,22.8,2652,6.3,991,24.2,9,2,5023,2.9,4241,3869,6538,1346,153
HIV deaths,2013,United States,,263356005,15917,6.0,4066,3,11851,9.2,179,0.3,1053,2.5,2310,5.7,5480,12.5,6895,8.2,64,3.4,71,0.5,7390,23.2,2541,6.2,967,24.4,10,2.3,4871,2.9,4133,3878,6401,1335,169
HIV deaths,2012,United States,,261032045,16034,6.1,4222,3.2,11812,9.3,195,0.4,1107,2.6,2560,6.3,5694,12.9,6478,7.9,54,2.9,72,0.5,7537,23.9,2455,6.1,889,23.2,7,1.7,4999,2.9,4299,3965,6285,1290,194
HIV deaths,2011,United States,,258666188,16331,6.3,4240,3.2,12091,9.6,229,0.4,1096,2.6,2879,7.1,5939,13.3,6188,7.8,57,3.1,83,0.6,7766,25,2687,6.9,851,23.1,7,1.7,4878,2.9,4288,4180,6330,1334,200
HIV deaths,2010,United States,,256390428,16774,6.5,4384,3.3,12390,9.9,239,0.5,1165,2.8,3237,7.9,6260,13.9,5873,7.6,73,4,69,0.6,8096,26.4,2637,6.9,883,24.8,6,1.5,5006,3,4431,4405,6410,1353,174
HIV deaths,2009,United States,,253253138,18064,7.1,4773,3.7,13291,10.7,229,0.4,1352,3.3,4005,9.6,6638,14.9,5840,7.9,65,3.4,75,0.7,9046,29.9,2817,7.9,877,30,7,2,5176,3,4705,4947,6719,1504,189
HIV deaths,2008,United States,,251009998,18544,7.4,4956,3.9,13588,11.1,248,0.5,1425,3.5,4592,10.9,6868,15.5,5411,7.5,85,4.6,104,0.9,9413,31.4,2869,8.3,722,25.5,14,4,5335,3.1,4912,5205,6767,1449,210
HIV deaths,2017,Alabama,1.0,4094777,244,6.0,60,2.8,184,9.4,4,0.5,22,3.4,47,7.9,68,10.7,103,7.1,0,0,0,0,148,13.9,5,3.4,17,36.2,0,0,74,2.7,71,23,127,19,3
HIV deaths,2016,Alabama,1.0,4082972,266,6.5,67,3.2,199,10.2,6,0.8,25,3.9,33,5.6,77,12,125,8.7,0,0,1,1.8,166,15.7,2,1.4,14,30.7,1,51.5,82,3,87,34,120,22,2
HIV deaths,2015,Alabama,1.0,4070748,276,6.8,74,3.5,202,10.3,6,0.8,20,3.2,48,8,94,14.5,108,7.7,0,0,0,0,183,17.3,9,6.5,8,18.1,0,0,71,2.6,94,31,123,25,4
HIV deaths,2014,Alabama,1.0,4059211,279,6.9,92,4.4,187,9.6,6,0.7,31,5,47,7.8,85,13,110,8,0,0,0,0,162,15.5,8,5.9,19,44.2,0,0,90,3.3,89,45,121,18,5
HIV deaths,2013,Alabama,1.0,4041871,244,6.0,64,3,180,9.3,8,1,15,2.4,50,8.2,92,13.8,79,5.9,1,4.4,0,0,153,14.7,9,6.7,17,40.8,0,0,64,2.3,81,33,109,18,2
HIV deaths,2012,Alabama,1.0,4019335,281,7.0,81,3.9,200,10.4,6,0.7,37,6,53,8.7,88,13,97,7.4,0,0,0,0,175,17,4,3,12,29.8,0,0,90,3.3,92,38,127,19,5
HIV deaths,2011,Alabama,1.0,3997493,255,6.4,65,3.1,190,9.9,7,0.9,26,4.2,56,9.2,81,11.8,85,6.6,0,0,1,2.2,171,16.8,7,5.3,13,33.6,0,0,63,2.3,84,38,117,13,3
