Indicator,Year,Full Name,FIPS,Population,All Prev Cases,All Prev Rates,F Prev Cases,F Prev Rates,M Prev Cases,M Prev Rates,13-24 Prev Cases,13-24 Prev Rates,25-34 Prev Cases,25-34 Prev Rates,35-44 Prev Cases,35-44 Prev Rates,45-54 Prev Cases,45-54 Prev Rates,55+ Prev Cases,55+ Prev Rates,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates,M2F Prev Cases,ID Prev Cases,M2M Prev Cases,M2MID Prev Cases,O Prev Cases
HIV prevalence,2017,United States,,272460904,1001718,367.7,236589,169.9,765129,574.4,33494,65.1,153298,338.6,188511,462.2,294760,697.4,331655,357.8,3026,154.5,14135,90.5,413471,1240.2,222392,493,46706,1027.7,836,177.8,300370,175.2,258162,119245,554159,55318,14834
HIV prevalence,2016,United States,,270301427,977493,361.6,232429,168.2,745064,563.9,35032,67.8,147615,329.9,187564,463.3,304232,711.9,303050,334.4,2849,146.9,13163,86.8,403300,1221.9,214530,486.9,46637,1061.7,792,172,295439,172.5,252679,120127,534878,55255,14554
HIV prevalence,2015,United States,,268005522,952705,355.5,228278,166.6,724427,553.1,36416,70,141112,320.3,188772,466.5,309969,720.2,276436,312.6,2671,139.2,12220,83.3,392774,1202.9,206599,480.7,46318,1091.2,765,170,290572,169.8,246636,121420,515113,55210,14328
HIV prevalence,2014,United States,,265732678,927581,349.1,224285,165,703296,541.8,37600,71.8,135061,310.8,192890,477.2,311493,718.5,250537,290.8,2545,134,11303,79.7,382149,1183.6,199003,474.6,45848,1117.5,699,158.9,285242,166.9,240788,122629,494900,55179,14085
HIV prevalence,2013,United States,,263356005,902775,342.8,220431,163.6,682344,530.6,38283,73.1,128985,301.1,197644,488.5,311180,711,226683,270.1,2429,129.4,10428,76.1,371811,1165.6,191715,468.4,45201,1140.9,665,154.5,279730,164,234919,124193,474770,55110,13783
HIV prevalence,2012,United States,,261032045,878677,336.6,216508,162,662169,519.7,38830,74.3,124187,293.6,203600,502.4,307862,695.5,204198,249.9,2349,126.8,9684,73,361885,1148.8,184965,463,44325,1159.1,630,150.1,274041,161,228941,125651,455566,55013,13506
HIV prevalence,2011,United States,,258666188,853331,329.9,212212,160.2,641119,508.1,38210,73.4,119974,287,210441,517.8,302421,676.1,182285,229.5,2235,122.2,8972,69.9,351382,1129.9,177916,456.2,43285,1173,591,144.3,268131,157.9,222657,126951,435787,54703,13233
HIV prevalence,2010,United States,,256390428,827506,322.8,207315,157.8,620191,496,37160,71.5,115693,280.7,219522,535.7,293221,651.8,161910,209.6,2158,119.4,8321,67,340290,1108.1,171228,450,42135,1183,545,136.5,262009,154.6,215621,128187,416426,54398,12874
HIV prevalence,2009,United States,,253253138,798336,315.2,201010,155.5,597326,481.8,35225,68.8,111323,267.8,229044,551.5,279575,627,143169,192.5,2076,110.2,7636,67.4,327839,1082,163450,457.9,40815,1397.3,507,141.9,255195,149.4,207207,128542,396415,53851,12321
HIV prevalence,2008,United States,,251009998,771038,307.2,195248,152.3,575790,468.9,32936,64.4,108363,264.6,240102,568.4,263589,595.9,126048,174,1997,107.4,7064,63.9,316174,1055.3,156622,452.1,39444,1392.2,467,133.4,248451,145.9,198986,129675,377059,53476,11842
HIV prevalence,2017,Alabama,1.0,4094777,13124,320.5,3615,169.5,9509,484.8,661,85.8,2568,401.2,2670,451.2,3636,571.3,3589,246.5,7,29.1,34,57.6,8278,777.9,453,310.3,734,1561.8,2,99,3570,129.7,4070,1039,7295,580,140
HIV prevalence,2016,Alabama,1.0,4082972,12584,308.2,3497,164.6,9087,464.1,659,84.5,2415,379.7,2666,448.7,3578,555.7,3266,228.6,5,21,33,57.8,7965,751.3,404,284.3,723,1586.9,3,154.5,3405,123.7,3944,1024,6927,555,134
HIV prevalence,2015,Alabama,1.0,4070748,12166,298.9,3383,159.8,8783,449.6,688,86.9,2311,367,2631,438.2,3585,552.4,2951,210.8,5,21.2,30,54.8,7694,729,383,276.6,696,1571.8,4,210.7,3308,120.2,3801,1029,6634,569,133
HIV prevalence,2014,Alabama,1.0,4059211,12339,304.0,3451,163.5,8888,456.2,696,86.6,2291,366.9,2810,465.1,3808,580.2,2734,199.5,5,21.5,27,51,7811,745.4,392,287.8,684,1592.6,4,218.5,3361,122,3875,1107,6638,589,131
HIV prevalence,2013,Alabama,1.0,4041871,11915,294.8,3410,162.3,8505,438.2,723,89.4,2156,347.9,2796,460.4,3787,569.6,2453,182.8,4,17.5,27,52.8,7505,722.2,361,268,664,1592.4,4,224.7,3295,119.8,3808,1113,6264,599,131
HIV prevalence,2012,Alabama,1.0,4019335,11536,287.0,3339,159.8,8197,424.8,715,88.7,2044,331.5,2895,475.6,3701,548.4,2181,166.1,4,17.8,25,51,7208,701.6,360,269.9,650,1614.8,2,117.8,3232,117.7,3711,1102,5975,613,135
HIV prevalence,2011,Alabama,1.0,3997493,11234,281.0,3285,158.1,7949,414.1,686,85.3,1978,322,3001,491.4,3630,529.1,1939,151.2,4,18.1,22,47.8,6999,688.3,344,258.9,641,1655.6,2,125.1,3159,115.3,3669,1120,5691,619,134
HIV prevalence,2010,Alabama,1.0,3980625,10736,269.7,3186,154.1,7550,394.8,638,79.2,1880,307.9,3076,497.6,3454,498.2,1688,134.7,4,18.3,21,47.3,6661,660.3,324,245.9,632,1688.1,2,127.1,3029,110.8,3567,1125,5332,588,124
HIV prevalence,2009,Alabama,1.0,3898688,10402,266.8,3037,149.6,7365,394.3,619,78.9,1847,298.2,3226,523.6,3253,482,1457,121,4,20.4,20,51.6,6471,651.4,309,310.1,596,1901.4,2,172.6,2936,108.2,3419,1104,5139,627,113
HIV prevalence,2008,Alabama,1.0,3870996,9994,258.2,2943,145.8,7051,380.5,535,68.1,1809,295.9,3324,532.9,3059,455,1267,107.5,3,15.4,17,45.8,6197,628.5,299,318.1,556,1833.8,2,177.8,2856,105.7,3315,1110,4833,624,112
HIV prevalence,2017,Alaska,2.0,603161,720,119.4,181,63.1,539,170.5,21,17.4,102,84.8,141,151.6,223,244.6,233,131.1,188,227.8,23,57.8,99,486,73,188.8,40,124.6,3,40.8,294,76.9,201,71,371,65,12
HIV prevalence,2016,Alaska,2.0,604157,690,114.2,173,60.4,517,162.8,20,16.1,92,76.3,140,151.9,235,250.3,203,117,171,207.4,22,57,100,492.4,67,177.5,44,139.4,3,42.6,283,73.2,191,71,352,60,15
HIV prevalence,2015,Alaska,2.0,600941,653,108.7,164,57.6,489,154.7,19,15,81,68.6,133,145.6,242,251.5,178,105.3,155,188.9,19,51,86,429.8,63,171.5,40,129.4,3,44.4,287,74.1,183,71,326,60,13
HIV prevalence,2014,Alaska,2.0,599474,622,103.8,154,54.2,468,148.5,18,14,79,67.7,138,151.2,221,223.3,166,101.2,146,179.1,20,55.1,78,389.8,60,167.1,38,124.9,2,30.7,278,71.5,175,71,308,58,10
HIV prevalence,2013,Alaska,2.0,599385,643,107.3,154,54.1,489,155.3,22,16.9,80,69.6,150,162.9,237,231.7,154,96.3,141,174,21,59.1,83,413.6,71,204.5,38,127,2,31.6,287,73.3,178,72,320,64,9
HIV prevalence,2012,Alaska,2.0,592771,650,109.7,156,55.2,494,159.3,23,17.9,78,70.1,159,172.2,256,241.9,134,86.5,139,173.4,19,55.9,84,427.6,70,213.4,43,147.4,2,33.3,293,74.9,176,78,322,64,9
HIV prevalence,2011,Alaska,2.0,584567,659,112.7,157,56.2,502,164.6,23,18.1,87,80.5,170,184.7,256,235.6,123,82.8,139,174.6,15,45.9,83,446.6,71,233.5,44,154.3,2,35.9,305,78.4,171,87,319,73,10
HIV prevalence,2010,Alaska,2.0,577749,642,111.1,148,53.6,494,163.8,18,14.2,78,74.7,192,206.4,250,225.8,104,73.1,137,173.5,14,44.6,74,409.8,68,237,43,154.6,1,18.9,305,78.7,161,83,316,72,10
HIV prevalence,2009,Alaska,2.0,565800,554,97.9,131,48.2,423,143.9,19,14.6,63,59.4,170,186.6,207,194.6,95,72.2,133,164.5,8,28.9,62,306.7,54,174.1,26,129.2,2,59.8,269,70.3,150,69,275,53,7
HIV prevalence,2008,Alaska,2.0,559346,547,97.8,128,48.1,419,142.8,21,15.7,65,63.2,185,199.8,184,173.8,92,74,130,163.8,6,22.7,61,296.3,53,176.8,25,127.1,2,62.2,270,71,146,70,272,53,7
HIV prevalence,2017,Arizona,4.0,5874596,16062,273.4,2333,78.6,13729,472.7,544,47.7,2378,246.4,3183,368.6,4876,573.7,5081,247.2,633,285.7,205,100.8,2067,839.1,4927,291.7,481,510.5,23,209.5,7681,225.3,2267,1594,10538,1439,224
HIV prevalence,2016,Arizona,4.0,5770861,15426,267.3,2253,77.2,13173,461.6,579,50.8,2218,234.5,3138,368.9,4956,584.9,4535,228.1,594,272,189,96.3,1943,815.4,4666,284.4,455,503.8,17,161.6,7517,222.6,2162,1582,10067,1409,206
HIV prevalence,2015,Arizona,4.0,5663944,14920,263.4,2184,76.3,12736,454.7,541,47.6,2145,232.3,3136,371.9,4999,593.9,4099,213.6,564,261.6,174,93.4,1817,793.4,4474,280.6,436,504.9,17,165.4,7393,221.2,2101,1569,9645,1411,193
HIV prevalence,2014,Arizona,4.0,5567140,14320,257.2,2096,74.5,12224,444,520,45.8,2037,224.8,3178,379.9,4943,589.9,3642,196.7,523,245.4,156,87.4,1682,762.1,4237,273.7,424,510.4,12,118.8,7241,218.5,1983,1557,9223,1373,184
HIV prevalence,2013,Arizona,4.0,5469060,13640,249.4,1979,71.6,11661,431.3,465,41.4,1920,216,3173,381.6,4869,582,3213,179.5,491,234.2,142,83.9,1533,717.9,3978,264.7,390,492,13,132.1,7048,214.6,1858,1508,8777,1320,178
HIV prevalence,2012,Arizona,4.0,5388365,13114,243.4,1891,69.4,11223,421.2,436,39.2,1843,210.2,3243,391.6,4743,565.3,2849,164.4,448,216.9,139,86.4,1428,688.6,3777,258.3,376,494.3,10,104,6891,211,1769,1471,8401,1306,167
HIV prevalence,2011,Arizona,4.0,5304658,12548,236.5,1785,66.6,10763,410.3,409,37.3,1818,209.4,3290,399.8,4532,538.2,2499,149.2,404,198.8,128,83.5,1326,662.2,3579,251.5,351,482,9,95.7,6706,206.8,1644,1443,8048,1253,161
HIV prevalence,2010,Arizona,4.0,5229908,12162,232.5,1697,64.1,10465,405,400,36.9,1769,206,3404,413.7,4390,520.6,2199,135.7,369,184.4,114,78.4,1259,647.2,3427,247.4,348,499.7,9,97.6,6591,204.3,1548,1406,7841,1211,156
HIV prevalence,2009,Arizona,4.0,5316387,11333,213.2,1550,58.2,9783,368.6,373,35.1,1685,176.1,3414,392.5,4003,466.3,1858,118.5,366,173.9,87,65.8,1070,565.3,3234,221.9,310,521.6,7,99.1,6213,190.5,1404,1321,7283,1204,122
HIV prevalence,2008,Arizona,4.0,5235123,10891,208.0,1492,56.9,9399,359.7,361,34.2,1649,174.4,3574,410.7,3719,440.1,1588,104.6,336,161.3,80,62.7,1032,568.9,3048,216,302,530.1,5,73.5,6042,186.3,1322,1295,6964,1189,122
HIV prevalence,2017,Arkansas,5.0,2495932,5634,225.7,1275,99.6,4359,358.6,281,58.6,1034,261.5,1142,311.8,1641,438.3,1536,174.4,6,31.6,19,48,2464,661.4,395,243.4,305,854.6,5,75.3,2436,131,1302,547,3393,330,63
HIV prevalence,2016,Arkansas,5.0,2482955,5418,218.2,1242,97.5,4176,345.3,277,57.5,948,241.5,1121,307.4,1693,447.2,1379,159.4,5,26.8,16,41.6,2345,632,376,240.5,298,864.2,5,81.1,2369,127.5,1265,531,3243,317,63
