Year,Full Name,FIPS,All Diag Cases,All Diag Rates,Population,Indicator
2017,United States,,38226,14.0,272460904,HIV diagnoses
2016,United States,,39520,14.6,270301427,HIV diagnoses
2015,United States,,39796,14.8,268005522,HIV diagnoses
2014,United States,,39963,15.0,265732678,HIV diagnoses
2013,United States,,39230,14.9,263356005,HIV diagnoses
2012,United States,,40529,15.5,261032045,HIV diagnoses
2011,United States,,41311,16.0,258666188,HIV diagnoses
2010,United States,,43067,16.8,256390428,HIV diagnoses
2009,United States,,44751,17.7,253253138,HIV diagnoses
2008,United States,,47290,18.8,251009998,HIV diagnoses
2017,Alabama,1.0,651,15.9,4094777,HIV diagnoses
2016,Alabama,1.0,663,16.2,4082972,HIV diagnoses
2015,Alabama,1.0,663,16.3,4070748,HIV diagnoses
2014,Alabama,1.0,669,16.5,4059211,HIV diagnoses
2013,Alabama,1.0,635,15.7,4041871,HIV diagnoses
2012,Alabama,1.0,666,16.6,4019335,HIV diagnoses
2011,Alabama,1.0,683,17.1,3997493,HIV diagnoses
2010,Alabama,1.0,681,17.1,3980625,HIV diagnoses
2009,Alabama,1.0,695,17.8,3898688,HIV diagnoses
2008,Alabama,1.0,709,18.3,3870996,HIV diagnoses
2018,Alaska,2.0,20,3.3,602095,HIV diagnoses
2017,Alaska,2.0,34,5.6,603161,HIV diagnoses
2016,Alaska,2.0,37,6.1,604157,HIV diagnoses
2015,Alaska,2.0,25,4.2,600941,HIV diagnoses
2014,Alaska,2.0,38,6.3,599474,HIV diagnoses
2013,Alaska,2.0,23,3.8,599385,HIV diagnoses
2012,Alaska,2.0,28,4.7,592771,HIV diagnoses
2011,Alaska,2.0,24,4.1,584567,HIV diagnoses
2010,Alaska,2.0,35,6.1,577749,HIV diagnoses
2009,Alaska,2.0,21,3.7,565800,HIV diagnoses
2008,Alaska,2.0,39,7.0,559346,HIV diagnoses
2018,Arizona,4.0,806,13.4,5996296,HIV diagnoses
2017,Arizona,4.0,725,12.3,5874596,HIV diagnoses
2016,Arizona,4.0,714,12.4,5770861,HIV diagnoses
2015,Arizona,4.0,690,12.2,5663944,HIV diagnoses
2014,Arizona,4.0,741,13.3,5567140,HIV diagnoses
2013,Arizona,4.0,689,12.6,5469060,HIV diagnoses
2012,Arizona,4.0,620,11.5,5388365,HIV diagnoses
2011,Arizona,4.0,563,10.6,5304658,HIV diagnoses
2010,Arizona,4.0,619,11.8,5229908,HIV diagnoses
2009,Arizona,4.0,642,12.1,5316387,HIV diagnoses
2008,Arizona,4.0,679,13.0,5235123,HIV diagnoses
2018,Arkansas,5.0,281,11.2,2508847,HIV diagnoses
2017,Arkansas,5.0,287,11.5,2495932,HIV diagnoses
2016,Arkansas,5.0,312,12.6,2482955,HIV diagnoses
2015,Arkansas,5.0,273,11.0,2470760,HIV diagnoses
2014,Arkansas,5.0,312,12.7,2459895,HIV diagnoses
2013,Arkansas,5.0,262,10.7,2449550,HIV diagnoses
2012,Arkansas,5.0,247,10.1,2438682,HIV diagnoses
2011,Arkansas,5.0,241,9.9,2426548,HIV diagnoses
2010,Arkansas,5.0,234,9.7,2407988,HIV diagnoses
2009,Arkansas,5.0,280,11.8,2374089,HIV diagnoses
2008,Arkansas,5.0,238,10.1,2357363,HIV diagnoses
2018,California,6.0,4398,13.3,33089613,HIV diagnoses
2017,California,6.0,4766,14.5,32888662,HIV diagnoses
2016,California,6.0,5172,15.8,32663036,HIV diagnoses
2015,California,6.0,5108,15.8,32390164,HIV diagnoses
2014,California,6.0,5169,16.1,32069627,HIV diagnoses
2013,California,6.0,4711,14.9,31722579,HIV diagnoses
2012,California,6.0,5050,16.1,31393072,HIV diagnoses
2011,California,6.0,5044,16.2,31068145,HIV diagnoses
2010,California,6.0,5272,17.1,30753805,HIV diagnoses
2009,California,6.0,5417,18.0,30167113,HIV diagnoses
2008,California,6.0,5719,19.2,29836645,HIV diagnoses
2018,Colorado,8.0,409,8.5,4791744,HIV diagnoses
2017,Colorado,8.0,442,9.4,4710781,HIV diagnoses
2016,Colorado,8.0,423,9.1,4632063,HIV diagnoses
2015,Colorado,8.0,377,8.3,4542949,HIV diagnoses
2014,Colorado,8.0,378,8.5,4447355,HIV diagnoses
2013,Colorado,8.0,312,7.1,4367984,HIV diagnoses
2012,Colorado,8.0,371,8.6,4290960,HIV diagnoses
2011,Colorado,8.0,363,8.6,4220896,HIV diagnoses
2010,Colorado,8.0,419,10.1,4152382,HIV diagnoses
2009,Colorado,8.0,370,9.0,4120964,HIV diagnoses
2008,Colorado,8.0,451,11.1,4049693,HIV diagnoses
2018,Connecticut,9.0,250,8.2,3065086,HIV diagnoses
2017,Connecticut,9.0,275,9.0,3060949,HIV diagnoses
2016,Connecticut,9.0,258,8.4,3060226,HIV diagnoses
2015,Connecticut,9.0,279,9.1,3061946,HIV diagnoses
2014,Connecticut,9.0,293,9.6,3061978,HIV diagnoses
2013,Connecticut,9.0,327,10.7,3054288,HIV diagnoses
2012,Connecticut,9.0,291,9.6,3043910,HIV diagnoses
2011,Connecticut,9.0,350,11.6,3029649,HIV diagnoses
2010,Connecticut,9.0,388,12.9,3013777,HIV diagnoses
2009,Connecticut,9.0,341,11.6,2951882,HIV diagnoses
2008,Connecticut,9.0,347,11.8,2932812,HIV diagnoses
2018,Delaware,10.0,91,11.1,821504,HIV diagnoses
2017,Delaware,10.0,126,15.5,811576,HIV diagnoses
2016,Delaware,10.0,112,13.9,803341,HIV diagnoses
2015,Delaware,10.0,103,12.9,795441,HIV diagnoses
2014,Delaware,10.0,115,14.6,786714,HIV diagnoses
2013,Delaware,10.0,109,14.0,777619,HIV diagnoses
2012,Delaware,10.0,137,17.8,768406,HIV diagnoses
2011,Delaware,10.0,114,15.0,760646,HIV diagnoses
2010,Delaware,10.0,123,16.3,752949,HIV diagnoses
2009,Delaware,10.0,150,20.4,736007,HIV diagnoses
2008,Delaware,10.0,153,21.0,728265,HIV diagnoses
2018,District of Columbia,11.0,208,34.6,601238,HIV diagnoses
2017,District of Columbia,11.0,305,51.1,596785,HIV diagnoses
2016,District of Columbia,11.0,348,58.9,590875,HIV diagnoses
2015,District of Columbia,11.0,369,63.4,582251,HIV diagnoses
2014,District of Columbia,11.0,418,73.0,572788,HIV diagnoses
2013,District of Columbia,11.0,487,86.3,564030,HIV diagnoses
2012,District of Columbia,11.0,570,103.1,552642,HIV diagnoses
2011,District of Columbia,11.0,638,117.8,541801,HIV diagnoses
2010,District of Columbia,11.0,799,150.5,530795,HIV diagnoses
2009,District of Columbia,11.0,833,161.4,515989,HIV diagnoses
2008,District of Columbia,11.0,1029,202.6,508021,HIV diagnoses
2018,Florida,12.0,4683,25.6,18271712,HIV diagnoses
2017,Florida,12.0,4563,25.4,17971716,HIV diagnoses
2016,Florida,12.0,4662,26.4,17658611,HIV diagnoses
2015,Florida,12.0,4571,26.4,17305349,HIV diagnoses
2014,Florida,12.0,4476,26.4,16983458,HIV diagnoses
2013,Florida,12.0,4296,25.7,16709125,HIV diagnoses
2012,Florida,12.0,4375,26.5,16480031,HIV diagnoses
2011,Florida,12.0,4570,28.1,16258521,HIV diagnoses
2010,Florida,12.0,4632,28.9,16018609,HIV diagnoses
2009,Florida,12.0,5034,32.2,15614290,HIV diagnoses
2008,Florida,12.0,5775,37.2,15508944,HIV diagnoses
2018,Georgia,13.0,2552,29.2,8737682,HIV diagnoses
2017,Georgia,13.0,2564,29.7,8627633,HIV diagnoses
2016,Georgia,13.0,2495,29.3,8516944,HIV diagnoses
2015,Georgia,13.0,2624,31.2,8397538,HIV diagnoses
2014,Georgia,13.0,2380,28.7,8288270,HIV diagnoses
2013,Georgia,13.0,2338,28.6,8187895,HIV diagnoses
2012,Georgia,13.0,2618,32.3,8106476,HIV diagnoses
2011,Georgia,13.0,2662,33.3,8003157,HIV diagnoses
2010,Georgia,13.0,2653,33.5,7912814,HIV diagnoses
2009,Georgia,13.0,2910,36.7,7937181,HIV diagnoses
2008,Georgia,13.0,3158,40.3,7826920,HIV diagnoses
2018,Hawaii,15.0,66,5.5,1196330,HIV diagnoses
2017,Hawaii,15.0,78,6.5,1198339,HIV diagnoses
2016,Hawaii,15.0,78,6.5,1200302,HIV diagnoses
2015,Hawaii,15.0,119,10.0,1193935,HIV diagnoses
2014,Hawaii,15.0,99,8.3,1187196,HIV diagnoses
2013,Hawaii,15.0,95,8.0,1180667,HIV diagnoses
2012,Hawaii,15.0,82,7.0,1168924,HIV diagnoses
2011,Hawaii,15.0,81,7.0,1155908,HIV diagnoses
2010,Hawaii,15.0,102,8.9,1144087,HIV diagnoses
2009,Hawaii,15.0,87,8.0,1083032,HIV diagnoses
2008,Hawaii,15.0,83,7.7,1077785,HIV diagnoses
2018,Idaho,16.0,37,2.6,1436081,HIV diagnoses
2017,Idaho,16.0,46,3.3,1402234,HIV diagnoses
2016,Idaho,16.0,45,3.3,1369107,HIV diagnoses
2015,Idaho,16.0,40,3.0,1339988,HIV diagnoses
2014,Idaho,16.0,22,1.7,1320877,HIV diagnoses
2013,Idaho,16.0,27,2.1,1301066,HIV diagnoses
2012,Idaho,16.0,37,2.9,1283965,HIV diagnoses
2011,Idaho,16.0,35,2.8,1270672,HIV diagnoses
2010,Idaho,16.0,44,3.5,1256890,HIV diagnoses
