Year,Full Name,13-24 Prev Cases,13-24 Prev Rates,25-34 Prev Cases,25-34 Prev Rates,35-44 Prev Cases,35-44 Prev Rates,45-54 Prev Cases,45-54 Prev Rates,55+ Prev Cases,55+ Prev Rates
2008,United States,32936,64.4,108363,264.6,240102,568.4,263589,595.9,126048,174
2009,United States,35225,68.8,111323,267.8,229044,551.5,279575,627,143169,192.5
2010,United States,37160,71.5,115693,280.7,219522,535.7,293221,651.8,161910,209.6
2011,United States,38210,73.4,119974,287,210441,517.8,302421,676.1,182285,229.5
2012,United States,38830,74.3,124187,293.6,203600,502.4,307862,695.5,204198,249.9
2013,United States,38283,73.1,128985,301.1,197644,488.5,311180,711,226683,270.1
2014,United States,37600,71.8,135061,310.8,192890,477.2,311493,718.5,250537,290.8
2015,United States,36416,70,141112,320.3,188772,466.5,309969,720.2,276436,312.6
2016,United States,35032,67.8,147615,329.9,187564,463.3,304232,711.9,303050,334.4
2017,United States,33494,65.1,153298,338.6,188511,462.2,294760,697.4,331655,357.8
2008,Alabama,535,68.1,1809,295.9,3324,532.9,3059,455,1267,107.5
2008,Alaska,21,15.7,65,63.2,185,199.8,184,173.8,92,74
2008,Arizona,361,34.2,1649,174.4,3574,410.7,3719,440.1,1588,104.6
2008,Arkansas,186,39.7,703,183.2,1366,366.8,1298,327.4,539,73.2
2008,California,2959,46.5,12345,232.1,31103,589.1,35351,688.1,17753,229.5
2008,Colorado,198,24.2,1107,154.6,3024,424.1,3741,506.3,1893,178.2
2008,Connecticut,313,54.1,869,214.6,2582,510,3578,643.1,1834,206.8
2008,Delaware,115,81.3,325,285.8,735,611.5,998,780.9,458,203.4
2008,District of Columbia,559,551.2,1697,1580.2,3477,4041.2,4146,5323.2,2101,1552.9
2008,Florida,3589,127.5,12079,519,26393,1060.9,28917,1107.1,14234,270.3
2008,Georgia,1944,117.5,5721,414.8,10326,710.4,9680,711.2,3953,199.8
2008,Hawaii,45,21.9,180,96.3,518,302.4,770,432.1,456,135.6
2008,Idaho,28,10.3,116,56.2,226,118.1,243,118.2,89,25.6
2008,Illinois,1392,63.5,4274,241.7,8681,484.3,9070,485.8,4226,143.6
2008,Indiana,338,31.1,1283,154,2750,316.8,2571,274.9,988,64.9
2008,Iowa,53,10.1,251,69.7,470,124.8,494,112.1,213,27.2
2008,Kansas,96,19.1,409,113.9,745,209.5,691,170.8,276,41.2
2008,Kentucky,243,34.7,800,139.8,1494,251.6,1512,239,557,52.5
2008,Louisiana,887,112,3225,533.8,4715,822.3,4665,726.2,1934,186.6
2008,Maine,22,10.8,115,77.4,276,153.7,376,172.5,185,48.8
2008,Maryland,1270,135.9,3274,441,7406,896.4,8854,1011.4,4112,311.8
2008,Massachusetts,500,46.1,1565,186.2,5027,525.5,6366,627.9,2743,167.6
2008,Michigan,744,43.3,1857,153.3,4005,290,3996,259.5,1868,75.1
2008,Minnesota,234,26.4,964,140.4,1965,275.3,1991,247,840,68
