Indicator,Year,Full Name,FIPS,All Prev Cases,All Prev Rates,Population
HIV prevalence,2017,United States,,1001718,367.7,272460904
HIV prevalence,2016,United States,,977493,361.6,270301427
HIV prevalence,2015,United States,,952705,355.5,268005522
HIV prevalence,2014,United States,,927581,349.1,265732678
HIV prevalence,2013,United States,,902775,342.8,263356005
HIV prevalence,2012,United States,,878677,336.6,261032045
HIV prevalence,2011,United States,,853331,329.9,258666188
HIV prevalence,2010,United States,,827506,322.8,256390428
HIV prevalence,2009,United States,,798336,315.2,253253138
HIV prevalence,2008,United States,,771038,307.2,251009998
HIV prevalence,2017,Alabama,1.0,13124,320.5,4094777
HIV prevalence,2016,Alabama,1.0,12584,308.2,4082972
HIV prevalence,2015,Alabama,1.0,12166,298.9,4070748
HIV prevalence,2014,Alabama,1.0,12339,304.0,4059211
HIV prevalence,2013,Alabama,1.0,11915,294.8,4041871
HIV prevalence,2012,Alabama,1.0,11536,287.0,4019335
HIV prevalence,2011,Alabama,1.0,11234,281.0,3997493
HIV prevalence,2010,Alabama,1.0,10736,269.7,3980625
HIV prevalence,2009,Alabama,1.0,10402,266.8,3898688
HIV prevalence,2008,Alabama,1.0,9994,258.2,3870996
HIV prevalence,2017,Alaska,2.0,720,119.4,603161
HIV prevalence,2016,Alaska,2.0,690,114.2,604157
HIV prevalence,2015,Alaska,2.0,653,108.7,600941
HIV prevalence,2014,Alaska,2.0,622,103.8,599474
HIV prevalence,2013,Alaska,2.0,643,107.3,599385
HIV prevalence,2012,Alaska,2.0,650,109.7,592771
HIV prevalence,2011,Alaska,2.0,659,112.7,584567
HIV prevalence,2010,Alaska,2.0,642,111.1,577749
HIV prevalence,2009,Alaska,2.0,554,97.9,565800
HIV prevalence,2008,Alaska,2.0,547,97.8,559346
HIV prevalence,2017,Arizona,4.0,16062,273.4,5874596
HIV prevalence,2016,Arizona,4.0,15426,267.3,5770861
HIV prevalence,2015,Arizona,4.0,14920,263.4,5663944
HIV prevalence,2014,Arizona,4.0,14320,257.2,5567140
HIV prevalence,2013,Arizona,4.0,13640,249.4,5469060
HIV prevalence,2012,Arizona,4.0,13114,243.4,5388365
HIV prevalence,2011,Arizona,4.0,12548,236.5,5304658
HIV prevalence,2010,Arizona,4.0,12162,232.5,5229908
HIV prevalence,2009,Arizona,4.0,11333,213.2,5316387
HIV prevalence,2008,Arizona,4.0,10891,208.0,5235123
HIV prevalence,2017,Arkansas,5.0,5634,225.7,2495932
HIV prevalence,2016,Arkansas,5.0,5418,218.2,2482955
HIV prevalence,2015,Arkansas,5.0,5170,209.2,2470760
HIV prevalence,2014,Arkansas,5.0,5010,203.7,2459895
HIV prevalence,2013,Arkansas,5.0,4714,192.4,2449550
HIV prevalence,2012,Arkansas,5.0,4534,185.9,2438682
HIV prevalence,2011,Arkansas,5.0,4365,179.9,2426548
HIV prevalence,2010,Arkansas,5.0,4264,177.1,2407988
HIV prevalence,2009,Arkansas,5.0,4255,179.2,2374089
HIV prevalence,2008,Arkansas,5.0,4092,173.6,2357363
HIV prevalence,2017,California,6.0,128153,389.7,32888662
HIV prevalence,2016,California,6.0,125142,383.1,32663036
HIV prevalence,2015,California,6.0,121331,374.6,32390164
HIV prevalence,2014,California,6.0,117575,366.6,32069627
HIV prevalence,2013,California,6.0,114685,361.5,31722579
HIV prevalence,2012,California,6.0,111896,356.4,31393072
HIV prevalence,2011,California,6.0,108706,349.9,31068145
HIV prevalence,2010,California,6.0,105686,343.7,30753805
HIV prevalence,2009,California,6.0,103295,342.4,30167113
HIV prevalence,2008,California,6.0,99511,333.5,29836645
HIV prevalence,2017,Colorado,8.0,12352,262.2,4710781
HIV prevalence,2016,Colorado,8.0,12034,259.8,4632063
HIV prevalence,2015,Colorado,8.0,11247,247.6,4542949
HIV prevalence,2014,Colorado,8.0,10841,243.8,4447355
HIV prevalence,2013,Colorado,8.0,10519,240.8,4367984
HIV prevalence,2012,Colorado,8.0,10310,240.3,4290960
HIV prevalence,2011,Colorado,8.0,10023,237.5,4220896
HIV prevalence,2010,Colorado,8.0,9730,234.3,4152382
HIV prevalence,2009,Colorado,8.0,10188,247.2,4120964
HIV prevalence,2008,Colorado,8.0,9963,246.0,4049693
HIV prevalence,2017,Connecticut,9.0,10328,337.4,3060949
HIV prevalence,2016,Connecticut,9.0,10121,330.7,3060226
HIV prevalence,2015,Connecticut,9.0,10142,331.2,3061946
HIV prevalence,2014,Connecticut,9.0,9984,326.1,3061978
HIV prevalence,2013,Connecticut,9.0,10248,335.5,3054288
HIV prevalence,2012,Connecticut,9.0,10004,328.7,3043910
HIV prevalence,2011,Connecticut,9.0,9978,329.3,3029649
HIV prevalence,2010,Connecticut,9.0,10011,332.2,3013777
HIV prevalence,2009,Connecticut,9.0,9286,314.6,2951882
HIV prevalence,2008,Connecticut,9.0,9176,312.9,2932812
HIV prevalence,2017,Delaware,10.0,3285,404.8,811576
HIV prevalence,2016,Delaware,10.0,3141,391.0,803341
HIV prevalence,2015,Delaware,10.0,3095,389.1,795441
HIV prevalence,2014,Delaware,10.0,3065,389.6,786714
HIV prevalence,2013,Delaware,10.0,3080,396.1,777619
HIV prevalence,2012,Delaware,10.0,3079,400.7,768406
HIV prevalence,2011,Delaware,10.0,3029,398.2,760646
HIV prevalence,2010,Delaware,10.0,2944,391.0,752949
HIV prevalence,2009,Delaware,10.0,2699,366.7,736007
HIV prevalence,2008,Delaware,10.0,2631,361.3,728265
HIV prevalence,2017,District of Columbia,11.0,14316,2398.9,596785
HIV prevalence,2016,District of Columbia,11.0,14383,2434.2,590875
HIV prevalence,2015,District of Columbia,11.0,14278,2452.2,582251
HIV prevalence,2014,District of Columbia,11.0,14233,2484.9,572788
HIV prevalence,2013,District of Columbia,11.0,14762,2617.2,564030
HIV prevalence,2012,District of Columbia,11.0,14741,2667.4,552642
HIV prevalence,2011,District of Columbia,11.0,14117,2605.6,541801
HIV prevalence,2010,District of Columbia,11.0,14051,2647.2,530795
HIV prevalence,2009,District of Columbia,11.0,12541,2430.5,515989
HIV prevalence,2008,District of Columbia,11.0,11980,2358.2,508021
HIV prevalence,2017,Florida,12.0,110034,612.3,17971716
HIV prevalence,2016,Florida,12.0,107223,607.2,17658611
HIV prevalence,2015,Florida,12.0,104575,604.3,17305349
HIV prevalence,2014,Florida,12.0,101249,596.2,16983458
HIV prevalence,2013,Florida,12.0,97215,581.8,16709125
HIV prevalence,2012,Florida,12.0,94914,575.9,16480031
HIV prevalence,2011,Florida,12.0,90657,557.6,16258521
HIV prevalence,2010,Florida,12.0,88395,551.8,16018609
HIV prevalence,2009,Florida,12.0,88085,564.1,15614290
HIV prevalence,2008,Florida,12.0,85212,549.4,15508944
HIV prevalence,2017,Georgia,13.0,52528,608.8,8627633
HIV prevalence,2016,Georgia,13.0,50589,594.0,8516944
HIV prevalence,2015,Georgia,13.0,48895,582.3,8397538
HIV prevalence,2014,Georgia,13.0,46988,566.9,8288270
HIV prevalence,2013,Georgia,13.0,47291,577.6,8187895
HIV prevalence,2012,Georgia,13.0,43573,537.5,8106476
HIV prevalence,2011,Georgia,13.0,41464,518.1,8003157
HIV prevalence,2010,Georgia,13.0,40172,507.7,7912814
HIV prevalence,2009,Georgia,13.0,33681,424.3,7937181
HIV prevalence,2008,Georgia,13.0,31624,404.0,7826920
HIV prevalence,2017,Hawaii,15.0,2524,210.6,1198339
HIV prevalence,2016,Hawaii,15.0,2519,209.9,1200302
HIV prevalence,2015,Hawaii,15.0,2526,211.6,1193935
HIV prevalence,2014,Hawaii,15.0,2464,207.5,1187196
HIV prevalence,2013,Hawaii,15.0,2430,205.8,1180667
HIV prevalence,2012,Hawaii,15.0,2374,203.1,1168924
HIV prevalence,2011,Hawaii,15.0,2386,206.4,1155908
HIV prevalence,2010,Hawaii,15.0,2386,208.6,1144087
HIV prevalence,2009,Hawaii,15.0,2027,187.2,1083032
HIV prevalence,2008,Hawaii,15.0,1969,182.7,1077785
HIV prevalence,2017,Idaho,16.0,1145,81.7,1402234
HIV prevalence,2016,Idaho,16.0,1093,79.8,1369107
HIV prevalence,2015,Idaho,16.0,1034,77.2,1339988
HIV prevalence,2014,Idaho,16.0,1007,76.2,1320877
HIV prevalence,2013,Idaho,16.0,1010,77.6,1301066
HIV prevalence,2012,Idaho,16.0,961,74.8,1283965
HIV prevalence,2011,Idaho,16.0,907,71.4,1270672
HIV prevalence,2010,Idaho,16.0,869,69.1,1256890
HIV prevalence,2009,Idaho,16.0,738,59.6,1238079
HIV prevalence,2008,Idaho,16.0,702,57.4,1223541
HIV prevalence,2017,Illinois,17.0,35076,326.9,10731215
HIV prevalence,2016,Illinois,17.0,34610,322.2,10743318
HIV prevalence,2015,Illinois,17.0,34056,316.6,10756428
HIV prevalence,2014,Illinois,17.0,33327,309.7,10759859
HIV prevalence,2013,Illinois,17.0,32528,302.8,10744121
HIV prevalence,2012,Illinois,17.0,31799,297.1,10704446
HIV prevalence,2011,Illinois,17.0,30998,290.6,10668059
HIV prevalence,2010,Illinois,17.0,29967,282.1,10623897
