Year,Full Name,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates
2008,United States,1997,107.4,7064,63.9,316174,1055.3,156622,452.1,39444,1392.2,467,133.4,248451,145.9
2009,United States,2076,110.2,7636,67.4,327839,1082,163450,457.9,40815,1397.3,507,141.9,255195,149.4
2010,United States,2158,119.4,8321,67,340290,1108.1,171228,450,42135,1183,545,136.5,262009,154.6
2011,United States,2235,122.2,8972,69.9,351382,1129.9,177916,456.2,43285,1173,591,144.3,268131,157.9
2012,United States,2349,126.8,9684,73,361885,1148.8,184965,463,44325,1159.1,630,150.1,274041,161
2013,United States,2429,129.4,10428,76.1,371811,1165.6,191715,468.4,45201,1140.9,665,154.5,279730,164
2014,United States,2545,134,11303,79.7,382149,1183.6,199003,474.6,45848,1117.5,699,158.9,285242,166.9
2015,United States,2671,139.2,12220,83.3,392774,1202.9,206599,480.7,46318,1091.2,765,170,290572,169.8
2016,United States,2849,146.9,13163,86.8,403300,1221.9,214530,486.9,46637,1061.7,792,172,295439,172.5
2017,United States,3026,154.5,14135,90.5,413471,1240.2,222392,493,46706,1027.7,836,177.8,300370,175.2
2008,Alabama,3,15.4,17,45.8,6197,628.5,299,318.1,556,1833.8,2,177.8,2856,105.7
2008,Alaska,130,163.8,6,22.7,61,296.3,53,176.8,25,127.1,2,62.2,270,71
2008,Arizona,336,161.3,80,62.7,1032,568.9,3048,216,302,530.1,5,73.5,6042,186.3
2008,Arkansas,4,23.6,9,36.3,1712,488.4,223,200.9,227,940.3,4,201,1910,104.5
2008,California,236,144.6,2777,73.1,16455,901.1,32897,331.1,3991,784.8,127,126.3,43019,318.5
2008,Colorado,54,178,65,63.3,1304,857.9,1948,273.3,254,496.6,4,99.5,6284,209.7
2008,Connecticut,7,109.3,52,53.9,2878,1086.1,3084,976.8,254,963.4,0,0,2900,130.5
2008,Delaware,3,139,5,24.6,1662,1145.6,200,475.5,89,1317.5,0,0,671,131.1
2008,District of Columbia,5,372,45,283.4,8335,3096.4,830,2085.5,892,15849.3,5,1474.9,1862,1058.9
2008,Florida,39,85.8,210,60.6,41527,1891.3,17095,550.8,2573,1872.3,15,170.3,23750,245.6
2008,Georgia,10,50.5,104,47.3,20741,904.1,1910,358.8,1913,2847.8,4,101.7,6935,147.9
2008,Hawaii,5,108.4,277,63.2,76,282.3,211,266,204,131.2,165,180.7,1031,365.7
2008,Idaho,9,60.6,5,37.1,27,395.3,98,90.3,25,178,0,0,538,50.5
2008,Illinois,16,85.9,258,57.9,12662,845.6,4723,338.9,1761,2088.7,14,378.3,8206,115.3
2008,Indiana,3,22.5,50,70.8,2601,585.6,588,252.7,342,815.6,0,0,4346,97.8
2008,Iowa,1,13.1,15,40.3,243,431.9,156,181,60,353.5,0,0,1006,44.1
2008,Kansas,5,26.1,16,32.5,521,405.9,326,185.2,127,446.1,1,78.6,1218,64.5
2008,Kentucky,5,61.9,15,43.4,1447,557.1,271,367.3,182,690.8,0,0,2684,85.1
2008,Louisiana,11,52.1,34,67.2,10257,919.8,621,527.4,408,1568.9,1,92.2,4089,176.5
2008,Maine,6,98.1,2,20.9,71,764.9,67,529.4,20,237.5,0,0,807,74.5
2008,Maryland,10,80.8,86,36.5,17870,1334.9,1323,463.1,2100,4146,5,215.2,3522,127.1
2008,Massachusetts,19,171.6,210,80.4,4543,1454.2,4022,951.6,331,664.9,0,0,7074,158.2
2008,Michigan,26,57.4,48,25.7,7014,621.8,639,215.6,524,567.5,3,134.2,4213,64
2008,Minnesota,86,195.4,78,54.1,1899,1102.7,553,379.6,215,490.2,2,99,3156,83.6
2008,Mississippi,10,94.4,9,46.2,5404,635.2,209,414.8,332,2260.7,1,150.8,1521,105.4
2008,Missouri,4,18,33,47.8,4098,766.4,542,399.2,422,823.3,2,61.5,4925,119.6
2008,Montana,17,38,0,0,6,159.4,13,62.9,15,142.7,0,0,256,35.2
2008,Nebraska,18,157.9,12,54.1,368,627.8,196,205.5,43,368.4,1,113.3,798,63.5
2008,Nevada,29,132.1,98,69.7,1301,836.9,1299,269.5,233,605,10,105.9,3100,244
2008,New Hampshire,0,0,8,40.9,122,1133.1,138,536.8,40,477,0,0,723,68.7
2008,New Jersey,10,87.9,214,40.1,15657,1687.6,8567,789.8,2412,3942.7,6,217.2,6510,142
2008,New Mexico,136,100.8,6,29.2,102,309.7,1038,149.5,53,310.6,1,89.8,812,112.9
2008,New York,43,84.4,1038,93.7,41806,1776.3,40050,1589.1,9418,6095.2,11,151.4,20958,206.7
2008,North Carolina,133,157.4,66,46.4,13896,873.2,1384,306.7,885,1488,5,137.6,5391,102.2
2008,North Dakota,8,31.7,1,24.9,22,456.3,5,51.6,8,177,0,0,119,24.2
2008,Ohio,11,53.3,48,33.6,6366,585.1,932,419.5,654,751.4,1,41.3,7359,91.6
2008,Oklahoma,223,100.8,19,39.1,934,423.8,375,191.9,266,271.4,5,215.4,2552,116
2008,Oregon,40,111.6,63,56.3,296,573.8,568,200.8,143,248,10,127.9,3405,130.4
2008,Pennsylvania,17,111.8,122,50.1,13218,1266.9,4183,947.6,1567,2199.1,14,494,8488,96.4
2008,Rhode Island,8,235.9,24,104.8,449,1070.8,472,516.9,55,625.5,1,207.9,875,120.7
2008,South Carolina,8,60.9,23,51.5,9285,907.6,496,374.5,386,1453,2,135.3,3051,122.5
2008,South Dakota,52,110.6,2,40.2,69,1187.8,18,127.8,15,229,0,0,208,35.7
2008,Tennessee,5,34.3,35,52.7,7478,910.7,492,300.9,463,1150.1,5,252,4900,120.6
2008,Texas,32,41.4,347,52.8,20450,926.1,16839,260.7,2626,1630.4,12,92.8,17901,184
2008,Utah,19,79.3,18,42.8,172,934.9,409,185.3,66,297.4,4,27.7,1447,83
2008,Vermont,0,0,3,53.3,30,787.8,23,334.4,19,393,0,0,307,60.1
2008,Virginia,9,48,156,50.2,10249,825.2,1375,349.9,955,1281.9,5,130.5,5245,118.4
2008,Washington,111,145.8,210,57.1,1228,680.8,1165,259.3,731,613.1,12,52.2,6085,143.7
2008,West Virginia,1,28.6,3,30.4,341,670.3,46,288,72,670.7,0,0,867,59.8
2008,Wisconsin,19,49.5,40,45.4,1681,664.7,577,289.3,179,505.3,0,0,2126,52.1
2008,Wyoming,5,54.5,2,63,11,276.1,26,87.4,11,243.5,0,0,133,34.2
2009,Alabama,4,20.4,20,51.6,6471,651.4,309,310.1,596,1901.4,2,172.6,2936,108.2
2009,Alaska,133,164.5,8,28.9,62,306.7,54,174.1,26,129.2,2,59.8,269,70.3
2009,Arizona,366,173.9,87,65.8,1070,565.3,3234,221.9,310,521.6,7,99.1,6213,190.5
2009,Arkansas,4,23.2,10,38.5,1786,505,259,222.1,235,948.3,4,187.2,1954,106.6
2009,California,246,149.4,2973,76.8,17088,930.6,34612,339.8,4161,798.7,145,142.5,44061,326.7
