Year,Full Name,M2F Prev Cases,ID Prev Cases,M2M Prev Cases,M2MID Prev Cases,O Prev Cases
2008,United States,198986,129675,377059,53476,11842
2009,United States,207207,128542,396415,53851,12321
2010,United States,215621,128187,416426,54398,12874
2011,United States,222657,126951,435787,54703,13233
2012,United States,228941,125651,455566,55013,13506
2013,United States,234919,124193,474770,55110,13783
2014,United States,240788,122629,494900,55179,14085
2015,United States,246636,121420,515113,55210,14328
2016,United States,252679,120127,534878,55255,14554
2017,United States,258162,119245,554159,55318,14834
2008,Alabama,3315,1110,4833,624,112
2008,Alaska,146,70,272,53,7
2008,Arizona,1322,1295,6964,1189,122
2008,Arkansas,1053,529,2143,320,48
2008,California,11432,8703,68279,10096,1002
2008,Colorado,1073,882,6663,1264,81
2008,Connecticut,2580,3732,2317,347,200
2008,Delaware,857,741,834,163,37
2008,District of Columbia,3390,2267,5474,706,145
2008,Florida,33472,9591,36624,4221,1305
2008,Georgia,8967,3397,16977,1939,344
2008,Hawaii,220,167,1404,154,24
2008,Idaho,131,100,363,95,13
2008,Illinois,5489,4590,15020,2111,433
2008,Indiana,1756,754,4682,634,104
2008,Iowa,346,157,816,130,32
2008,Kansas,453,199,1285,250,29
2008,Kentucky,977,506,2766,308,49
2008,Louisiana,5786,2194,6126,1080,241
2008,Maine,153,127,617,62,16
2008,Maryland,8440,7534,7117,1380,445
2008,Massachusetts,3920,4642,6465,823,350
2008,Michigan,2726,1662,7087,770,226
2008,Minnesota,1383,553,3528,445,85
2008,Mississippi,2755,862,3343,422,138
2008,Missouri,1783,825,6444,867,109
2008,Montana,49,40,170,44,4
2008,Nebraska,369,146,769,126,26
2008,Nevada,907,699,3787,622,57
2008,New Hampshire,237,191,512,66,27
2008,New Jersey,10250,10809,10004,1633,729
2008,New Mexico,288,230,1337,269,26
2008,New York,30372,31428,42821,6292,2730
2008,North Carolina,7492,3254,9653,1084,285
2008,North Dakota,34,19,97,10,3
2008,Ohio,3585,1426,9349,901,228
2008,Oklahoma,709,522,2541,543,59
2008,Oregon,562,477,2992,437,57
2008,Pennsylvania,8769,7374,9404,1622,443
2008,Rhode Island,532,497,728,100,28
2008,South Carolina,5087,1719,5554,727,173
2008,South Dakota,116,60,146,28,15
2008,Tennessee,4068,1349,7182,626,155
2008,Texas,13489,7901,31311,4947,568
2008,Utah,264,257,1263,325,29
2008,Vermont,61,54,224,34,10
2008,Virginia,5247,2376,9055,1073,274
2008,Washington,1320,830,6246,1040,115
2008,West Virginia,282,223,729,82,19
2008,Wisconsin,940,576,2654,370,83
2008,Wyoming,34,35,93,22,4
2009,Alabama,3419,1104,5139,627,113
2009,Alaska,150,69,275,53,7
2009,Arizona,1404,1321,7283,1204,122
2009,Arkansas,1086,529,2268,320,52
2009,California,11939,8794,71297,10238,1028
2009,Colorado,1122,868,6834,1282,82
2009,Connecticut,2657,3648,2444,341,196
2009,Delaware,887,728,883,162,39
2009,District of Columbia,3629,2271,5788,703,151
2009,Florida,34567,9519,38419,4217,1364
2009,Georgia,9526,3452,18365,1970,367
2009,Hawaii,232,173,1446,153,24
2009,Idaho,130,104,393,98,13
2009,Illinois,5772,4550,15870,2114,460
2009,Indiana,1840,745,4878,640,108
2009,Iowa,372,165,875,132,32
2009,Kansas,493,196,1349,256,29
2009,Kentucky,1034,517,2925,313,53
2009,Louisiana,6143,2201,6424,1074,247
2009,Maine,164,131,635,66,15
2009,Maryland,8988,7396,7666,1376,462
2009,Massachusetts,4058,4587,6770,836,363
2009,Michigan,2839,1647,7498,776,234
2009,Minnesota,1450,552,3732,454,92
2009,Mississippi,2848,853,3522,418,143
2009,Missouri,1842,811,6685,871,112
2009,Montana,52,40,188,47,4
2009,Nebraska,404,154,810,124,29
2009,Nevada,950,695,3974,625,56
2009,New Hampshire,245,187,526,63,28
2009,New Jersey,10511,10624,10482,1634,765
2009,New Mexico,310,239,1403,280,26
2009,New York,31093,30810,44483,6269,2857
2009,North Carolina,7814,3227,10353,1092,298
