Year,Geography,13-24,,25-34,,35-44,,45-54,,55+,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,248,0.5,"1,425",3.5,"4,592",10.9,"6,868",15.5,"5,411",7.5
2009,United States,229,0.4,"1,352",3.3,"4,005",9.6,"6,638",14.9,"5,840",7.9
2010,United States,239,0.5,"1,165",2.8,"3,237",7.9,"6,260",13.9,"5,873",7.6
2011,United States,229,0.4,"1,096",2.6,"2,879",7.1,"5,939",13.3,"6,188",7.8
2012,United States,195,0.4,"1,107",2.6,"2,560",6.3,"5,694",12.9,"6,478",7.9
2013,United States,179,0.3,"1,053",2.5,"2,310",5.7,"5,480",12.5,"6,895",8.2
2014,United States,187,0.4,996,2.3,"2,247",5.6,"5,162",11.9,"7,556",8.8
2015,United States,160,0.3,988,2.2,"2,043",5,"4,946",11.5,"7,722",8.7
2016,United States,167,0.3,"1,105",2.5,"1,955",4.8,"4,643",10.9,"8,464",9.3
2017,United States,147,0.3,"1,019",2.3,"1,789",4.4,"4,351",10.3,"8,663",9.3
