Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Population
HIV deaths,2017,United States,NA,"15,969",5.9,"272,460,904"
HIV deaths,2016,United States,NA,"16,334",6,"270,301,427"
HIV deaths,2015,United States,NA,"15,859",5.9,"268,005,522"
HIV deaths,2014,United States,NA,"16,148",6.1,"265,732,678"
HIV deaths,2013,United States,NA,"15,917",6,"263,356,005"
HIV deaths,2012,United States,NA,"16,034",6.1,"261,032,045"
HIV deaths,2011,United States,NA,"16,331",6.3,"258,666,188"
HIV deaths,2010,United States,NA,"16,774",6.5,"256,390,428"
HIV deaths,2009,United States,NA,"18,064",7.1,"253,253,138"
HIV deaths,2008,United States,NA,"18,544",7.4,"251,009,998"
