Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Population
HIV deaths,2017,Alabama,1,244,6,"4,094,777"
HIV deaths,2016,Alabama,1,266,6.5,"4,082,972"
HIV deaths,2015,Alabama,1,276,6.8,"4,070,748"
HIV deaths,2014,Alabama,1,279,6.9,"4,059,211"
HIV deaths,2013,Alabama,1,244,6,"4,041,871"
HIV deaths,2012,Alabama,1,281,7,"4,019,335"
HIV deaths,2011,Alabama,1,255,6.4,"3,997,493"
HIV deaths,2010,Alabama,1,274,6.9,"3,980,625"
HIV deaths,2009,Alabama,1,310,8,"3,898,688"
HIV deaths,2008,Alabama,1,288,7.4,"3,870,996"
HIV deaths,2017,Alaska,2,8,1.3,"603,161"
HIV deaths,2016,Alaska,2,13,2.2,"604,157"
HIV deaths,2015,Alaska,2,12,2,"600,941"
HIV deaths,2014,Alaska,2,12,2,"599,474"
HIV deaths,2013,Alaska,2,16,2.7,"599,385"
HIV deaths,2012,Alaska,2,11,1.9,"592,771"
HIV deaths,2011,Alaska,2,12,2.1,"584,567"
HIV deaths,2010,Alaska,2,16,2.8,"577,749"
HIV deaths,2009,Alaska,2,13,2.3,"565,800"
HIV deaths,2008,Alaska,2,21,3.8,"559,346"
HIV deaths,2017,Arizona,4,197,3.4,"5,874,596"
HIV deaths,2016,Arizona,4,242,4.2,"5,770,861"
HIV deaths,2015,Arizona,4,213,3.8,"5,663,944"
HIV deaths,2014,Arizona,4,220,4,"5,567,140"
HIV deaths,2013,Arizona,4,214,3.9,"5,469,060"
HIV deaths,2012,Arizona,4,211,3.9,"5,388,365"
HIV deaths,2011,Arizona,4,191,3.6,"5,304,658"
HIV deaths,2010,Arizona,4,199,3.8,"5,229,908"
HIV deaths,2009,Arizona,4,213,4,"5,316,387"
HIV deaths,2008,Arizona,4,233,4.5,"5,235,123"
HIV deaths,2017,Arkansas,5,104,4.2,"2,495,932"
HIV deaths,2016,Arkansas,5,94,3.8,"2,482,955"
HIV deaths,2015,Arkansas,5,110,4.5,"2,470,760"
HIV deaths,2014,Arkansas,5,120,4.9,"2,459,895"
HIV deaths,2013,Arkansas,5,120,4.9,"2,449,550"
HIV deaths,2012,Arkansas,5,90,3.7,"2,438,682"
HIV deaths,2011,Arkansas,5,111,4.6,"2,426,548"
HIV deaths,2010,Arkansas,5,114,4.7,"2,407,988"
HIV deaths,2009,Arkansas,5,112,4.7,"2,374,089"
HIV deaths,2008,Arkansas,5,113,4.8,"2,357,363"
HIV deaths,2017,California,6,"1,708",5.2,"32,888,662"
HIV deaths,2016,California,6,"1,765",5.4,"32,663,036"
HIV deaths,2015,California,6,"1,698",5.2,"32,390,164"
HIV deaths,2014,California,6,"1,635",5.1,"32,069,627"
HIV deaths,2013,California,6,"1,607",5.1,"31,722,579"
HIV deaths,2012,California,6,"1,555",5,"31,393,072"
HIV deaths,2011,California,6,"1,605",5.2,"31,068,145"
HIV deaths,2010,California,6,"1,543",5,"30,753,805"
HIV deaths,2009,California,6,"1,632",5.4,"30,167,113"
HIV deaths,2008,California,6,"1,777",6,"29,836,645"
HIV deaths,2017,Colorado,8,133,2.8,"4,710,781"
HIV deaths,2016,Colorado,8,127,2.7,"4,632,063"
HIV deaths,2015,Colorado,8,124,2.7,"4,542,949"
HIV deaths,2014,Colorado,8,146,3.3,"4,447,355"
HIV deaths,2013,Colorado,8,114,2.6,"4,367,984"
HIV deaths,2012,Colorado,8,112,2.6,"4,290,960"
HIV deaths,2011,Colorado,8,126,3,"4,220,896"
HIV deaths,2010,Colorado,8,137,3.3,"4,152,382"
HIV deaths,2009,Colorado,8,144,3.5,"4,120,964"
HIV deaths,2008,Colorado,8,118,2.9,"4,049,693"
HIV deaths,2017,Connecticut,9,197,6.4,"3,060,949"
HIV deaths,2016,Connecticut,9,195,6.4,"3,060,226"
HIV deaths,2015,Connecticut,9,183,6,"3,061,946"
HIV deaths,2014,Connecticut,9,184,6,"3,061,978"
HIV deaths,2013,Connecticut,9,175,5.7,"3,054,288"
HIV deaths,2012,Connecticut,9,191,6.3,"3,043,910"
HIV deaths,2011,Connecticut,9,214,7.1,"3,029,649"
HIV deaths,2010,Connecticut,9,209,6.9,"3,013,777"
