Year,Geography,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,85,4.6,104,0.9,"9,413",31.4,"2,869",8.3,722,25.5,14,4,"5,335",3.1
2009,United States,65,3.4,75,0.7,"9,046",29.9,"2,817",7.9,877,30,7,2,"5,176",3
2010,United States,73,4,69,0.6,"8,096",26.4,"2,637",6.9,883,24.8,6,1.5,"5,006",3
2011,United States,57,3.1,83,0.6,"7,766",25,"2,687",6.9,851,23.1,7,1.7,"4,878",2.9
2012,United States,54,2.9,72,0.5,"7,537",23.9,"2,455",6.1,889,23.2,7,1.7,"4,999",2.9
2013,United States,64,3.4,71,0.5,"7,390",23.2,"2,541",6.2,967,24.4,10,2.3,"4,871",2.9
2014,United States,61,3.2,60,0.4,"7,348",22.8,"2,652",6.3,991,24.2,9,2,"5,023",2.9
2015,United States,62,3.2,81,0.6,"7,127",21.8,"2,505",5.8,"1,023",24.1,7,1.6,"5,048",3
2016,United States,47,2.4,102,0.7,"7,218",21.9,"2,615",5.9,"1,024",23.3,14,3,"5,312",3.1
2017,United States,39,2,84,0.5,"7,048",21.1,"2,606",5.8,"1,061",23.3,8,1.7,"5,122",3
