Year,Geography,Female,,Male,
,,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,"4,956",3.9,"13,588",11.1
2009,United States,"4,773",3.7,"13,291",10.7
2010,United States,"4,384",3.3,"12,390",9.9
2011,United States,"4,240",3.2,"12,091",9.6
2012,United States,"4,222",3.2,"11,812",9.3
2013,United States,"4,066",3,"11,851",9.2
2014,United States,"4,183",3.1,"11,965",9.2
2015,United States,"3,901",2.8,"11,958",9.1
2016,United States,"4,006",2.9,"12,328",9.3
2017,United States,"3,902",2.8,"12,067",9.1
