Year,Geography,Female,,Male,
,,Cases,Rate per 100000,Cases,Rate per 100000
2008,Alabama,80,4,208,11.2
2008,Alaska,10,3.8,11,3.7
2008,Arizona,39,1.5,194,7.4
2008,Arkansas,34,2.8,79,6.9
2008,California,273,1.8,"1,504",10.1
2008,Colorado,11,0.5,107,5.3
2008,Connecticut,93,6.1,167,11.8
2008,Delaware,38,10,57,16.3
2008,District of Columbia,103,37.9,205,86.7
2008,Florida,696,8.8,"1,712",22.6
2008,Georgia,289,7.2,615,16.1
2008,Hawaii,7,1.3,39,7.2
2008,Idaho,2,0.3,14,2.3
2008,Illinois,159,2.9,454,8.8
2008,Indiana,43,1.6,159,6.2
2008,Iowa,4,0.3,21,1.7
2008,Kansas,3,0.3,55,4.9
2008,Kentucky,34,1.9,103,6
2008,Louisiana,146,7.7,338,19.3
2008,Maine,4,0.7,22,4
2008,Maryland,240,9.8,505,22.4
2008,Massachusetts,76,2.6,221,8.3
2008,Michigan,95,2.2,275,6.8
2008,Minnesota,14,0.6,66,3.1
2008,Mississippi,77,6.2,169,14.8
2008,Missouri,37,1.5,179,7.5
2008,Montana,3,0.7,12,3
2008,Nebraska,8,1.1,20,2.8
2008,Nevada,18,1.7,122,11.3
2008,New Hampshire,6,1.1,12,2.2
2008,New Jersey,273,7.4,595,17
2008,New Mexico,9,1.1,58,7.3
2008,New York,819,9.7,"1,646",21
2008,North Carolina,180,4.6,397,10.8
2008,North Dakota,0,0,10,3.7
2008,Ohio,74,1.5,297,6.4
2008,Oklahoma,19,1.2,107,7.3
2008,Oregon,11,0.7,69,4.4
2008,Pennsylvania,190,3.5,515,10.1
2008,Rhode Island,5,1.1,40,9.3
2008,South Carolina,113,5.8,262,14.6
2008,South Dakota,1,0.3,9,2.7
2008,Tennessee,109,4.1,310,12.4
2008,Texas,347,3.6,"1,080",11.3
2008,Utah,7,0.7,35,3.4
2008,Vermont,1,0.4,5,1.9
2008,Virginia,100,3,260,8.2
2008,Washington,25,0.9,148,5.5
2008,West Virginia,10,1.3,35,4.7
2008,Wisconsin,20,0.8,62,2.7
2008,Wyoming,1,0.5,3,1.3
2009,Alabama,76,3.7,234,12.5
2009,Alaska,6,2.2,7,2.4
2009,Arizona,23,0.9,190,7.2
2009,Arkansas,25,2,87,7.6
2009,California,248,1.6,"1,384",9.2
2009,Colorado,14,0.7,130,6.3
2009,Connecticut,74,4.9,160,11.2
2009,Delaware,18,4.7,64,18.1
2009,District of Columbia,93,33.7,197,82.1
2009,Florida,701,8.8,"1,528",20
2009,Georgia,261,6.4,706,18.3
2009,Hawaii,2,0.4,24,4.4
2009,Idaho,4,0.6,3,0.5
2009,Illinois,154,2.8,461,8.9
2009,Indiana,35,1.3,171,6.6
2009,Iowa,5,0.4,32,2.6
2009,Kansas,5,0.4,36,3.2
2009,Kentucky,19,1,106,6.1
2009,Louisiana,164,8.6,375,21.2
2009,Maine,2,0.3,22,4
2009,Maryland,202,8.2,478,21
2009,Massachusetts,94,3.2,205,7.6
2009,Michigan,73,1.7,232,5.7
2009,Minnesota,25,1.1,75,3.5
2009,Mississippi,73,5.8,155,13.5
2009,Missouri,41,1.6,175,7.3
2009,Montana,1,0.2,8,2
2009,Nebraska,5,0.7,26,3.6
2009,Nevada,15,1.4,107,9.8
2009,New Hampshire,5,0.9,17,3.1
