Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
,,Cases,Cases,Cases,Cases,Cases
2008,United States,"4,912","5,205","6,767","1,449",210
2009,United States,"4,705","4,947","6,719","1,504",189
2010,United States,"4,431","4,405","6,410","1,353",174
2011,United States,"4,288","4,180","6,330","1,334",200
2012,United States,"4,299","3,965","6,285","1,290",194
2013,United States,"4,133","3,878","6,401","1,335",169
2014,United States,"4,241","3,869","6,538","1,346",153
2015,United States,"4,065","3,638","6,575","1,402",180
2016,United States,"4,226","3,661","6,883","1,387",177
2017,United States,"4,163","3,451","6,855","1,327",174
