Year,Geography,13-24,,25-34,,35-44,,45-54,,55+,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,"8,577",16.8,"12,538",30.6,"12,630",29.9,"9,385",21.2,"4,160",5.7
2009,United States,"8,802",17.2,"11,984",28.8,"11,392",27.4,"8,652",19.4,"3,921",5.3
2010,United States,"9,123",17.6,"11,703",28.4,"10,132",24.7,"8,227",18.3,"3,882",5
2011,United States,"9,060",17.4,"11,504",27.5,"9,126",22.5,"7,800",17.4,"3,821",4.8
2012,United States,"9,058",17.3,"11,816",27.9,"8,510",21,"7,396",16.7,"3,749",4.6
2013,United States,"8,759",16.7,"11,821",27.6,"7,873",19.5,"6,855",15.7,"3,922",4.7
2014,United States,"9,125",17.4,"12,623",29,"8,001",19.8,"6,496",15,"3,718",4.3
2015,United States,"9,061",17.4,"13,039",29.6,"7,663",18.9,"6,310",14.7,"3,723",4.2
2016,United States,"8,640",16.7,"13,592",30.4,"7,503",18.5,"5,968",14,"3,817",4.2
2017,United States,"8,245",16,"13,346",29.5,"7,245",17.8,"5,594",13.2,"3,796",4.1
2018,United States,"7,734",15.1,"13,322",29.2,"7,158",17.3,"5,282",12.7,"3,790",4
