Year,Geography,FIPS,Cases,Rate per 100000,Population,Indicator
2018,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Abbeville County, SC",45001,5,23.7,"21,075",HIV diagnoses
2013,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Acadia Parish, LA",22001,10,19.8,"50,606",HIV diagnoses
2017,"Acadia Parish, LA",22001,6,11.8,"50,783",HIV diagnoses
2016,"Acadia Parish, LA",22001,12,23.6,"50,906",HIV diagnoses
2015,"Acadia Parish, LA",22001,6,11.8,"50,733",HIV diagnoses
2014,"Acadia Parish, LA",22001,6,11.8,"50,651",HIV diagnoses
2013,"Acadia Parish, LA",22001,7,13.9,"50,280",HIV diagnoses
2012,"Acadia Parish, LA",22001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Acadia Parish, LA",22001,8,16.1,"49,793",HIV diagnoses
2010,"Acadia Parish, LA",22001,9,18.1,"49,736",HIV diagnoses
2009,"Acadia Parish, LA",22001,10,20.8,"48,081",HIV diagnoses
2008,"Acadia Parish, LA",22001,5,10.4,"48,028",HIV diagnoses
2018,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Accomack County, VA",51001,0,0,"27,910",HIV diagnoses
2015,"Accomack County, VA",51001,6,21.5,"27,904",HIV diagnoses
2014,"Accomack County, VA",51001,7,25,"27,964",HIV diagnoses
2013,"Accomack County, VA",51001,5,17.9,"27,945",HIV diagnoses
2012,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Accomack County, VA",51001,0,0,"28,124",HIV diagnoses
2009,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Ada County, ID",16001,14,3.6,"391,848",HIV diagnoses
2017,"Ada County, ID",16001,17,4.5,"379,392",HIV diagnoses
2016,"Ada County, ID",16001,11,3,"368,126",HIV diagnoses
2015,"Ada County, ID",16001,18,5,"356,854",HIV diagnoses
2014,"Ada County, ID",16001,11,3.1,"349,356",HIV diagnoses
2013,"Ada County, ID",16001,15,4.4,"340,146",HIV diagnoses
2012,"Ada County, ID",16001,19,5.7,"332,649",HIV diagnoses
2011,"Ada County, ID",16001,22,6.8,"325,159",HIV diagnoses
2010,"Ada County, ID",16001,18,5.7,"317,604",HIV diagnoses
2009,"Ada County, ID",16001,17,5.5,"311,241",HIV diagnoses
2008,"Ada County, ID",16001,9,2.9,"306,746",HIV diagnoses
2018,"Adair County, MO",29001,0,0,"22,046",HIV diagnoses
2017,"Adair County, MO",29001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adair County, MO",29001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Adair County, MO",29001,0,0,"21,981",HIV diagnoses
2014,"Adair County, MO",29001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adair County, MO",29001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adair County, MO",29001,0,0,"22,196",HIV diagnoses
2011,"Adair County, MO",29001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Adair County, MO",29001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Adair County, MO",29001,0,0,"21,648",HIV diagnoses
2008,"Adair County, MO",29001,0,0,"21,548",HIV diagnoses
2018,"Adair County, IA",19001,0,0,"5,993",HIV diagnoses
2017,"Adair County, IA",19001,0,0,"5,984",HIV diagnoses
2016,"Adair County, IA",19001,0,0,"5,935",HIV diagnoses
2015,"Adair County, IA",19001,0,0,"6,063",HIV diagnoses
2014,"Adair County, IA",19001,0,0,"6,235",HIV diagnoses
2013,"Adair County, IA",19001,0,0,"6,262",HIV diagnoses
2012,"Adair County, IA",19001,0,0,"6,342",HIV diagnoses
2011,"Adair County, IA",19001,0,0,"6,383",HIV diagnoses
2010,"Adair County, IA",19001,0,0,"6,470",HIV diagnoses
2009,"Adair County, IA",19001,0,0,"6,286",HIV diagnoses
2008,"Adair County, IA",19001,0,0,"6,349",HIV diagnoses
2018,"Adair County, OK",40001,0,0,"17,876",HIV diagnoses
2017,"Adair County, OK",40001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adair County, OK",40001,0,0,"17,951",HIV diagnoses
2015,"Adair County, OK",40001,0,0,"17,962",HIV diagnoses
2014,"Adair County, OK",40001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adair County, OK",40001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adair County, OK",40001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Adair County, OK",40001,0,0,"18,169",HIV diagnoses
2010,"Adair County, OK",40001,0,0,"18,172",HIV diagnoses
2009,"Adair County, OK",40001,0,0,"17,303",HIV diagnoses
2008,"Adair County, OK",40001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
