Year,Geography,FIPS,Cases,Rate per 100000,Population,Indicator
2018,Alabama,1,572,13.9,"4,109,359",HIV diagnoses
2017,Alabama,1,651,15.9,"4,094,777",HIV diagnoses
2016,Alabama,1,663,16.2,"4,082,972",HIV diagnoses
2015,Alabama,1,663,16.3,"4,070,748",HIV diagnoses
2014,Alabama,1,669,16.5,"4,059,211",HIV diagnoses
2013,Alabama,1,635,15.7,"4,041,871",HIV diagnoses
2012,Alabama,1,666,16.6,"4,019,335",HIV diagnoses
2011,Alabama,1,683,17.1,"3,997,493",HIV diagnoses
2010,Alabama,1,681,17.1,"3,980,625",HIV diagnoses
2009,Alabama,1,695,17.8,"3,898,688",HIV diagnoses
2008,Alabama,1,709,18.3,"3,870,996",HIV diagnoses
2018,Alaska,2,20,3.3,"602,095",HIV diagnoses
2017,Alaska,2,34,5.6,"603,161",HIV diagnoses
2016,Alaska,2,37,6.1,"604,157",HIV diagnoses
2015,Alaska,2,25,4.2,"600,941",HIV diagnoses
2014,Alaska,2,38,6.3,"599,474",HIV diagnoses
2013,Alaska,2,23,3.8,"599,385",HIV diagnoses
2012,Alaska,2,28,4.7,"592,771",HIV diagnoses
2011,Alaska,2,24,4.1,"584,567",HIV diagnoses
2010,Alaska,2,35,6.1,"577,749",HIV diagnoses
2009,Alaska,2,21,3.7,"565,800",HIV diagnoses
2008,Alaska,2,39,7,"559,346",HIV diagnoses
2018,Arizona,4,806,13.4,"5,996,296",HIV diagnoses
2017,Arizona,4,725,12.3,"5,874,596",HIV diagnoses
2016,Arizona,4,714,12.4,"5,770,861",HIV diagnoses
2015,Arizona,4,690,12.2,"5,663,944",HIV diagnoses
2014,Arizona,4,741,13.3,"5,567,140",HIV diagnoses
2013,Arizona,4,689,12.6,"5,469,060",HIV diagnoses
2012,Arizona,4,620,11.5,"5,388,365",HIV diagnoses
2011,Arizona,4,563,10.6,"5,304,658",HIV diagnoses
2010,Arizona,4,619,11.8,"5,229,908",HIV diagnoses
2009,Arizona,4,642,12.1,"5,316,387",HIV diagnoses
2008,Arizona,4,679,13,"5,235,123",HIV diagnoses
2018,Arkansas,5,281,11.2,"2,508,847",HIV diagnoses
2017,Arkansas,5,287,11.5,"2,495,932",HIV diagnoses
2016,Arkansas,5,312,12.6,"2,482,955",HIV diagnoses
2015,Arkansas,5,273,11,"2,470,760",HIV diagnoses
2014,Arkansas,5,312,12.7,"2,459,895",HIV diagnoses
2013,Arkansas,5,262,10.7,"2,449,550",HIV diagnoses
2012,Arkansas,5,247,10.1,"2,438,682",HIV diagnoses
2011,Arkansas,5,241,9.9,"2,426,548",HIV diagnoses
2010,Arkansas,5,234,9.7,"2,407,988",HIV diagnoses
2009,Arkansas,5,280,11.8,"2,374,089",HIV diagnoses
2008,Arkansas,5,238,10.1,"2,357,363",HIV diagnoses
2018,California,6,"4,398",13.3,"33,089,613",HIV diagnoses
2017,California,6,"4,766",14.5,"32,888,662",HIV diagnoses
2016,California,6,"5,172",15.8,"32,663,036",HIV diagnoses
