Year,Geography,Female,,Male,
,,Cases,Rate per 100000,Cases,Rate per 100000
2008,"Abbeville County, SC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Acadia Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Accomack County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Ada County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adair County, IA",0,0,0,0
2008,"Adair County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adair County, MO",0,0,0,0
2008,"Adair County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, CO",11,6.6,54,31.5
2008,"Adams County, IA",0,0,0,0
2008,"Adams County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, NE",0,0,0,0
2008,"Adams County, OH",0,0,0,0
2008,"Adams County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, WA",0,0,0,0
2008,"Adams County, WI",0,0,0,0
2008,"Addison County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aiken County, SC",5,7.4,10,16.3
2008,"Aitkin County, MN",0,0,0,0
2008,"Alachua County, FL",19,17.6,50,49
2008,"Alamance County, NC",6,9.4,26,44.9
2008,"Alameda County, CA",39,6.3,192,32
2008,"Alamosa County, CO",0,0,0,0
2008,"Albany County, NY",15,11.2,39,32
2008,"Albany County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Albemarle County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alcona County, MI",0,0,0,0
2008,"Alcorn County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aleutians East Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aleutians West Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alexander County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alexander County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alexandria City, VA",8,12.5,38,64.4
2008,"Alfalfa County, OK",0,0,0,0
2008,"Alger County, MI",0,0,0,0
2008,"Allamakee County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allegan County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allegany County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allegany County, NY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alleghany County, NC",0,0,0,0
2008,"Alleghany County, VA",0,0,0,0
2008,"Allegheny County, PA",27,4.9,122,24.7
2008,"Allen County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allen County, KS",0,0,0,0
2008,"Allen County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allen County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allen Parish, LA",0,0,6,49.4
2008,"Allendale County, SC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alpena County, MI",0,0,0,0
2008,"Alpine County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Amador County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Amelia County, VA",0,0,0,0
2008,"Amherst County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Amite County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anchorage Municipality, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anderson County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anderson County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anderson County, SC",6,7.6,9,12.5
2008,"Anderson County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anderson County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Andrew County, MO",0,0,0,0
2008,"Andrews County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Androscoggin County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Angelina County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anne Arundel County, MD",34,15.6,67,31.6
2008,"Anoka County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anson County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Antelope County, NE",0,0,0,0
2008,"Antrim County, MI",0,0,0,0
2008,"Apache County, AZ",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Appanoose County, IA",0,0,0,0
2008,"Appling County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Appomattox County, VA",0,0,0,0
2008,"Aransas County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Arapahoe County, CO",18,7.8,50,22.7
2008,"Archer County, TX",0,0,0,0
2008,"Archuleta County, CO",0,0,0,0
2008,"Arenac County, MI",0,0,0,0
2008,"Arkansas County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Arlington County, VA",9,9.9,38,41.3
2008,"Armstrong County, PA",0,0,0,0
2008,"Armstrong County, TX",0,0,0,0
2008,"Aroostook County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Arthur County, NE",0,0,0,0
2008,"Ascension Parish, LA",0,0,9,22.7
2008,"Ashe County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Ashland County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Ashland County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Ashley County, AR",0,0,0,0
2008,"Ashtabula County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Asotin County, WA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Assumption Parish, LA",0,0,0,0
2008,"Atascosa County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Atchison County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Atchison County, MO",0,0,0,0
2008,"Athens County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Atkinson County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Atlantic County, NJ",20,17.1,31,28.5
2008,"Atoka County, OK",0,0,0,0
2008,"Attala County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Audrain County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Audubon County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Auglaize County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Augusta County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aurora County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Austin County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Autauga County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Avery County, NC",0,0,0,0
2008,"Avoyelles Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baca County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bacon County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bailey County, TX",0,0,0,0
2008,"Baker County, FL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baker County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baker County, OR",0,0,0,0
2008,"Baldwin County, AL",5,6.6,13,18.2
2008,"Baldwin County, GA",5,27.3,20,90.7
2008,"Ballard County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baltimore City, MD",259,89.5,529,217
2008,"Baltimore County, MD",73,20.7,138,44.2
2008,"Bamberg County, SC",0,0,5,85.6
2008,"Bandera County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Banks County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Banner County, NE",0,0,0,0
2008,"Bannock County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baraga County, MI",0,0,0,0
2008,"Barber County, KS",0,0,0,0
2008,"Barbour County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barbour County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barnes County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barnstable County, MA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barnwell County, SC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barren County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barron County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barrow County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barry County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barry County, MO",0,0,0,0
2008,"Bartholomew County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barton County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barton County, MO",0,0,0,0
2008,"Bartow County, GA",6,15.6,15,40.6
2008,"Bastrop County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bates County, MO",0,0,0,0
2008,"Bath County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bath County, VA",0,0,0,0
2008,"Baxter County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bay County, FL",9,12.9,18,26.9
2008,"Bay County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bayfield County, WI",0,0,0,0
2008,"Baylor County, TX",0,0,0,0
2008,"Beadle County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bear Lake County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beaufort County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beaufort County, SC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beauregard Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beaver County, OK",0,0,0,0
2008,"Beaver County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beaver County, UT",0,0,0,0
2008,"Beaverhead County, MT",0,0,0,0
2008,"Becker County, MN",0,0,0,0
2008,"Beckham County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bedford County, PA",0,0,0,0
2008,"Bedford County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bedford County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bee County, TX",0,0,14,81.8
2008,"Belknap County, NH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bell County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bell County, TX",11,9.8,29,26.8
2008,"Belmont County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beltrami County, MN",0,0,0,0
2008,"Ben Hill County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benewah County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bennett County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bennington County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benson County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bent County, CO",0,0,0,0
2008,"Benton County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benton County, IA",0,0,0,0
2008,"Benton County, IN",0,0,0,0
2008,"Benton County, MN",0,0,0,0
2008,"Benton County, MO",0,0,0,0
2008,"Benton County, MS",0,0,0,0
2008,"Benton County, OR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benton County, TN",0,0,0,0
2008,"Benton County, WA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benzie County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bergen County, NJ",19,4.9,48,13.2
2008,"Berkeley County, SC",7,10,13,18.9
2008,"Berkeley County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Berks County, PA",16,9.3,30,18.2
2008,"Berkshire County, MA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bernalillo County, NM",11,4.1,58,22.8
2008,"Berrien County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Berrien County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bertie County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bethel Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bexar County, TX",43,6.5,256,41.2
2008,"Bibb County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bibb County, GA",27,39.1,45,80.6
2008,"Bienville Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Big Horn County, MT",0,0,0,0
2008,"Big Horn County, WY",0,0,0,0
2008,"Big Stone County, MN",0,0,0,0
2008,"Billings County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bingham County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Black Hawk County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blackford County, IN",0,0,0,0
2008,"Bladen County, NC",0,0,5,39.4
2008,"Blaine County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blaine County, MT",0,0,0,0
2008,"Blaine County, NE",0,0,0,0
2008,"Blaine County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blair County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blanco County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bland County, VA",0,0,0,0
2008,"Bleckley County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bledsoe County, TN",0,0,0,0
2008,"Blount County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blount County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blue Earth County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boise County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bolivar County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bollinger County, MO",0,0,0,0
2008,"Bon Homme County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bond County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bonner County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bonneville County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, AR",0,0,0,0
2008,"Boone County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, NE",0,0,0,0
2008,"Boone County, WV",0,0,0,0
2008,"Borden County, TX",0,0,0,0
2008,"Bosque County, TX",0,0,0,0
2008,"Bossier Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Botetourt County, VA",0,0,0,0
2008,"Bottineau County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boulder County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boundary County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bourbon County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bourbon County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bowie County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bowman County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Box Butte County, NE",0,0,0,0
2008,"Box Elder County, UT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boyd County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boyd County, NE",0,0,0,0
2008,"Boyle County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bracken County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bradford County, FL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bradford County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bradley County, AR",0,0,0,0
2008,"Bradley County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Branch County, MI",0,0,0,0
2008,"Brantley County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Braxton County, WV",0,0,0,0
2008,"Brazoria County, TX",5,4.3,19,15.4
2008,"Brazos County, TX",8,11.1,21,28.5
2008,"Breathitt County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Breckinridge County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bremer County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brevard County, FL",19,8,35,15.5
2008,"Brewster County, TX",0,0,0,0
2008,"Briscoe County, TX",0,0,0,0
2008,"Bristol Bay Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bristol City, VA",0,0,0,0
2008,"Bristol County, MA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bristol County, RI",0,0,0,0
2008,"Broadwater County, MT",0,0,0,0
2008,"Bronx County, NY",297,49.4,518,101.3
2008,"Brooke County, WV",0,0,0,0
