Year,Geography,Female,,Male,
,,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,"11,397",8.9,"35,893",29.2
2009,United States,"10,203",7.9,"34,548",27.9
2010,United States,"9,454",7.2,"33,613",26.9
2011,United States,"8,717",6.6,"32,594",25.8
2012,United States,"8,125",6.1,"32,404",25.4
2013,United States,"7,606",5.6,"31,624",24.6
2014,United States,"7,580",5.6,"32,383",24.9
2015,United States,"7,389",5.4,"32,407",24.7
2016,United States,"7,497",5.4,"32,023",24.2
2017,United States,"7,284",5.2,"30,942",23.2
2018,United States,"7,139",5.1,"30,147",22.5
