Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
,,Cases,Cases,Cases,Cases,Cases
2008,Alabama,253,54,378,22,1
2008,Alaska,10,4,22,3,0
2008,Arizona,95,76,459,49,1
2008,Arkansas,44,15,166,12,0
2008,California,799,437,"4,101",373,9
2008,Colorado,71,22,318,39,1
2008,Connecticut,132,54,149,12,0
2008,Delaware,60,21,67,5,0
2008,District of Columbia,356,129,486,58,1
2008,Florida,"2,372",389,"2,827",173,14
2008,Georgia,944,230,"1,885",94,5
2008,Hawaii,13,3,62,6,0
2008,Idaho,12,1,29,7,0
2008,Illinois,456,194,"1,059",88,9
2008,Indiana,133,35,276,19,1
2008,Iowa,19,7,67,1,0
2008,Kansas,30,11,90,8,0
2008,Kentucky,61,35,236,22,0
2008,Louisiana,477,98,467,28,1
2008,Maine,8,5,29,1,1
2008,Maryland,848,338,783,60,5
2008,Massachusetts,219,122,357,41,1
2008,Michigan,183,65,497,29,1
2008,Minnesota,88,21,201,21,0
2008,Mississippi,182,40,280,14,1
2008,Missouri,102,30,375,37,1
2008,Montana,6,2,13,0,0
2008,Nebraska,34,7,50,6,1
2008,Nevada,67,31,260,28,1
2008,New Hampshire,11,5,25,2,0
2008,New Jersey,521,246,612,48,4
2008,New Mexico,22,17,97,16,0
2008,New York,"1,412",584,"2,418",167,9
2008,North Carolina,575,117,953,52,3
2008,North Dakota,3,0,8,1,1
2008,Ohio,274,58,687,33,3
2008,Oklahoma,51,32,185,18,1
2008,Oregon,44,26,194,22,1
2008,Pennsylvania,813,249,645,65,2
2008,Rhode Island,44,25,51,4,0
2008,South Carolina,276,52,358,21,3
2008,South Dakota,11,4,12,1,0
2008,Tennessee,367,48,566,17,1
2008,Texas,"1,162",376,"2,437",193,4
2008,Utah,15,10,82,23,1
2008,Vermont,3,3,10,2,0
2008,Virginia,337,61,640,29,1
2008,Washington,100,34,349,39,2
2008,West Virginia,16,11,53,3,0
2008,Wisconsin,55,18,158,4,1
2008,Wyoming,7,3,12,1,0
2009,Alabama,200,41,427,27,1
2009,Alaska,9,5,8,0,0
2009,Arizona,98,67,431,46,1
2009,Arkansas,58,22,188,11,2
2009,California,716,363,"3,964",371,4
2009,Colorado,59,13,258,40,1
2009,Connecticut,121,56,157,7,1
2009,Delaware,53,21,71,5,0
2009,District of Columbia,317,99,392,24,1
2009,Florida,"2,051",303,"2,529",129,21
2009,Georgia,839,183,"1,790",95,3
2009,Hawaii,15,7,62,3,0
2009,Idaho,3,5,35,6,0
2009,Illinois,410,150,"1,082",75,12
2009,Indiana,120,29,296,18,0
2009,Iowa,30,14,75,4,0
2009,Kansas,49,11,81,11,0
2009,Kentucky,69,30,229,15,1
2009,Louisiana,548,119,471,34,1
2009,Maine,13,7,31,4,0
2009,Maryland,730,203,702,42,1
2009,Massachusetts,191,100,370,28,2
2009,Michigan,187,51,539,26,1
2009,Minnesota,88,16,256,20,1
2009,Mississippi,178,29,274,15,2
2009,Missouri,97,20,381,22,1
2009,Montana,3,2,22,4,0
2009,Nebraska,38,10,55,4,1
2009,Nevada,56,24,262,20,0
2009,New Hampshire,10,5,23,1,0
2009,New Jersey,461,247,647,41,2
2009,New Mexico,28,18,95,20,0
2009,New York,"1,306",480,"2,239",146,5
2009,North Carolina,553,96,888,37,3
2009,North Dakota,4,1,7,2,0
2009,Ohio,276,58,671,39,1
2009,Oklahoma,63,27,182,22,2
2009,Oregon,22,25,169,33,0
2009,Pennsylvania,621,241,731,63,2
2009,Rhode Island,30,14,72,3,0
2009,South Carolina,237,51,444,27,1
2009,South Dakota,6,1,12,3,0
2009,Tennessee,331,58,522,19,1
2009,Texas,"1,165",334,"2,658",193,6
2009,Utah,17,6,72,27,0
2009,Vermont,3,4,9,1,1
2009,Virginia,279,55,617,28,2
2009,Washington,81,38,352,53,2
2009,West Virginia,21,11,40,3,0
2009,Wisconsin,69,25,173,10,1
2009,Wyoming,3,3,12,2,0
2010,Alabama,203,38,417,22,1
2010,Alaska,8,3,24,0,0
2010,Arizona,87,49,433,49,1
2010,Arkansas,39,20,162,14,0
2010,California,702,369,"3,892",303,6
2010,Colorado,80,13,276,51,0
2010,Connecticut,149,62,170,6,0
2010,Delaware,49,7,62,4,0
2010,District of Columbia,295,71,399,32,1
2010,Florida,"1,816",259,"2,407",136,14
2010,Georgia,773,150,"1,648",77,5
2010,Hawaii,16,11,73,3,0
2010,Idaho,10,4,23,6,0
2010,Illinois,385,129,"1,073",64,6
2010,Indiana,124,29,309,23,0
2010,Iowa,28,7,67,11,0
2010,Kansas,31,3,91,11,0
2010,Kentucky,83,28,208,11,0
2010,Louisiana,458,93,527,33,1
2010,Maine,9,5,39,1,1
2010,Maryland,717,184,789,42,8
2010,Massachusetts,211,110,356,31,1
2010,Michigan,170,59,514,17,2
2010,Minnesota,83,17,215,19,1
2010,Mississippi,133,34,267,18,1
2010,Missouri,112,33,403,21,0
2010,Montana,3,1,15,1,0
2010,Nebraska,28,9,70,6,2
