Year,Geography,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),
,,Cases (95% CI RSE*),Rate per 100000 (95% CI),Cases (95% CI RSE*),Rate per 100000 (95% CI)
2010,Alabama,650,16.3,"13,000",326.6
2010,Alaska,40,6.9,720,124.6
2010,Arizona,640,12.2,"15,500",296.4
2010,Arkansas,220,9.1,"5,600",232.6
2010,California,"5,200",16.9,"124,900",406
2010,Colorado,390,9.4,"12,300",296.2
2010,Connecticut,330,10.9,"10,800",358.2
2010,Delaware,110,14.6,"3,400",451.5
2010,District of Columbia,700,131.9,"15,000",2826.2
2010,Florida,"4,600",28.7,"109,300",682.3
2010,Georgia,"2,500",31.6,"51,600",652
2010,Hawaii,80,7,"2,700",236
2010,Idaho,30,2.4,"1,100",87.5
2010,Illinois,"1,500",14.1,"35,800",337
2010,Indiana,470,8.8,"11,100",207.9
2010,Iowa,90,3.6,"2,600",102.9
2010,Kansas,120,5.2,"3,000",128.8
2010,Kentucky,320,8.9,"6,900",191.1
2010,Louisiana,980,26.2,"21,000",561.8
2010,Maine,60,5.3,"1,600",140.6
2010,Maryland,"1,500",31.1,"33,300",689.5
2010,Massachusetts,830,14.9,"20,300",364.3
2010,Michigan,700,8.5,"15,800",191.6
2010,Minnesota,340,7.7,"8,000",182.3
2010,Mississippi,410,16.9,"9,900",407.6
2010,Missouri,540,10.9,"12,300",247.1
2010,Montana,30,3.6,620,74.6
2010,Nebraska,100,6.7,"2,100",140.5
2010,Nevada,400,18,"9,300",418.2
2010,New Hampshire,30,2.7,"1,200",107.1
2010,New Jersey,"1,100",15,"36,500",496.7
2010,New Mexico,140,8.3,"3,400",201.2
2010,New York,"4,000",24.4,"131,300",802.3
2010,North Carolina,"1,500",18.9,"30,300",382.4
2010,North Dakota,Data not available,Data not available,360,63.6
2010,Ohio,950,9.9,"21,000",218.5
2010,Oklahoma,270,8.8,"6,100",198.1
2010,Oregon,230,7.1,"7,000",217.6
2010,Pennsylvania,"1,200",11.2,"36,500",339.2
2010,Rhode Island,120,13.4,"2,400",267.3
2010,South Carolina,710,18.4,"17,400",451.1
2010,South Dakota,Data not available,Data not available,510,76.3
2010,Tennessee,730,13.8,"16,500",312.3
2010,Texas,"4,400",21.7,"84,400",417.1
2010,Utah,90,4.2,"2,700",127.4
2010,Vermont,Data not available,Data not available,650,121
2010,Virginia,890,13.3,"21,400",319.7
2010,Washington,530,9.5,"13,000",231.9
2010,West Virginia,50,3.2,"1,900",120.3
2010,Wisconsin,260,5.5,"6,200",130.8
2010,Wyoming,Data not available,Data not available,310,66.7
2011,Alabama,580,14.5,"13,300",332.7
2011,Alaska,Data not available,Data not available,740,126.5
2011,Arizona,650,12.3,"15,900",300.1
2011,Arkansas,240,9.9,"5,700",235
2011,California,"5,100",16.4,"128,400",412.9
2011,Colorado,380,9,"12,500",296.4
2011,Connecticut,290,9.6,"10,900",359.4
2011,Delaware,100,13.1,"3,500",459.8
2011,District of Columbia,650,119.8,"15,300",2820.3
2011,Florida,"4,800",29.5,"112,100",689.3
2011,Georgia,"2,400",30,"53,200",664.1
2011,Hawaii,80,6.9,"2,700",233.7
2011,Idaho,Data not available,Data not available,"1,100",86.6
2011,Illinois,"1,500",14.1,"36,700",344.1
2011,Indiana,450,8.4,"11,300",210.4
2011,Iowa,110,4.3,"2,700",106.3
2011,Kansas,130,5.6,"3,100",132.5
2011,Kentucky,290,8,"7,100",195.5
2011,Louisiana,"1,000",26.6,"21,500",570.9
2011,Maine,60,5.3,"1,600",140.3
2011,Maryland,"1,300",26.6,"34,000",696.5
2011,Massachusetts,730,13,"20,800",370
2011,Michigan,760,9.2,"16,200",196
2011,Minnesota,290,6.6,"8,200",185.4
2011,Mississippi,420,17.2,"10,100",414.1
2011,Missouri,440,8.8,"12,500",250.2
2011,Montana,Data not available,Data not available,640,76.5
2011,Nebraska,70,4.7,"2,200",146.3
2011,Nevada,410,18.3,"9,600",428.2
2011,New Hampshire,50,4.4,"1,200",106.7
2011,New Jersey,"1,000",13.5,"36,800",497.6
2011,New Mexico,130,7.6,"3,400",199.6
2011,New York,"4,100",24.9,"133,300",808.7
2011,North Carolina,"1,400",17.5,"31,200",389.5
2011,North Dakota,Data not available,Data not available,370,64.5
2011,Ohio,900,9.3,"21,600",224.2
2011,Oklahoma,270,8.7,"6,200",199.9
2011,Oregon,230,7.1,"7,200",221.7
2011,Pennsylvania,"1,100",10.2,"36,900",341.7
2011,Rhode Island,110,12.2,"2,500",278.2
2011,South Carolina,650,16.7,"17,800",457
2011,South Dakota,Data not available,Data not available,510,75.7
2011,Tennessee,800,15,"16,900",317.3
2011,Texas,"4,400",21.4,"87,400",424.4
2011,Utah,120,5.6,"2,700",125.3
2011,Vermont,Data not available,Data not available,670,124.4
2011,Virginia,890,13.1,"22,000",325
2011,Washington,450,7.9,"13,300",234.2
2011,West Virginia,60,3.8,"1,900",120.2
2011,Wisconsin,230,4.8,"6,300",132.4
2011,Wyoming,Data not available,Data not available,320,68.4
2012,Alabama,610,15.2,"13,600",338.5
2012,Alaska,Data not available,Data not available,750,126.4
2012,Arizona,670,12.5,"16,400",304.9
2012,Arkansas,240,9.9,"5,800",238.1
2012,California,"5,100",16.2,"131,900",419.5
2012,Colorado,410,9.6,"12,800",298.7
2012,Connecticut,320,10.5,"11,000",361
2012,Delaware,110,14.3,"3,500",454.6
2012,District of Columbia,620,112,"15,700",2836.4
2012,Florida,"4,600",27.9,"114,800",696
2012,Georgia,"2,500",30.8,"54,900",676.5
2012,Hawaii,100,8.6,"2,800",239.9
2012,Idaho,Data not available,Data not available,"1,100",85.7
2012,Illinois,"1,500",14,"37,700",352.3
2012,Indiana,480,8.9,"11,600",214.9
2012,Iowa,130,5.1,"2,800",109.7
2012,Kansas,100,4.2,"3,100",131.5
2012,Kentucky,320,8.8,"7,300",200
2012,Louisiana,900,23.7,"22,000",579.7
2012,Maine,50,4.4,"1,600",139.9
2012,Maryland,"1,300",26.4,"34,600",702
2012,Massachusetts,740,13,"21,300",375.4
2012,Michigan,760,9.2,"16,700",201.3
2012,Minnesota,310,7,"8,500",190.8
2012,Mississippi,350,14.3,"10,200",416.6
2012,Missouri,480,9.6,"12,800",255.2
2012,Montana,Data not available,Data not available,650,77.1
2012,Nebraska,80,5.3,"2,200",145.2
2012,Nevada,400,17.6,"9,800",430.2
2012,New Hampshire,Data not available,Data not available,"1,200",106.1
2012,New Jersey,"1,100",14.8,"37,200",499.9
2012,New Mexico,140,8.2,"3,500",204.4
2012,New York,"3,800",22.9,"135,100",814.5
2012,North Carolina,"1,400",17.3,"32,000",394.7
2012,North Dakota,Data not available,Data not available,380,64.9
2012,Ohio,990,10.3,"22,200",230
2012,Oklahoma,280,8.9,"6,400",204.5
2012,Oregon,240,7.3,"7,300",222.7
2012,Pennsylvania,"1,100",10.2,"37,500",346.1
2012,Rhode Island,80,8.9,"2,600",288.6
2012,South Carolina,680,17.3,"18,100",459.3
2012,South Dakota,Data not available,Data not available,520,76.3
2012,Tennessee,790,14.7,"17,400",323.4
2012,Texas,"4,400",21,"90,500",431.1
2012,Utah,100,4.6,"2,800",127.7
2012,Vermont,Data not available,Data not available,680,126.1
2012,Virginia,860,12.6,"22,500",328.7
2012,Washington,490,8.5,"13,600",236.7
2012,West Virginia,Data not available,Data not available,"1,900",120.2
2012,Wisconsin,240,5,"6,500",136
2012,Wyoming,Data not available,Data not available,330,69.3
2013,Alabama,540,13.4,"13,900",344.1
2013,Alaska,Data not available,Data not available,770,128.5
2013,Arizona,700,12.8,"16,900",309.9
2013,Arkansas,240,9.8,"5,900",241.1
2013,California,"4,900",15.4,"135,200",425.4
2013,Colorado,360,8.3,"13,100",300.3
2013,Connecticut,320,10.5,"11,100",362.6
2013,Delaware,80,10.3,"3,500",449.3
2013,District of Columbia,560,99.3,"16,100",2855.2
2013,Florida,"4,700",28.1,"117,500",702.4
2013,Georgia,"2,300",28.1,"56,300",686.9
2013,Hawaii,90,7.6,"2,800",237.2
2013,Idaho,Data not available,Data not available,"1,100",84.6
2013,Illinois,"1,400",13,"38,600",359.5
2013,Indiana,480,8.8,"11,900",218.9
2013,Iowa,80,3.1,"2,800",109
2013,Kansas,120,5.1,"3,200",135.2
2013,Kentucky,320,8.7,"7,500",204.4
2013,Louisiana,970,25.4,"22,500",588.8
2013,Maine,Data not available,Data not available,"1,600",139.7
2013,Maryland,"1,200",24.1,"35,200",708.2
2013,Massachusetts,760,13.3,"21,800",380.5
2013,Michigan,700,8.4,"17,100",205.4
2013,Minnesota,320,7.1,"8,700",193.7
2013,Mississippi,350,14.2,"10,300",418.8
2013,Missouri,480,9.5,"13,100",259.9
2013,Montana,Data not available,Data not available,660,77.6
2013,Nebraska,80,5.2,"2,300",150.6
2013,Nevada,420,18.2,"10,100",436.8
2013,New Hampshire,Data not available,Data not available,"1,300",114.4
2013,New Jersey,"1,000",13.4,"37,600",502.5
2013,New Mexico,160,9.3,"3,600",209.5
2013,New York,"3,600",21.6,"136,700",819.4
2013,North Carolina,"1,300",15.8,"32,800",399.5
2013,North Dakota,Data not available,Data not available,400,66.5
2013,Ohio,960,9.9,"22,800",235.3
2013,Oklahoma,310,9.8,"6,600",208.9
2013,Oregon,190,5.7,"7,400",223.8
2013,Pennsylvania,980,9,"37,800",348.1
2013,Rhode Island,100,11.1,"2,600",288
2013,South Carolina,680,17,"18,500",463.6
2013,South Dakota,Data not available,Data not available,530,76.9
2013,Tennessee,700,12.9,"17,800",328.3
2013,Texas,"4,300",20.1,"93,600",438.2
2013,Utah,130,5.8,"2,900",129.8
2013,Vermont,Data not available,Data not available,690,127.6
2013,Virginia,920,13.3,"23,100",333.9
2013,Washington,490,8.4,"13,900",239.1
2013,West Virginia,70,4.4,"1,900",120.3
2013,Wisconsin,260,5.4,"6,600",137.4
2013,Wyoming,Data not available,Data not available,340,70.7
2014,Alabama,570,14.1,"14,200",350
2014,Alaska,Data not available,Data not available,790,131.7
2014,Arizona,780,14.1,"17,400",313.8
2014,Arkansas,310,12.6,"6,100",248.2
2014,California,"5,300",16.5,"138,800",431.8
2014,Colorado,380,8.6,"13,300",299.5
2014,Connecticut,270,8.8,"11,200",365.2
2014,Delaware,120,15.2,"3,500",443.8
2014,District of Columbia,460,80.5,"16,300",2851.9
2014,Florida,"4,600",27,"120,100",705.8
2014,Georgia,"2,300",27.7,"57,600",693.8
2014,Hawaii,100,8.4,"2,900",243.7
2014,Idaho,Data not available,Data not available,"1,100",83.3
2014,Illinois,"1,400",13,"39,500",367.3
2014,Indiana,520,9.5,"12,300",225
2014,Iowa,90,3.5,"2,800",108.4
2014,Kansas,120,5,"3,200",134.6
2014,Kentucky,300,8.1,"7,600",206.4
2014,Louisiana,"1,100",28.6,"23,200",603.6
2014,Maine,Data not available,Data not available,"1,700",148
2014,Maryland,"1,200",24,"35,800",715.3
2014,Massachusetts,710,12.3,"22,200",384
2014,Michigan,780,9.3,"17,600",210.6
2014,Minnesota,300,6.6,"8,900",196.6
2014,Mississippi,350,14.2,"10,500",425.9
2014,Missouri,440,8.7,"13,400",264.8
2014,Montana,Data not available,Data not available,670,78.1
2014,Nebraska,90,5.8,"2,300",149.4
2014,Nevada,430,18.3,"10,400",441.6
2014,New Hampshire,Data not available,Data not available,"1,300",113.5
2014,New Jersey,"1,100",14.6,"38,000",505.3
2014,New Mexico,140,8.1,"3,700",214.9
2014,New York,"3,600",21.5,"138,300",825.4
2014,North Carolina,"1,300",15.6,"33,600",404.5
2014,North Dakota,Data not available,Data not available,420,68.5
2014,Ohio,900,9.3,"23,400",240.6
2014,Oklahoma,260,8.2,"6,700",210.6
2014,Oregon,230,6.9,"7,500",224.1
2014,Pennsylvania,820,7.5,"38,000",349.2
2014,Rhode Island,90,9.9,"2,700",298
2014,South Carolina,680,16.8,"18,800",464.5
2014,South Dakota,Data not available,Data not available,540,77.7
2014,Tennessee,740,13.5,"18,200",332.6
2014,Texas,"4,300",19.7,"96,500",442.9
2014,Utah,140,6.2,"3,000",132
2014,Vermont,Data not available,Data not available,700,129.3
2014,Virginia,850,12.2,"23,600",338.4
2014,Washington,430,7.3,"14,200",241
2014,West Virginia,80,5.1,"2,000",126.9
2014,Wisconsin,230,4.8,"6,800",140.9
2014,Wyoming,Data not available,Data not available,340,70.6
2015,Alabama,560,13.8,"14,500",356.4
2015,Alaska,Data not available,Data not available,800,133
2015,Arizona,680,12.1,"17,900",317.5
