Year,Geography,13-24,,25-34,,35-44,,45-54,,55+,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,"32,936",64.4,"108,363",264.6,"240,102",568.4,"263,589",595.9,"126,048",174
2009,United States,"35,225",68.8,"111,323",267.8,"229,044",551.5,"279,575",627,"143,169",192.5
2010,United States,"37,160",71.5,"115,693",280.7,"219,522",535.7,"293,221",651.8,"161,910",209.6
2011,United States,"38,210",73.4,"119,974",287,"210,441",517.8,"302,421",676.1,"182,285",229.5
2012,United States,"38,830",74.3,"124,187",293.6,"203,600",502.4,"307,862",695.5,"204,198",249.9
2013,United States,"38,283",73.1,"128,985",301.1,"197,644",488.5,"311,180",711,"226,683",270.1
2014,United States,"37,600",71.8,"135,061",310.8,"192,890",477.2,"311,493",718.5,"250,537",290.8
2015,United States,"36,416",70,"141,112",320.3,"188,772",466.5,"309,969",720.2,"276,436",312.6
2016,United States,"35,032",67.8,"147,615",329.9,"187,564",463.3,"304,232",711.9,"303,050",334.4
2017,United States,"33,494",65.1,"153,298",338.6,"188,511",462.2,"294,760",697.4,"331,655",357.8
