Year,Geography,13-24,,25-34,,35-44,,45-54,,55+,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
2008,Alabama,535,68.1,"1,809",295.9,"3,324",532.9,"3,059",455,"1,267",107.5
2008,Alaska,21,15.7,65,63.2,185,199.8,184,173.8,92,74
2008,Arizona,361,34.2,"1,649",174.4,"3,574",410.7,"3,719",440.1,"1,588",104.6
2008,Arkansas,186,39.7,703,183.2,"1,366",366.8,"1,298",327.4,539,73.2
2008,California,"2,959",46.5,"12,345",232.1,"31,103",589.1,"35,351",688.1,"17,753",229.5
2008,Colorado,198,24.2,"1,107",154.6,"3,024",424.1,"3,741",506.3,"1,893",178.2
2008,Connecticut,313,54.1,869,214.6,"2,582",510,"3,578",643.1,"1,834",206.8
2008,Delaware,115,81.3,325,285.8,735,611.5,998,780.9,458,203.4
2008,District of Columbia,559,551.2,"1,697",1580.2,"3,477",4041.2,"4,146",5323.2,"2,101",1552.9
2008,Florida,"3,589",127.5,"12,079",519,"26,393",1060.9,"28,917",1107.1,"14,234",270.3
2008,Georgia,"1,944",117.5,"5,721",414.8,"10,326",710.4,"9,680",711.2,"3,953",199.8
2008,Hawaii,45,21.9,180,96.3,518,302.4,770,432.1,456,135.6
2008,Idaho,28,10.3,116,56.2,226,118.1,243,118.2,89,25.6
2008,Illinois,"1,392",63.5,"4,274",241.7,"8,681",484.3,"9,070",485.8,"4,226",143.6
2008,Indiana,338,31.1,"1,283",154,"2,750",316.8,"2,571",274.9,988,64.9
2008,Iowa,53,10.1,251,69.7,470,124.8,494,112.1,213,27.2
2008,Kansas,96,19.1,409,113.9,745,209.5,691,170.8,276,41.2
2008,Kentucky,243,34.7,800,139.8,"1,494",251.6,"1,512",239,557,52.5
2008,Louisiana,887,112,"3,225",533.8,"4,715",822.3,"4,665",726.2,"1,934",186.6
2008,Maine,22,10.8,115,77.4,276,153.7,376,172.5,185,48.8
2008,Maryland,"1,270",135.9,"3,274",441,"7,406",896.4,"8,854",1011.4,"4,112",311.8
2008,Massachusetts,500,46.1,"1,565",186.2,"5,027",525.5,"6,366",627.9,"2,743",167.6
2008,Michigan,744,43.3,"1,857",153.3,"4,005",290,"3,996",259.5,"1,868",75.1
2008,Minnesota,234,26.4,964,140.4,"1,965",275.3,"1,991",247,840,68
2008,Mississippi,482,91.1,"1,551",398.8,"2,525",670.7,"2,106",517.8,856,124.4
2008,Missouri,458,45.6,"1,598",207.2,"3,347",425.1,"3,360",379.5,"1,265",85.1
2008,Montana,4,2.4,56,48.3,93,81.2,110,73.6,44,16.7
2008,Nebraska,47,14.7,279,123.3,532,238.5,421,165.1,158,36.5
2008,Nevada,204,50,817,209,"2,135",564.1,"1,947",544.7,969,166
2008,New Hampshire,26,11.8,104,69.9,358,187.1,410,185.4,134,39.7
2008,New Jersey,"1,189",88.7,"3,354",304.3,"9,542",741.7,"12,851",952.2,"6,490",305.2
2008,New Mexico,78,22.9,312,115.4,716,288.5,699,250.4,344,71.4
2008,New York,"4,846",150.5,"12,180",465.3,"31,607",1138.5,"41,075",1409.7,"23,934",498
2008,North Carolina,"1,126",73.3,"3,641",297.9,"7,127",535.6,"6,977",530.4,"2,896",131.5
2008,North Dakota,2,1.5,28,35.8,60,81.8,45,48.7,28,16.9
2008,Ohio,758,40.3,"2,319",157.6,"5,253",336.6,"5,147",293.1,"2,013",68.8
2008,Oklahoma,165,26.1,705,143.8,"1,535",336.1,"1,456",285.1,513,57.4
2008,Oregon,139,22.8,597,116.2,"1,441",285.2,"1,520",274.5,828,84.6
2008,Pennsylvania,"1,313",63.9,"3,451",227.6,"8,338",491.8,"9,712",503.2,"4,798",140.2
2008,Rhode Island,62,34.3,211,160.4,598,404.6,731,449.8,282,104.2
2008,South Carolina,609,81.2,"2,043",345.6,"4,395",720,"4,289",671.2,"1,924",168.5
2008,South Dakota,15,10.5,58,58.4,128,134.5,110,94.7,53,25.5
2008,Tennessee,707,71,"2,521",300,"4,684",535.3,"3,926",432.3,"1,542",99.5
2008,Texas,"2,723",63.9,"10,785",302.3,"19,526",573.8,"18,063",552.4,"7,118",148
2008,Utah,54,9.8,361,83.6,715,218.9,723,233,285,61
2008,Vermont,9,8.2,35,51.5,102,123.3,157,153.3,79,46.2
2008,Virginia,789,59.7,"2,554",240.5,"5,764",510.1,"6,033",523.8,"2,885",159.6
2008,Washington,231,21.4,"1,238",134.5,"3,235",353.6,"3,327",338.4,"1,520",97.8
2008,West Virginia,56,19.9,208,92.8,409,171.7,461,169.4,200,38.1
2008,Wisconsin,202,20.7,643,92.4,"1,519",198.9,"1,591",182.8,668,48
2008,Wyoming,10,10.5,32,45.3,51,79.6,72,89,23,17.8
2009,Alabama,619,78.9,"1,847",298.2,"3,226",523.6,"3,253",482,"1,457",121
2009,Alaska,19,14.6,63,59.4,170,186.6,207,194.6,95,72.2
2009,Arizona,373,35.1,"1,685",176.1,"3,414",392.5,"4,003",466.3,"1,858",118.5
2009,Arkansas,204,43.6,719,184.8,"1,344",366.3,"1,376",344.6,612,81.5
2009,California,"3,010",47.1,"12,956",240.6,"29,534",565.9,"37,664",724.4,"20,131",252.4
2009,Colorado,193,23.4,"1,119",152.4,"2,800",393.7,"3,905",524.3,"2,171",196.3
2009,Connecticut,306,52.6,865,210.4,"2,397",490.7,"3,654",650,"2,064",227.3
2009,Delaware,122,86.3,338,292.7,676,576.1,"1,059",815.6,504,217.3
2009,District of Columbia,547,532.6,"1,804",1600.7,"3,373",3955.3,"4,369",5566.4,"2,448",1789.3
2009,Florida,"3,792",135.4,"12,067",512,"25,248",1038.2,"30,893",1168.9,"16,085",298.9
2009,Georgia,"2,128",127.3,"6,159",442.1,"10,243",712.4,"10,537",760.1,"4,614",225.2
2009,Hawaii,48,23.6,181,94.6,482,285.6,795,450.5,521,151.7
2009,Idaho,26,9.5,123,58.6,220,115.5,267,129.9,102,28.4
2009,Illinois,"1,548",70.6,"4,408",247.2,"8,371",475.1,"9,623",512.3,"4,816",159.9
2009,Indiana,366,33.6,"1,304",155.4,"2,617",307.8,"2,787",296.8,"1,137",72.8
2009,Iowa,64,12.2,262,71.4,459,124.9,529,120.3,261,32.7
2009,Kansas,100,20,418,113.3,718,205.9,760,187.9,327,47.8
2009,Kentucky,258,36.8,841,145.2,"1,439",246.7,"1,666",262.3,638,58.8
2009,Louisiana,962,121.8,"3,325",532.4,"4,599",818.6,"5,016",780.3,"2,187",205.9
2009,Maine,19,9.4,125,83.5,249,144.1,404,186,213,54.7
2009,Maryland,"1,356",145.2,"3,452",456,"7,027",878.2,"9,334",1052.8,"4,720",348
2009,Massachusetts,509,46.8,"1,554",181.6,"4,651",499.2,"6,752",656.8,"3,147",187.6
2009,Michigan,815,48,"1,984",165,"3,833",287.3,"4,250",276.4,"2,112",82.8
2009,Minnesota,265,30.2,"1,009",144.2,"1,874",269.8,"2,180",268.7,951,74.7
2009,Mississippi,537,101.9,"1,545",393,"2,454",665.7,"2,273",559.3,975,138.8
2009,Missouri,498,49.8,"1,622",206.4,"3,135",407.9,"3,620",406.8,"1,444",95
2009,Montana,9,5.4,61,50.8,90,80.6,115,77.8,56,20.6
2009,Nebraska,61,19.1,290,124.9,529,241.1,458,180.1,183,41.4
2009,Nevada,210,51.4,892,226.3,"1,998",532.1,"2,114",584,"1,087",180.7
2009,New Hampshire,23,10.5,103,68.8,315,171.2,442,198.2,165,47.3
2009,New Jersey,"1,259",93.7,"3,369",303.4,"8,822",703.9,"13,242",968.8,"7,323",336.6
2009,New Mexico,81,23.9,330,118.7,676,275.7,765,274.4,405,81.8
2009,New York,"4,996",155.3,"12,198",460.5,"29,407",1088.1,"42,233",1435,"26,678",544.6
2009,North Carolina,"1,212",78,"3,707",300.1,"6,970",528.7,"7,550",565.8,"3,345",147.2
2009,North Dakota,2,1.5,26,31.8,60,83.5,54,59,32,18.9
2009,Ohio,872,46.6,"2,405",162.7,"5,074",333.8,"5,517",314.5,"2,345",78.4
2009,Oklahoma,198,31.3,721,142.8,"1,473",325.7,"1,577",307.9,587,64.3
2009,Oregon,133,21.8,634,120.7,"1,368",271.8,"1,642",298.6,925,91.6
2009,Pennsylvania,"1,475",72,"3,549",230.7,"7,914",479.9,"10,248",530.1,"5,439",155.9
2009,Rhode Island,73,40.5,216,163.9,563,394.2,788,482.8,326,117.9
2009,South Carolina,655,87,"2,068",345.2,"4,147",689.6,"4,603",711.5,"2,175",184.3
2009,South Dakota,11,7.7,60,58.4,121,129.6,124,107.2,63,29.5
2009,Tennessee,750,74.9,"2,569",302.7,"4,553",528.5,"4,259",465.4,"1,781",111.8
2009,Texas,"3,055",71,"11,222",307.6,"19,206",562.1,"19,434",584.1,"8,201",165
2009,Utah,45,8.1,365,82.7,713,213.5,762,243.3,343,70.7
2009,Vermont,13,12,26,37.6,102,128.3,161,157.8,91,51.7
2009,Virginia,858,64.8,"2,579",237.8,"5,437",489.8,"6,437",552.7,"3,294",177
2009,Washington,257,23.7,"1,259",132.7,"3,068",338.5,"3,584",363.1,"1,714",106.6
2009,West Virginia,53,18.9,205,91,402,171.5,488,180.7,228,42.7
2009,Wisconsin,228,23.6,661,93.4,"1,431",193,"1,724",197.2,764,53.4
2009,Wyoming,12,12.6,33,44.1,52,81,78,97.5,29,21.7
2010,Alabama,638,79.2,"1,880",307.9,"3,076",497.6,"3,454",498.2,"1,688",134.7
2010,Alaska,18,14.2,78,74.7,192,206.4,250,225.8,104,73.1
2010,Arizona,400,36.9,"1,769",206,"3,404",413.7,"4,390",520.6,"2,199",135.7
2010,Arkansas,215,44.5,683,181.1,"1,283",350.6,"1,418",348.4,665,85.8
2010,California,"3,072",46.2,"13,595",254.9,"27,952",540,"38,840",739.2,"22,227",266.3
2010,Colorado,222,27,"1,134",155.3,"2,428",346.7,"3,696",498.4,"2,250",194.3
2010,Connecticut,322,55.5,946,224.2,"2,345",487.9,"4,026",699.6,"2,372",248.2
2010,Delaware,119,79.4,334,298.4,701,607.2,"1,197",895.6,593,245
2010,District of Columbia,588,519.5,"2,088",1646.5,"3,611",4443.4,"4,812",6340.9,"2,952",2208.8
2010,Florida,"3,839",131.7,"11,700",508.4,"23,199",956.5,"31,640",1152.5,"18,017",319.9
2010,Georgia,"2,388",143.4,"7,322",547.4,"11,587",830.6,"12,886",923.8,"5,989",282.5
2010,Hawaii,61,28.3,233,124.9,521,296,927,479.8,644,172.6
2010,Idaho,32,11.9,123,58.8,215,112.2,354,170,145,38.4
2010,Illinois,"1,586",73.6,"4,711",264.9,"8,231",478.1,"10,107",540.9,"5,332",171.9
2010,Indiana,413,37.3,"1,366",164.8,"2,619",312.2,"2,987",316,"1,345",83
2010,Iowa,77,15.1,312,81.2,542,149,720,164.2,336,40.5
2010,Kansas,118,24.2,437,115.2,734,212,911,224.9,396,55.7
2010,Kentucky,263,37.5,888,156.5,"1,496",259.9,"1,834",285.4,835,74.3
2010,Louisiana,990,126,"3,243",512.5,"4,145",734.6,"4,904",750.4,"2,422",219.9
2010,Maine,25,12.5,137,94.6,280,164.7,504,231.3,307,75.7
2010,Maryland,"1,464",153.6,"3,826",498.7,"6,923",873.3,"9,864",1092,"5,375",380.3
2010,Massachusetts,497,44.8,"1,591",186.9,"4,347",492.5,"6,980",688.9,"3,676",214.1
2010,Michigan,822,48.9,"2,004",172.2,"3,563",280.6,"4,482",297.8,"2,379",90.5
2010,Minnesota,289,33.5,"1,076",149.9,"1,804",265.9,"2,278",282.4,"1,028",77.8
2010,Mississippi,543,104.8,"1,494",384.8,"2,218",592.3,"2,449",588.3,"1,150",157.1
2010,Missouri,559,56.2,"1,524",195.7,"2,798",374.8,"3,640",410.5,"1,555",99
2010,Montana,13,8.2,55,44.6,117,103.8,160,107.5,75,26.1
2010,Nebraska,79,25.8,316,128.3,562,254.7,571,221.4,222,48
2010,Nevada,238,55,957,247.3,"1,923",503.2,"2,353",624.6,"1,227",190.3
2010,New Hampshire,34,16,115,79.3,297,167.3,449,199.1,198,55.1
2010,New Jersey,"1,242",90.2,"3,333",299.7,"7,716",626.2,"12,661",917.7,"7,818",348.3
2010,New Mexico,99,28.4,378,140.6,766,308.3,"1,025",352.2,590,110.7
2010,New York,"5,032",154.2,"12,557",470.3,"27,159",1044.8,"42,625",1480.6,"28,908",584.2
2010,North Carolina,"1,324",83.6,"3,759",300.3,"6,720",506.9,"8,291",604.8,"4,089",171
2010,North Dakota,9,7.3,23,25.2,74,98.4,60,62.4,35,19.4
2010,Ohio,955,50.3,"2,505",177.3,"4,731",321.2,"5,942",342.1,"2,742",88.7
2010,Oklahoma,224,35.4,767,150.9,"1,429",310.1,"1,706",325.3,725,76.1
2010,Oregon,146,24.1,717,136.6,"1,536",307.3,"2,008",373.6,"1,235",117.6
2010,Pennsylvania,"1,528",72.8,"3,784",249.1,"7,707",479.6,"10,968",566.3,"6,213",172.6
2010,Rhode Island,74,39.3,235,183.9,556,408.8,835,514.9,388,136.6
2010,South Carolina,758,97.3,"2,038",343.2,"3,780",630.2,"4,814",729.5,"2,545",207.7
2010,South Dakota,8,5.8,70,66,104,111.8,118,101.3,61,28.3
2010,Tennessee,763,74.1,"2,582",312.7,"4,459",523.5,"4,661",503.3,"2,142",129.8
2010,Texas,"3,439",77.2,"11,845",326.2,"19,355",558.4,"20,958",609.2,"9,539",181.9
2010,Utah,56,10.4,315,70.6,630,187.9,737,240,384,77.7
2010,Vermont,13,12.4,35,50.2,113,145.3,177,173.2,114,62.6
2010,Virginia,955,71.9,"2,504",228.3,"4,719",426.4,"6,338",521.6,"3,544",182.1
2010,Washington,283,25.8,"1,368",145.8,"3,065",337.5,"3,833",388.4,"1,915",114.2
2010,West Virginia,55,19.6,215,97.3,423,178.5,551,200.2,291,51.6
2010,Wisconsin,263,28.1,693,95.8,"1,290",178.7,"1,728",198.1,894,60.1
2010,Wyoming,10,10.8,33,42.3,77,115.1,102,122.9,35,24.2
2011,Alabama,686,85.3,"1,978",322,"3,001",491.4,"3,630",529.1,"1,939",151.2
2011,Alaska,23,18.1,87,80.5,170,184.7,256,235.6,123,82.8
2011,Arizona,409,37.3,"1,818",209.4,"3,290",399.8,"4,532",538.2,"2,499",149.2
2011,Arkansas,231,47.4,687,180.5,"1,230",337.2,"1,471",364.6,746,94.4
2011,California,"3,124",47.1,"14,147",261.5,"26,769",519.3,"39,809",758.4,"24,857",288.5
2011,Colorado,228,27.5,"1,156",154.4,"2,317",329.5,"3,824",520.8,"2,498",207.4
2011,Connecticut,331,56.8,924,215.8,"2,093",448.5,"3,976",694.1,"2,654",271.1
2011,Delaware,135,89.9,338,296,647,572.1,"1,225",918.7,684,273.7
2011,District of Columbia,560,511.1,"2,094",1542.6,"3,365",4041.3,"4,902",6424.5,"3,196",2334.1
2011,Florida,"3,833",130.5,"11,825",501.5,"21,966",911.1,"32,684",1185.1,"20,349",351.2
2011,Georgia,"2,474",147.5,"7,709",572.1,"11,061",799.8,"13,369",954.1,"6,851",312.3
2011,Hawaii,49,22.8,227,118.5,492,281.2,909,476.9,709,184.7
2011,Idaho,30,11.1,130,61.7,214,111.1,356,172.8,177,45.3
2011,Illinois,"1,637",76.3,"4,957",277.3,"8,016",470.5,"10,371",560.3,"6,017",189.1
2011,Indiana,460,41.3,"1,411",169.4,"2,563",308.4,"3,136",335.5,"1,503",90.5
2011,Iowa,78,15.1,314,80.8,554,153.6,741,171.8,372,44
2011,Kansas,121,24.8,434,113.5,746,217.1,934,234.8,448,61.6
2011,Kentucky,276,39.1,909,160,"1,459",255.9,"1,929",302.6,963,83.7
2011,Louisiana,"1,080",138,"3,377",523.4,"4,186",746.3,"5,100",790.1,"2,773",244.9
2011,Maine,22,11.1,133,90.7,244,147.6,534,248.7,335,80.5
2011,Maryland,"1,484",155.6,"4,016",511.8,"6,662",853.6,"10,241",1134.3,"6,033",414.3
2011,Massachusetts,506,45.5,"1,676",191.7,"4,128",477.3,"7,222",713.7,"4,250",241.4
2011,Michigan,910,54,"2,091",178.9,"3,351",270.2,"4,602",310.5,"2,638",97.9
2011,Minnesota,287,33.3,"1,099",150.8,"1,768",263.8,"2,387",298.7,"1,188",87.2
2011,Mississippi,574,110.7,"1,577",404.5,"2,227",599.8,"2,561",623.3,"1,303",173.9
2011,Missouri,578,58.3,"1,626",206.3,"2,685",364.6,"3,760",430.7,"1,814",112.9
2011,Montana,9,5.6,62,49.6,121,107.7,192,133,94,31.8
2011,Nebraska,78,25.4,315,126.3,538,244.5,621,244.9,252,53.3
2011,Nevada,279,64.8,"1,028",265.3,"1,805",477.5,"2,440",648.9,"1,374",206.5
2011,New Hampshire,33,15.5,113,76.7,275,160.1,468,209.6,224,60.4
2011,New Jersey,"1,219",88.5,"3,319",296.3,"7,146",591.2,"12,515",909.8,"8,717",379.3
2011,New Mexico,98,27.9,394,143.9,743,300.3,"1,063",372.1,658,120.1
2011,New York,"4,980",153.4,"12,960",476.4,"25,226",985.5,"42,858",1493.7,"31,758",627.4
2011,North Carolina,"1,382",86.9,"3,884",308.3,"6,457",490.5,"8,598",626.2,"4,742",192.4
2011,North Dakota,11,8.8,31,32.6,64,84.9,72,76.5,36,19.5
2011,Ohio,"1,018",53.7,"2,635",185.1,"4,503",311.4,"6,187",362.1,"3,172",100.4
2011,Oklahoma,231,36.2,801,155.2,"1,353",293.3,"1,780",344.9,839,86.3
2011,Oregon,160,26.3,721,135.7,"1,483",294.9,"2,122",400.6,"1,365",126.4
2011,Pennsylvania,"1,560",74.6,"3,927",253,"7,303",464.2,"11,254",588.3,"6,952",189.3
2011,Rhode Island,64,34.1,237,182.5,515,389.7,842,524.8,450,155.4
2011,South Carolina,860,110.3,"2,446",408.7,"4,237",714.5,"5,798",880.8,"3,239",256.2
2011,South Dakota,7,5.1,70,64.8,105,112.9,134,117.3,69,31.2
2011,Tennessee,779,75.2,"2,628",315.6,"4,352",515.5,"4,900",532.1,"2,435",143.8
2011,Texas,"3,690",81.8,"12,342",333.4,"19,192",548.8,"22,212",643.7,"10,906",200.6
2011,Utah,53,9.8,345,77.4,621,179.4,772,252,430,83.9
2011,Vermont,16,15.2,33,46.6,107,141.5,201,201.1,133,71
2011,Virginia,960,72.2,"2,561",228.8,"4,463",407.4,"6,504",536.5,"3,978",198.3
2011,Washington,257,23.3,"1,404",146.4,"2,886",317.6,"3,932",402.5,"2,184",126.1
2011,West Virginia,59,20.9,222,100.4,437,186.2,586,216.9,334,58.3
2011,Wisconsin,272,29.1,727,99.7,"1,242",175.6,"1,811",209.7,975,63.9
