Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Population
HIV prevalence,2017,"Abbeville County, SC",45001,49,232.7,"21,055"
HIV prevalence,2016,"Abbeville County, SC",45001,58,275.7,"21,038"
HIV prevalence,2015,"Abbeville County, SC",45001,54,255.8,"21,114"
HIV prevalence,2014,"Abbeville County, SC",45001,25,118.6,"21,075"
HIV prevalence,2013,"Abbeville County, SC",45001,17,80.7,"21,075"
HIV prevalence,2012,"Abbeville County, SC",45001,19,90.1,"21,099"
HIV prevalence,2011,"Abbeville County, SC",45001,48,227.3,"21,118"
HIV prevalence,2010,"Abbeville County, SC",45001,32,150.5,"21,261"
HIV prevalence,2009,"Abbeville County, SC",45001,45,212.6,"21,167"
HIV prevalence,2008,"Abbeville County, SC",45001,44,207.4,"21,217"
HIV prevalence,2017,"Acadia Parish, LA",22001,144,283.6,"50,783"
HIV prevalence,2016,"Acadia Parish, LA",22001,115,225.9,"50,906"
HIV prevalence,2015,"Acadia Parish, LA",22001,116,228.6,"50,733"
HIV prevalence,2014,"Acadia Parish, LA",22001,101,199.4,"50,651"
HIV prevalence,2013,"Acadia Parish, LA",22001,106,210.8,"50,280"
HIV prevalence,2012,"Acadia Parish, LA",22001,88,176,"49,987"
HIV prevalence,2011,"Acadia Parish, LA",22001,87,174.7,"49,793"
HIV prevalence,2010,"Acadia Parish, LA",22001,79,158.8,"49,736"
HIV prevalence,2009,"Acadia Parish, LA",22001,83,172.6,"48,081"
HIV prevalence,2008,"Acadia Parish, LA",22001,74,154.1,"48,028"
HIV prevalence,2017,"Accomack County, VA",51001,99,357.6,"27,685"
HIV prevalence,2016,"Accomack County, VA",51001,93,333.2,"27,910"
HIV prevalence,2015,"Accomack County, VA",51001,94,336.9,"27,904"
HIV prevalence,2014,"Accomack County, VA",51001,96,343.3,"27,964"
HIV prevalence,2013,"Accomack County, VA",51001,97,347.1,"27,945"
HIV prevalence,2012,"Accomack County, VA",51001,99,353,"28,049"
HIV prevalence,2011,"Accomack County, VA",51001,99,353,"28,048"
HIV prevalence,2010,"Accomack County, VA",51001,93,330.7,"28,124"
HIV prevalence,2009,"Accomack County, VA",51001,104,320.9,"32,405"
HIV prevalence,2008,"Accomack County, VA",51001,100,308.8,"32,379"
HIV prevalence,2017,"Ada County, ID",16001,175,46.1,"379,392"
HIV prevalence,2016,"Ada County, ID",16001,186,50.5,"368,126"
HIV prevalence,2015,"Ada County, ID",16001,225,63.1,"356,854"
HIV prevalence,2014,"Ada County, ID",16001,289,82.7,"349,356"
HIV prevalence,2013,"Ada County, ID",16001,276,81.1,"340,146"
HIV prevalence,2012,"Ada County, ID",16001,282,84.8,"332,649"
HIV prevalence,2011,"Ada County, ID",16001,294,90.4,"325,159"
HIV prevalence,2010,"Ada County, ID",16001,310,97.6,"317,604"
HIV prevalence,2009,"Ada County, ID",16001,296,95.1,"311,241"
HIV prevalence,2008,"Ada County, ID",16001,284,92.6,"306,746"
HIV prevalence,2017,"Adair County, MO",29001,37,168.4,"21,975"
HIV prevalence,2016,"Adair County, MO",29001,40,183,"21,857"
HIV prevalence,2015,"Adair County, MO",29001,38,172.9,"21,981"
HIV prevalence,2014,"Adair County, MO",29001,40,180.7,"22,138"
HIV prevalence,2013,"Adair County, MO",29001,53,238.1,"22,256"
HIV prevalence,2012,"Adair County, MO",29001,44,198.2,"22,196"
HIV prevalence,2011,"Adair County, MO",29001,38,171.5,"22,158"
HIV prevalence,2010,"Adair County, MO",29001,19,86.1,"22,067"
HIV prevalence,2009,"Adair County, MO",29001,12,55.4,"21,648"
HIV prevalence,2008,"Adair County, MO",29001,12,55.7,"21,548"
HIV prevalence,2017,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
