Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Population
HIV prevalence,2017,United States,NA,"1,001,718",367.7,"272,460,904"
HIV prevalence,2016,United States,NA,"977,493",361.6,"270,301,427"
HIV prevalence,2015,United States,NA,"952,705",355.5,"268,005,522"
HIV prevalence,2014,United States,NA,"927,581",349.1,"265,732,678"
HIV prevalence,2013,United States,NA,"902,775",342.8,"263,356,005"
HIV prevalence,2012,United States,NA,"878,677",336.6,"261,032,045"
HIV prevalence,2011,United States,NA,"853,331",329.9,"258,666,188"
HIV prevalence,2010,United States,NA,"827,506",322.8,"256,390,428"
HIV prevalence,2009,United States,NA,"798,336",315.2,"253,253,138"
HIV prevalence,2008,United States,NA,"771,038",307.2,"251,009,998"
