Year,Geography,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,"1,997",107.4,"7,064",63.9,"316,174",1055.3,"156,622",452.1,"39,444",1392.2,467,133.4,"248,451",145.9
2009,United States,"2,076",110.2,"7,636",67.4,"327,839",1082,"163,450",457.9,"40,815",1397.3,507,141.9,"255,195",149.4
2010,United States,"2,158",119.4,"8,321",67,"340,290",1108.1,"171,228",450,"42,135",1183,545,136.5,"262,009",154.6
2011,United States,"2,235",122.2,"8,972",69.9,"351,382",1129.9,"177,916",456.2,"43,285",1173,591,144.3,"268,131",157.9
2012,United States,"2,349",126.8,"9,684",73,"361,885",1148.8,"184,965",463,"44,325",1159.1,630,150.1,"274,041",161
2013,United States,"2,429",129.4,"10,428",76.1,"371,811",1165.6,"191,715",468.4,"45,201",1140.9,665,154.5,"279,730",164
2014,United States,"2,545",134,"11,303",79.7,"382,149",1183.6,"199,003",474.6,"45,848",1117.5,699,158.9,"285,242",166.9
2015,United States,"2,671",139.2,"12,220",83.3,"392,774",1202.9,"206,599",480.7,"46,318",1091.2,765,170,"290,572",169.8
2016,United States,"2,849",146.9,"13,163",86.8,"403,300",1221.9,"214,530",486.9,"46,637",1061.7,792,172,"295,439",172.5
2017,United States,"3,026",154.5,"14,135",90.5,"413,471",1240.2,"222,392",493,"46,706",1027.7,836,177.8,"300,370",175.2
