Year,Geography,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
2008,Alabama,3,15.4,17,45.8,"6,197",628.5,299,318.1,556,1833.8,2,177.8,"2,856",105.7
2008,Alaska,130,163.8,6,22.7,61,296.3,53,176.8,25,127.1,2,62.2,270,71
2008,Arizona,336,161.3,80,62.7,"1,032",568.9,"3,048",216,302,530.1,5,73.5,"6,042",186.3
2008,Arkansas,4,23.6,9,36.3,"1,712",488.4,223,200.9,227,940.3,4,201,"1,910",104.5
2008,California,236,144.6,"2,777",73.1,"16,455",901.1,"32,897",331.1,"3,991",784.8,127,126.3,"43,019",318.5
2008,Colorado,54,178,65,63.3,"1,304",857.9,"1,948",273.3,254,496.6,4,99.5,"6,284",209.7
2008,Connecticut,7,109.3,52,53.9,"2,878",1086.1,"3,084",976.8,254,963.4,0,0,"2,900",130.5
2008,Delaware,3,139,5,24.6,"1,662",1145.6,200,475.5,89,1317.5,0,0,671,131.1
2008,District of Columbia,5,372,45,283.4,"8,335",3096.4,830,2085.5,892,15849.3,5,1474.9,"1,862",1058.9
2008,Florida,39,85.8,210,60.6,"41,527",1891.3,"17,095",550.8,"2,573",1872.3,15,170.3,"23,750",245.6
2008,Georgia,10,50.5,104,47.3,"20,741",904.1,"1,910",358.8,"1,913",2847.8,4,101.7,"6,935",147.9
2008,Hawaii,5,108.4,277,63.2,76,282.3,211,266,204,131.2,165,180.7,"1,031",365.7
2008,Idaho,9,60.6,5,37.1,27,395.3,98,90.3,25,178,0,0,538,50.5
2008,Illinois,16,85.9,258,57.9,"12,662",845.6,"4,723",338.9,"1,761",2088.7,14,378.3,"8,206",115.3
2008,Indiana,3,22.5,50,70.8,"2,601",585.6,588,252.7,342,815.6,0,0,"4,346",97.8
2008,Iowa,1,13.1,15,40.3,243,431.9,156,181,60,353.5,0,0,"1,006",44.1
2008,Kansas,5,26.1,16,32.5,521,405.9,326,185.2,127,446.1,1,78.6,"1,218",64.5
2008,Kentucky,5,61.9,15,43.4,"1,447",557.1,271,367.3,182,690.8,0,0,"2,684",85.1
2008,Louisiana,11,52.1,34,67.2,"10,257",919.8,621,527.4,408,1568.9,1,92.2,"4,089",176.5
2008,Maine,6,98.1,2,20.9,71,764.9,67,529.4,20,237.5,0,0,807,74.5
2008,Maryland,10,80.8,86,36.5,"17,870",1334.9,"1,323",463.1,"2,100",4146,5,215.2,"3,522",127.1
2008,Massachusetts,19,171.6,210,80.4,"4,543",1454.2,"4,022",951.6,331,664.9,0,0,"7,074",158.2
2008,Michigan,26,57.4,48,25.7,"7,014",621.8,639,215.6,524,567.5,3,134.2,"4,213",64
2008,Minnesota,86,195.4,78,54.1,"1,899",1102.7,553,379.6,215,490.2,2,99,"3,156",83.6
2008,Mississippi,10,94.4,9,46.2,"5,404",635.2,209,414.8,332,2260.7,1,150.8,"1,521",105.4
2008,Missouri,4,18,33,47.8,"4,098",766.4,542,399.2,422,823.3,2,61.5,"4,925",119.6
2008,Montana,17,38,0,0,6,159.4,13,62.9,15,142.7,0,0,256,35.2
2008,Nebraska,18,157.9,12,54.1,368,627.8,196,205.5,43,368.4,1,113.3,798,63.5
2008,Nevada,29,132.1,98,69.7,"1,301",836.9,"1,299",269.5,233,605,10,105.9,"3,100",244
2008,New Hampshire,0,0,8,40.9,122,1133.1,138,536.8,40,477,0,0,723,68.7
2008,New Jersey,10,87.9,214,40.1,"15,657",1687.6,"8,567",789.8,"2,412",3942.7,6,217.2,"6,510",142
2008,New Mexico,136,100.8,6,29.2,102,309.7,"1,038",149.5,53,310.6,1,89.8,812,112.9
2008,New York,43,84.4,"1,038",93.7,"41,806",1776.3,"40,050",1589.1,"9,418",6095.2,11,151.4,"20,958",206.7
2008,North Carolina,133,157.4,66,46.4,"13,896",873.2,"1,384",306.7,885,1488,5,137.6,"5,391",102.2
2008,North Dakota,8,31.7,1,24.9,22,456.3,5,51.6,8,177,0,0,119,24.2
2008,Ohio,11,53.3,48,33.6,"6,366",585.1,932,419.5,654,751.4,1,41.3,"7,359",91.6
2008,Oklahoma,223,100.8,19,39.1,934,423.8,375,191.9,266,271.4,5,215.4,"2,552",116
2008,Oregon,40,111.6,63,56.3,296,573.8,568,200.8,143,248,10,127.9,"3,405",130.4
2008,Pennsylvania,17,111.8,122,50.1,"13,218",1266.9,"4,183",947.6,"1,567",2199.1,14,494,"8,488",96.4
2008,Rhode Island,8,235.9,24,104.8,449,1070.8,472,516.9,55,625.5,1,207.9,875,120.7
2008,South Carolina,8,60.9,23,51.5,"9,285",907.6,496,374.5,386,1453,2,135.3,"3,051",122.5
2008,South Dakota,52,110.6,2,40.2,69,1187.8,18,127.8,15,229,0,0,208,35.7
2008,Tennessee,5,34.3,35,52.7,"7,478",910.7,492,300.9,463,1150.1,5,252,"4,900",120.6
2008,Texas,32,41.4,347,52.8,"20,450",926.1,"16,839",260.7,"2,626",1630.4,12,92.8,"17,901",184
2008,Utah,19,79.3,18,42.8,172,934.9,409,185.3,66,297.4,4,27.7,"1,447",83
2008,Vermont,0,0,3,53.3,30,787.8,23,334.4,19,393,0,0,307,60.1
2008,Virginia,9,48,156,50.2,"10,249",825.2,"1,375",349.9,955,1281.9,5,130.5,"5,245",118.4
2008,Washington,111,145.8,210,57.1,"1,228",680.8,"1,165",259.3,731,613.1,12,52.2,"6,085",143.7
2008,West Virginia,1,28.6,3,30.4,341,670.3,46,288,72,670.7,0,0,867,59.8
2008,Wisconsin,19,49.5,40,45.4,"1,681",664.7,577,289.3,179,505.3,0,0,"2,126",52.1
2008,Wyoming,5,54.5,2,63,11,276.1,26,87.4,11,243.5,0,0,133,34.2
2009,Alabama,4,20.4,20,51.6,"6,471",651.4,309,310.1,596,1901.4,2,172.6,"2,936",108.2
2009,Alaska,133,164.5,8,28.9,62,306.7,54,174.1,26,129.2,2,59.8,269,70.3
2009,Arizona,366,173.9,87,65.8,"1,070",565.3,"3,234",221.9,310,521.6,7,99.1,"6,213",190.5
2009,Arkansas,4,23.2,10,38.5,"1,786",505,259,222.1,235,948.3,4,187.2,"1,954",106.6
2009,California,246,149.4,"2,973",76.8,"17,088",930.6,"34,612",339.8,"4,161",798.7,145,142.5,"44,061",326.7
2009,Colorado,54,173.8,72,67.9,"1,343",859.5,"2,035",277.2,254,477.6,5,121,"6,375",210
2009,Connecticut,7,108.7,58,58.1,"2,951",1099,"3,103",948.1,255,940.9,0,0,"2,911",131
2009,Delaware,3,139.6,5,23.8,"1,691",1146.3,213,482.6,91,1290,0,0,695,135.3
2009,District of Columbia,7,502.9,46,279,"8,722",3251.9,882,2113.7,938,15709.3,6,1699.7,"1,934",1063.5
2009,Florida,39,85.2,234,65.8,"42,837",1923.8,"17,888",561.8,"2,604",1843,18,198.1,"24,462",253.4
2009,Georgia,10,49.1,107,47,"22,173",947.9,"2,082",375.2,"2,014",2856.5,4,96.7,"7,284",154.3
2009,Hawaii,5,103.3,291,66.5,83,294.8,215,264.4,209,133.8,172,186.9,"1,052",372
2009,Idaho,9,59.3,5,36.3,27,373.2,100,88.6,26,178.1,0,0,571,53.2
2009,Illinois,19,99.9,274,60.1,"13,174",875.3,"4,983",348.5,"1,861",2130,15,397.1,"8,437",118.4
2009,Indiana,2,14.9,53,72.2,"2,721",604.4,626,259.5,354,812.4,0,0,"4,455",100
2009,Iowa,2,25.6,19,49.2,255,438.4,159,175.5,68,383.5,0,0,"1,072",47
2009,Kansas,5,25.8,20,39.5,555,428.9,351,192.4,138,468.3,1,77.8,"1,250",66
2009,Kentucky,5,59.9,16,44.6,"1,517",574.3,292,373.2,191,697.8,0,0,"2,819",89
2009,Louisiana,14,65.4,38,72.7,"10,769",953.1,680,547.1,416,1530.7,1,86.1,"4,166",179.2
2009,Maine,7,113.1,2,20.4,80,825.9,71,537.6,23,268.1,0,0,826,76.3
2009,Maryland,11,87.9,91,37.5,"18,523",1367.1,"1,427",478.7,"2,204",4204.1,5,208.7,"3,628",130.9
2009,Massachusetts,19,169.3,219,81.2,"4,705",1478.7,"4,140",943.1,341,662.7,1,43,"7,186",160.1
2009,Michigan,26,57.1,55,29,"7,330",652.4,672,222.1,546,578.9,3,131.1,"4,359",66.4
2009,Minnesota,89,200,84,56.4,"1,994",1129.1,591,391.7,229,503.9,3,142.9,"3,284",86.7
2009,Mississippi,10,92.6,9,44.9,"5,616",657.1,223,420,349,2283.4,1,146,"1,542",106.9
2009,Missouri,4,17.8,35,49.3,"4,259",790.3,567,400.5,426,806.7,2,60.2,"5,024",121.6
2009,Montana,19,41.8,0,0,6,148.3,17,78.7,15,139.5,0,0,274,37.5
2009,Nebraska,18,156,15,65.6,398,665.7,211,210.6,47,384.5,1,105.8,830,65.9
2009,Nevada,31,140.3,116,80.4,"1,356",855.1,"1,384",277.4,241,608.5,10,104.1,"3,161",249.1
2009,New Hampshire,0,0,7,35.1,127,1129.1,139,519.6,42,485.5,0,0,732,69.4
2009,New Jersey,10,86.3,231,42.1,"15,769",1688.4,"8,857",793.1,"2,496",3944.9,6,210,"6,596",144.2
2009,New Mexico,150,109.9,6,28.4,111,325.1,"1,096",155,58,326.9,1,85.9,834,116
2009,New York,44,85.1,"1,130",99.8,"42,494",1795.8,"40,598",1582.6,"9,536",6009.7,11,146.8,"21,381",211.1
2009,North Carolina,134,156.9,72,48.5,"14,498",897.7,"1,496",315.9,941,1509.6,5,132.6,"5,631",105.7
2009,North Dakota,7,27.3,1,23.9,24,464.8,8,77.4,10,214.5,0,0,124,25.1
2009,Ohio,11,53.1,50,34.2,"6,714",613.5,982,426.1,697,777.7,1,40.3,"7,639",95.1
2009,Oklahoma,227,101.4,21,41.8,999,445.5,412,199.5,272,275.4,5,208.1,"2,620",118.6
2009,Oregon,38,104.9,71,61.7,309,584.5,610,207.1,147,246.6,10,124.6,"3,517",133.7
2009,Pennsylvania,18,116,132,52.6,"13,669",1299.4,"4,450",962.6,"1,599",2165.4,15,521.2,"8,739",99.3
2009,Rhode Island,8,237,27,116.9,462,1092.8,516,546.4,55,612.8,1,203.3,897,124.3
2009,South Carolina,7,52.1,24,51.5,"9,526",924.9,527,376.8,397,1421.2,2,134.8,"3,156",125.2
2009,South Dakota,53,111.1,2,37.3,73,1148,18,119.1,15,219.8,0,0,218,37.2
2009,Tennessee,6,40.5,40,58,"7,796",937.4,534,309.1,490,1167.4,6,287.5,"5,038",123.3
2009,Texas,32,40.4,380,55.5,"21,523",956.4,"18,000",269.9,"2,810",1665.1,13,96,"18,352",187.3
2009,Utah,16,65.7,24,55,181,922.9,434,187.9,71,302.3,3,20.3,"1,496",84.5
2009,Vermont,0,0,2,34.9,31,771.5,24,334.1,19,386.4,0,0,317,62
2009,Virginia,8,42.1,171,53.3,"10,581",842.7,"1,452",352.6,980,1270,5,127.6,"5,378",120.7
2009,Washington,113,146.7,230,60.5,"1,290",692.3,"1,235",261.9,741,602.3,14,59,"6,250",146.4
2009,West Virginia,1,28.2,3,29.8,348,671.5,47,279.7,71,645.6,0,0,902,62.2
2009,Wisconsin,19,48.9,48,52.8,"1,741",680.9,606,292.4,189,512.3,1,67.9,"2,203",53.9
2009,Wyoming,6,63.4,2,58.9,11,259.7,29,93.2,11,230.7,0,0,145,36.8
2010,Alabama,4,18.3,21,47.3,"6,661",660.3,324,245.9,632,1688.1,2,127.1,"3,029",110.8
2010,Alaska,137,173.5,14,44.6,74,409.8,68,237,43,154.6,1,18.9,305,78.7
2010,Arizona,369,184.4,114,78.4,"1,259",647.2,"3,427",247.4,348,499.7,9,97.6,"6,591",204.3
2010,Arkansas,4,24,12,40.3,"1,787",505.1,271,209.8,245,866.7,4,105.8,"1,937",104.9
2010,California,242,174.5,"3,182",76.6,"17,700",967.3,"35,818",336.6,"4,303",691.2,155,140.2,"44,277",334
2010,Colorado,49,183.7,79,69.2,"1,358",876.5,"1,974",259.3,194,311.4,7,152.2,"6,020",198.8
2010,Connecticut,7,119.7,57,51,"3,140",1126.5,"3,447",944.2,284,867.3,2,203.7,"3,073",138.5
