Year,Geography,Female,,Male,
,,Cases,Rate per 100000,Cases,Rate per 100000
2008,"Abbeville County, SC",14,125.5,30,298.1
2008,"Acadia Parish, LA",25,99.7,49,213.5
2008,"Accomack County, VA",41,244.1,59,378.7
2008,"Ada County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adair County, IA",0,0,0,0
2008,"Adair County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adair County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adair County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, CO",107,64.2,455,265.7
2008,"Adams County, IA",0,0,0,0
2008,"Adams County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, MS",34,240,50,429.8
2008,"Adams County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, NE",5,35.5,8,59.6
2008,"Adams County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, PA",21,48,38,90.1
2008,"Adams County, WA",0,0,5,77.7
2008,"Adams County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Addison County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aiken County, SC",105,155.3,240,391
2008,"Aitkin County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alachua County, FL",263,243.7,476,466.5
2008,"Alamance County, NC",88,137.7,194,335.2
2008,"Alameda County, CA",885,142.3,"3,560",594.2
2008,"Alamosa County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Albany County, NY",325,242.4,717,588.1
2008,"Albany County, WY",5,36.1,16,105.1
2008,"Albemarle County, VA",15,35.9,69,181.1
2008,"Alcona County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alcorn County, MS",10,64.9,21,147.1
2008,"Aleutians East Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aleutians West Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alexander County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alexander County, NC",6,39.7,21,134.6
2008,"Alexandria City, VA",294,460,833,1412.4
2008,"Alfalfa County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alger County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allamakee County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allegan County, MI",7,15,57,123.1
2008,"Allegany County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allegany County, NY",5,23.8,17,80
2008,"Alleghany County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alleghany County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allegheny County, PA",441,79.7,"1,632",330.1
2008,"Allen County, IN",67,46.1,307,223.1
2008,"Allen County, KS",0,0,5,92.3
2008,"Allen County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allen County, OH",41,93.7,105,246.1
2008,"Allen Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allendale County, SC",22,545.2,33,710.9
