Year,Geography,Female,,Male,
,,Cases,Rate per 100000,Cases,Rate per 100000
2008,United States,"195,248",152.3,"575,790",468.9
2009,United States,"201,010",155.5,"597,326",481.8
2010,United States,"207,315",157.8,"620,191",496
2011,United States,"212,212",160.2,"641,119",508.1
2012,United States,"216,508",162,"662,169",519.7
2013,United States,"220,431",163.6,"682,344",530.6
2014,United States,"224,285",165,"703,296",541.8
2015,United States,"228,278",166.6,"724,427",553.1
2016,United States,"232,429",168.2,"745,064",563.9
2017,United States,"236,589",169.9,"765,129",574.4
