Year,Geography,Female,,Male,
,,Cases,Rate per 100000,Cases,Rate per 100000
2008,Alabama,"2,943",145.8,"7,051",380.5
2008,Alaska,128,48.1,419,142.8
2008,Arizona,"1,492",56.9,"9,399",359.7
2008,Arkansas,"1,034",85.2,"3,058",267.3
2008,California,"12,088",80.7,"87,423",588.6
2008,Colorado,"1,126",55.8,"8,837",434.8
2008,Connecticut,"3,187",210.3,"5,989",422.6
2008,Delaware,854,225.8,"1,777",507.7
2008,District of Columbia,"3,420",1258.9,"8,560",3621.7
2008,Florida,"26,471",333.5,"58,741",775.9
2008,Georgia,"8,238",205.1,"23,386",613.8
2008,Hawaii,268,50,"1,701",314.1
2008,Idaho,139,22.7,563,92
2008,Illinois,"6,138",113.6,"21,505",416.8
2008,Indiana,"1,551",57.8,"6,379",248.8
2008,Iowa,316,24.9,"1,165",95.6
2008,Kansas,429,37,"1,788",158.3
2008,Kentucky,884,48.3,"3,722",215.3
2008,Louisiana,"4,804",253.4,"10,622",606.1
2008,Maine,163,28,811,148.2
2008,Maryland,"9,044",370,"15,872",704.6
2008,Massachusetts,"4,737",165,"11,464",430.7
2008,Michigan,"2,874",67.3,"9,596",235.9
2008,Minnesota,"1,333",61,"4,661",217.7
2008,Mississippi,"2,559",205.4,"4,961",434
2008,Missouri,"1,684",66.1,"8,344",349.4
2008,Montana,56,13.7,251,62
2008,Nebraska,336,45.4,"1,101",153.4
2008,Nevada,"1,004",96.4,"5,068",470.4
2008,New Hampshire,255,44.7,777,141.7
2008,New Jersey,"11,711",315.9,"21,715",620.9
2008,New Mexico,289,35.1,"1,860",233.7
2008,New York,"35,098",413.9,"78,544",1000.3
2008,North Carolina,"6,693",170.7,"15,074",408.9
2008,North Dakota,34,12.6,129,47.7
2008,Ohio,"3,210",64.7,"12,280",265
2008,Oklahoma,735,48.2,"3,639",249
2008,Oregon,604,37.7,"3,921",251.9
2008,Pennsylvania,"8,147",148.2,"19,465",380.1
2008,Rhode Island,547,117.7,"1,337",311.6
2008,South Carolina,"4,178",216,"9,082",505
2008,South Dakota,107,32.1,257,78.2
2008,Tennessee,"3,560",133.1,"9,820",393.6
2008,Texas,"12,943",133,"45,272",472.9
2008,Utah,311,29.8,"1,827",175.3
2008,Vermont,67,24.5,315,120.8
2008,Virginia,"4,821",145.4,"13,204",418.3
