Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
,,Cases,Cases,Cases,Cases,Cases
2008,"Abbeville County, SC",14,Data suppressed,21,Data suppressed,0
2008,"Acadia Parish, LA",23,9,35,Data suppressed,Data suppressed
2008,"Accomack County, VA",51,Data suppressed,35,Data suppressed,0
2008,"Ada County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adair County, IA",0,0,0,0,0
2008,"Adair County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adair County, MO",Data suppressed,0,8,0,Data suppressed
2008,"Adair County, OK",0,Data suppressed,Data suppressed,0,Data suppressed
2008,"Adams County, CO",101,59,354,39,9
2008,"Adams County, IA",0,0,0,0,0
2008,"Adams County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, IN",Data suppressed,0,Data suppressed,Data suppressed,0
2008,"Adams County, MS",31,10,37,6,0
2008,"Adams County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Adams County, NE",5,Data suppressed,Data suppressed,Data suppressed,0
2008,"Adams County, OH",Data suppressed,0,6,Data suppressed,0
2008,"Adams County, PA",17,11,26,Data suppressed,Data suppressed
2008,"Adams County, WA",0,0,5,0,0
2008,"Adams County, WI",Data suppressed,6,8,Data suppressed,0
2008,"Addison County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aiken County, SC",129,36,160,15,5
2008,"Aitkin County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alachua County, FL",301,88,281,58,11
2008,"Alamance County, NC",95,41,129,Data suppressed,Data suppressed
2008,"Alameda County, CA",991,479,"2,626",295,55
2008,"Alamosa County, CO",0,0,Data suppressed,Data suppressed,Data suppressed
2008,"Albany County, NY",278,261,380,104,19
2008,"Albany County, WY",Data suppressed,Data suppressed,12,Data suppressed,0
2008,"Albemarle County, VA",19,8,50,Data suppressed,Data suppressed
2008,"Alcona County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alcorn County, MS",10,Data suppressed,17,Data suppressed,0
2008,"Aleutians East Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aleutians West Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alexander County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alexander County, NC",8,Data suppressed,13,Data suppressed,0
2008,"Alexandria City, VA",335,127,587,70,8
2008,"Alfalfa County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alger County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allamakee County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allegan County, MI",9,Data suppressed,50,Data suppressed,Data suppressed
2008,"Allegany County, MD",20,29,30,Data suppressed,Data suppressed
2008,"Allegany County, NY",Data suppressed,Data suppressed,12,Data suppressed,Data suppressed
2008,"Alleghany County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alleghany County, VA",Data suppressed,Data suppressed,6,Data suppressed,0
2008,"Allegheny County, PA",502,264,"1,175",108,24
2008,"Allen County, IN",78,33,239,Data suppressed,Data suppressed
2008,"Allen County, KS",0,Data suppressed,Data suppressed,Data suppressed,0
2008,"Allen County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Allen County, OH",42,24,67,Data suppressed,Data suppressed
2008,"Allen Parish, LA",23,28,50,13,0
2008,"Allendale County, SC",36,Data suppressed,10,Data suppressed,0
2008,"Alpena County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Alpine County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Amador County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Amelia County, VA",Data suppressed,Data suppressed,Data suppressed,0,0
2008,"Amherst County, VA",14,8,10,Data suppressed,Data suppressed
2008,"Amite County, MS",6,5,Data suppressed,0,Data suppressed
