Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
,,Cases,Cases,Cases,Cases,Cases
2008,United States,"198,986","129,675","377,059","53,476","11,842"
2009,United States,"207,207","128,542","396,415","53,851","12,321"
2010,United States,"215,621","128,187","416,426","54,398","12,874"
2011,United States,"222,657","126,951","435,787","54,703","13,233"
2012,United States,"228,941","125,651","455,566","55,013","13,506"
2013,United States,"234,919","124,193","474,770","55,110","13,783"
2014,United States,"240,788","122,629","494,900","55,179","14,085"
2015,United States,"246,636","121,420","515,113","55,210","14,328"
2016,United States,"252,679","120,127","534,878","55,255","14,554"
2017,United States,"258,162","119,245","554,159","55,318","14,834"
