Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
,,Cases,Cases,Cases,Cases,Cases
2008,Alabama,"3,315","1,110","4,833",624,112
2008,Alaska,146,70,272,53,7
2008,Arizona,"1,322","1,295","6,964","1,189",122
2008,Arkansas,"1,053",529,"2,143",320,48
2008,California,"11,432","8,703","68,279","10,096","1,002"
2008,Colorado,"1,073",882,"6,663","1,264",81
2008,Connecticut,"2,580","3,732","2,317",347,200
2008,Delaware,857,741,834,163,37
2008,District of Columbia,"3,390","2,267","5,474",706,145
2008,Florida,"33,472","9,591","36,624","4,221","1,305"
2008,Georgia,"8,967","3,397","16,977","1,939",344
2008,Hawaii,220,167,"1,404",154,24
2008,Idaho,131,100,363,95,13
2008,Illinois,"5,489","4,590","15,020","2,111",433
2008,Indiana,"1,756",754,"4,682",634,104
2008,Iowa,346,157,816,130,32
2008,Kansas,453,199,"1,285",250,29
2008,Kentucky,977,506,"2,766",308,49
2008,Louisiana,"5,786","2,194","6,126","1,080",241
2008,Maine,153,127,617,62,16
2008,Maryland,"8,440","7,534","7,117","1,380",445
2008,Massachusetts,"3,920","4,642","6,465",823,350
2008,Michigan,"2,726","1,662","7,087",770,226
2008,Minnesota,"1,383",553,"3,528",445,85
2008,Mississippi,"2,755",862,"3,343",422,138
2008,Missouri,"1,783",825,"6,444",867,109
2008,Montana,49,40,170,44,4
2008,Nebraska,369,146,769,126,26
2008,Nevada,907,699,"3,787",622,57
2008,New Hampshire,237,191,512,66,27
2008,New Jersey,"10,250","10,809","10,004","1,633",729
2008,New Mexico,288,230,"1,337",269,26
2008,New York,"30,372","31,428","42,821","6,292","2,730"
2008,North Carolina,"7,492","3,254","9,653","1,084",285
2008,North Dakota,34,19,97,10,3
2008,Ohio,"3,585","1,426","9,349",901,228
2008,Oklahoma,709,522,"2,541",543,59
2008,Oregon,562,477,"2,992",437,57
2008,Pennsylvania,"8,769","7,374","9,404","1,622",443
2008,Rhode Island,532,497,728,100,28
2008,South Carolina,"5,087","1,719","5,554",727,173
2008,South Dakota,116,60,146,28,15
2008,Tennessee,"4,068","1,349","7,182",626,155
2008,Texas,"13,489","7,901","31,311","4,947",568
2008,Utah,264,257,"1,263",325,29
2008,Vermont,61,54,224,34,10
2008,Virginia,"5,247","2,376","9,055","1,073",274
2008,Washington,"1,320",830,"6,246","1,040",115
2008,West Virginia,282,223,729,82,19
2008,Wisconsin,940,576,"2,654",370,83
2008,Wyoming,34,35,93,22,4
2009,Alabama,"3,419","1,104","5,139",627,113
2009,Alaska,150,69,275,53,7
2009,Arizona,"1,404","1,321","7,283","1,204",122
2009,Arkansas,"1,086",529,"2,268",320,52
2009,California,"11,939","8,794","71,297","10,238","1,028"
2009,Colorado,"1,122",868,"6,834","1,282",82
2009,Connecticut,"2,657","3,648","2,444",341,196
2009,Delaware,887,728,883,162,39
2009,District of Columbia,"3,629","2,271","5,788",703,151
2009,Florida,"34,567","9,519","38,419","4,217","1,364"
2009,Georgia,"9,526","3,452","18,365","1,970",367
2009,Hawaii,232,173,"1,446",153,24
2009,Idaho,130,104,393,98,13
2009,Illinois,"5,772","4,550","15,870","2,114",460
2009,Indiana,"1,840",745,"4,878",640,108
2009,Iowa,372,165,875,132,32
2009,Kansas,493,196,"1,349",256,29
2009,Kentucky,"1,034",517,"2,925",313,53
2009,Louisiana,"6,143","2,201","6,424","1,074",247
2009,Maine,164,131,635,66,15
2009,Maryland,"8,988","7,396","7,666","1,376",462
2009,Massachusetts,"4,058","4,587","6,770",836,363
2009,Michigan,"2,839","1,647","7,498",776,234
2009,Minnesota,"1,450",552,"3,732",454,92
2009,Mississippi,"2,848",853,"3,522",418,143
2009,Missouri,"1,842",811,"6,685",871,112
2009,Montana,52,40,188,47,4
2009,Nebraska,404,154,810,124,29
2009,Nevada,950,695,"3,974",625,56
2009,New Hampshire,245,187,526,63,28
2009,New Jersey,"10,511","10,624","10,482","1,634",765
2009,New Mexico,310,239,"1,403",280,26
2009,New York,"31,093","30,810","44,483","6,269","2,857"
2009,North Carolina,"7,814","3,227","10,353","1,092",298
2009,North Dakota,37,19,103,11,3
2009,Ohio,"3,798","1,432","9,830",914,238
2009,Oklahoma,757,521,"2,672",544,62
2009,Oregon,575,484,"3,124",460,59
2009,Pennsylvania,"9,185","7,352","9,976","1,646",467
2009,Rhode Island,552,492,792,101,30
2009,South Carolina,"5,182","1,690","5,879",723,175
2009,South Dakota,118,61,155,31,15
2009,Tennessee,"4,281","1,343","7,516",615,157
2009,Texas,"14,310","7,914","33,309","4,988",598
2009,Utah,276,259,"1,320",344,29
2009,Vermont,64,58,228,33,11
2009,Virginia,"5,411","2,339","9,509","1,067",279
2009,Washington,"1,380",832,"6,479","1,069",123
2009,West Virginia,289,225,757,85,20
2009,Wisconsin,989,579,"2,786",370,84
2009,Wyoming,37,38,101,24,4
2010,Alabama,"3,567","1,125","5,332",588,124
2010,Alaska,161,83,316,72,10
2010,Arizona,"1,548","1,406","7,841","1,211",156
2010,Arkansas,"1,099",500,"2,321",293,52
2010,California,"12,297","8,778","73,465","10,143","1,004"
2010,Colorado,"1,183",798,"6,537","1,134",78
2010,Connecticut,"2,901","3,768","2,760",381,202
2010,Delaware,976,761,989,181,36
2010,District of Columbia,"3,977","2,388","6,694",852,140
2010,Florida,"34,778","9,109","39,032","4,055","1,421"
2010,Georgia,"11,175","4,108","22,104","2,320",466
2010,Hawaii,262,199,"1,697",197,31
2010,Idaho,159,125,453,116,16
2010,Illinois,"6,003","4,440","16,876","2,198",451
2010,Indiana,"2,023",775,"5,160",647,125
2010,Iowa,443,223,"1,079",206,36
2010,Kansas,536,220,"1,498",311,31
2010,Kentucky,"1,154",595,"3,156",354,58
2010,Louisiana,"6,122","2,091","6,318",971,202
2010,Maine,194,175,788,78,18
2010,Maryland,"9,678","7,324","8,510","1,421",519
2010,Massachusetts,"4,280","4,605","6,949",880,378
2010,Michigan,"2,907","1,666","7,639",804,234
2010,Minnesota,"1,551",578,"3,800",445,101
2010,Mississippi,"2,826",853,"3,615",408,153
2010,Missouri,"1,847",840,"6,525",750,115
2010,Montana,55,49,252,57,8
2010,Nebraska,472,176,926,140,36
2010,Nevada,"1,085",699,"4,266",574,75
2010,New Hampshire,252,187,559,65,31
2010,New Jersey,"10,336","9,762","10,580","1,383",709
2010,New Mexico,386,286,"1,797",352,37
2010,New York,"31,263","30,197","45,517","6,484","2,820"
2010,North Carolina,"8,213","3,336","11,195","1,086",354
2010,North Dakota,48,25,107,16,5
2010,Ohio,"3,975","1,426","10,271",959,244
2010,Oklahoma,830,581,"2,802",563,75
2010,Oregon,684,534,"3,698",657,70
2010,Pennsylvania,"9,755","7,493","10,676","1,749",527
2010,Rhode Island,571,517,866,100,35
2010,South Carolina,"5,266","1,714","6,075",666,214
2010,South Dakota,122,59,144,23,14
2010,Tennessee,"4,526","1,376","7,886",640,179
2010,Texas,"15,491","7,945","35,974","5,069",657
2010,Utah,279,243,"1,242",322,36
2010,Vermont,82,71,261,30,8
2010,Virginia,"5,385","2,207","9,262",891,316
2010,Washington,"1,498",929,"6,827","1,071",140
2010,West Virginia,316,236,839,114,30
2010,Wisconsin,"1,037",563,"2,825",348,94
2010,Wyoming,48,46,129,27,7
2011,Alabama,"3,669","1,120","5,691",619,134
2011,Alaska,171,87,319,73,10
2011,Arizona,"1,644","1,443","8,048","1,253",161
2011,Arkansas,"1,109",502,"2,408",292,53
2011,California,"12,677","8,760","76,175","10,077","1,019"
2011,Colorado,"1,217",795,"6,776","1,155",81
2011,Connecticut,"2,932","3,652","2,831",361,202
2011,Delaware,"1,003",740,"1,052",188,46
2011,District of Columbia,"4,032","2,323","6,826",802,135
2011,Florida,"35,607","8,933","40,620","4,031","1,466"
2011,Georgia,"11,583","4,103","23,036","2,264",478
2011,Hawaii,275,192,"1,693",193,33
2011,Idaho,164,122,480,124,17
2011,Illinois,"6,255","4,401","17,660","2,205",477
2011,Indiana,"2,111",793,"5,380",658,131
2011,Iowa,457,218,"1,138",214,33
2011,Kansas,554,221,"1,566",308,34
2011,Kentucky,"1,203",607,"3,311",352,63
2011,Louisiana,"6,466","2,094","6,780",967,210
2011,Maine,202,175,803,70,19
2011,Maryland,"10,127","7,151","9,204","1,421",533
2011,Massachusetts,"4,490","4,662","7,329",910,391
2011,Michigan,"3,013","1,616","7,922",804,237
2011,Minnesota,"1,630",574,"3,972",445,107
2011,Mississippi,"2,935",847,"3,872",432,157
2011,Missouri,"1,905",841,"6,846",752,118
2011,Montana,59,60,282,69,8
2011,Nebraska,482,166,972,147,37
2011,Nevada,"1,123",701,"4,450",570,82
2011,New Hampshire,255,178,582,66,32
