"Date Printed: Sunday, February 9, 2020 10:08:46 PM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | United States | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2018","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,790",4,"94,703,829"
"HIV diagnoses","2018","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","5,282",12.7,"41,631,699"
"HIV diagnoses","2018","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","7,158",17.3,"41,277,888"
"HIV diagnoses","2018","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","13,322",29.2,"45,697,774"
"HIV diagnoses","2018","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","7,734",15.1,"51,294,758"
"HIV diagnoses","2017","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,796",4.1,"92,695,842"
"HIV diagnoses","2017","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","5,594",13.2,"42,263,761"
"HIV diagnoses","2017","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","7,245",17.8,"40,781,206"
"HIV diagnoses","2017","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","13,346",29.5,"45,274,618"
"HIV diagnoses","2017","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","8,245",16,"51,445,477"
"HIV diagnoses","2016","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,817",4.2,"90,636,601"
"HIV diagnoses","2016","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","5,968",14,"42,736,587"
"HIV diagnoses","2016","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","7,503",18.5,"40,485,121"
"HIV diagnoses","2016","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","13,592",30.4,"44,743,516"
"HIV diagnoses","2016","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","8,640",16.7,"51,699,602"
"HIV diagnoses","2015","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,723",4.2,"88,429,117"
"HIV diagnoses","2015","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","6,310",14.7,"43,041,432"
"HIV diagnoses","2015","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","7,663",18.9,"40,464,007"
"HIV diagnoses","2015","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","13,039",29.6,"44,052,780"
"HIV diagnoses","2015","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","9,061",17.4,"52,018,186"
"HIV diagnoses","2014","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,718",4.3,"86,166,497"
"HIV diagnoses","2014","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","6,496",15,"43,351,082"
"HIV diagnoses","2014","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","8,001",19.8,"40,422,866"
"HIV diagnoses","2014","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","12,623",29,"43,460,803"
"HIV diagnoses","2014","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","9,125",17.4,"52,331,430"
"HIV diagnoses","2013","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,922",4.7,"83,925,943"
"HIV diagnoses","2013","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","6,855",15.7,"43,764,719"
"HIV diagnoses","2013","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","7,873",19.5,"40,461,381"
"HIV diagnoses","2013","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","11,821",27.6,"42,844,188"
"HIV diagnoses","2013","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","8,759",16.7,"52,359,774"
"HIV diagnoses","2012","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,749",4.6,"81,716,899"
"HIV diagnoses","2012","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","7,396",16.7,"44,265,924"
"HIV diagnoses","2012","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","8,510",21,"40,522,261"
"HIV diagnoses","2012","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","11,816",27.9,"42,297,867"
"HIV diagnoses","2012","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","9,058",17.3,"52,229,094"
"HIV diagnoses","2011","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,821",4.8,"79,423,950"
"HIV diagnoses","2011","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","7,800",17.4,"44,730,829"
"HIV diagnoses","2011","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","9,126",22.5,"40,639,436"
"HIV diagnoses","2011","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","11,504",27.5,"41,797,908"
"HIV diagnoses","2011","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","9,060",17.4,"52,074,065"
"HIV diagnoses","2010","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,882",5,"77,262,065"
"HIV diagnoses","2010","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","8,227",18.3,"44,987,334"
"HIV diagnoses","2010","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","10,132",24.7,"40,981,672"
"HIV diagnoses","2010","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","11,703",28.4,"41,211,630"
"HIV diagnoses","2010","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","9,123",17.6,"51,947,727"
"HIV diagnoses","2009","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","3,921",5.3,"74,357,539"
"HIV diagnoses","2009","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","8,652",19.4,"44,592,483"
"HIV diagnoses","2009","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","11,392",27.4,"41,529,956"
"HIV diagnoses","2009","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","11,984",28.8,"41,566,322"
"HIV diagnoses","2009","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","8,802",17.2,"51,206,838"
"HIV diagnoses","2008","United States","NA","55+","All races/ethnicities","Both sexes","All transmission categories","4,160",5.7,"72,422,876"
"HIV diagnoses","2008","United States","NA","45-54","All races/ethnicities","Both sexes","All transmission categories","9,385",21.2,"44,233,644"
"HIV diagnoses","2008","United States","NA","35-44","All races/ethnicities","Both sexes","All transmission categories","12,630",29.9,"42,240,964"
"HIV diagnoses","2008","United States","NA","25-34","All races/ethnicities","Both sexes","All transmission categories","12,538",30.6,"40,957,505"
"HIV diagnoses","2008","United States","NA","13-24","All races/ethnicities","Both sexes","All transmission categories","8,577",16.8,"51,155,009"
