"Date Printed: Sunday, February 9, 2020 10:42:42 PM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | United States | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","37,286",13.6,"274,605,948"
"HIV diagnoses","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","38,226",14,"272,460,904"
"HIV diagnoses","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39,520",14.6,"270,301,427"
"HIV diagnoses","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39,796",14.8,"268,005,522"
"HIV diagnoses","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39,963",15,"265,732,678"
"HIV diagnoses","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","39,230",14.9,"263,356,005"
"HIV diagnoses","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","40,529",15.5,"261,032,045"
"HIV diagnoses","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","41,311",16,"258,666,188"
"HIV diagnoses","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","43,067",16.8,"256,390,428"
"HIV diagnoses","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","44,751",17.7,"253,253,138"
"HIV diagnoses","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","47,290",18.8,"251,009,998"
