"Date Printed: Sunday, February 9, 2020 10:41:15 PM"
Title: HIV deaths | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | United States | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15,969",5.9,"272,460,904"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16,334",6,"270,301,427"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15,859",5.9,"268,005,522"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16,148",6.1,"265,732,678"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15,917",6,"263,356,005"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16,034",6.1,"261,032,045"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16,331",6.3,"258,666,188"
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16,774",6.5,"256,390,428"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","18,064",7.1,"253,253,138"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","18,544",7.4,"251,009,998"
