Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After
US,43389.6,16.96,39003.5,14.483333333333334
Alabama,686.8,17.380000000000003,642.1666666666666,15.750000000000002
Alaska,29.4,5.119999999999999,29.5,4.883333333333334
Arizona,624.6,11.8,727.5,12.700000000000001
Arkansas,248.0,10.32,287.8333333333333,11.616666666666667
California,5300.4,17.32,4887.333333333333,15.066666666666665
Colorado,394.8,9.48,390.1666666666667,8.483333333333333
Connecticut,343.4,11.5,280.3333333333333,9.166666666666666
Delaware,135.4,18.1,109.33333333333333,13.666666666666666
District of Columbia,773.8,147.07999999999998,355.8333333333333,61.216666666666676
Florida,4877.2,30.580000000000002,4541.833333333333,25.983333333333334
Georgia,2800.2,35.220000000000006,2492.1666666666665,29.45
Hawaii,87.0,7.720000000000001,89.16666666666667,7.466666666666666
Idaho,42.6,3.4199999999999995,36.166666666666664,2.6666666666666665
Illinois,1691.0,15.920000000000002,1475.3333333333333,13.716666666666663
Indiana,473.6,8.900000000000002,513.3333333333334,9.316666666666666
Iowa,112.0,4.42,118.5,4.550000000000001
Kansas,142.6,6.140000000000001,142.0,5.933333333333334
Kentucky,340.0,9.44,350.1666666666667,9.433333333333334
Louisiana,1113.4,29.9,1088.6666666666667,28.266666666666666
Maine,51.0,4.5,41.5,3.6166666666666667
Maryland,1639.6,34.14,1135.1666666666667,22.599999999999998
Massachusetts,704.4,12.6,633.0,10.85
Michigan,779.8,9.379999999999999,749.1666666666666,8.916666666666666
Minnesota,330.8,7.539999999999999,294.1666666666667,6.433333333333334
Mississippi,486.8,20.1,463.5,18.75
Missouri,537.2,10.78,475.6666666666667,9.333333333333334
Montana,23.0,2.7800000000000002,21.333333333333332,2.45
Nebraska,96.2,6.5,81.5,5.25
Nevada,373.2,17.0,474.5,19.633333333333333
New Hampshire,43.6,3.88,35.0,3.0333333333333337
New Jersey,1325.2,18.14,1169.1666666666667,15.65
New Mexico,142.8,8.559999999999999,135.0,7.783333333333332
New York,3994.4,24.32,2941.1666666666665,17.683333333333337
North Carolina,1475.4,18.8,1299.5,15.366666666666667
North Dakota,12.6,2.2600000000000002,29.666666666666668,4.8
Ohio,1028.4,10.679999999999998,973.1666666666666,9.950000000000001
Oklahoma,292.6,9.56,296.0,9.216666666666667
Oregon,256.2,7.959999999999999,224.66666666666666,6.55
Pennsylvania,1541.2,14.399999999999997,1147.1666666666667,10.549999999999999
Rhode Island,107.0,11.920000000000002,76.83333333333333,8.433333333333332
South Carolina,735.2,19.16,718.8333333333334,17.38333333333333
South Dakota,25.4,3.8,32.5,4.616666666666667
Tennessee,896.4,17.0,744.3333333333334,13.416666666666666
Texas,4317.2,21.439999999999998,4442.166666666667,19.85
Utah,113.4,5.32,120.33333333333333,5.133333333333334
Vermont,16.6,3.1,14.5,2.6666666666666665
