,Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After,Difference_Cases
1,US,43389.6,16.96,39003.5,14.483333333333334,2.4766666666666666
1,Alabama,686.8,17.380000000000003,642.1666666666666,15.750000000000002,1.6300000000000008
2,Alaska,29.4,5.119999999999999,29.5,4.883333333333334,0.23666666666666547
3,Arizona,624.6,11.8,727.5,12.700000000000001,-0.9000000000000004
4,Arkansas,248.0,10.32,287.8333333333333,11.616666666666667,-1.2966666666666669
5,California,5300.4,17.32,4887.333333333333,15.066666666666665,2.2533333333333356
6,Colorado,394.8,9.48,390.1666666666667,8.483333333333333,0.9966666666666679
7,Connecticut,343.4,11.5,280.3333333333333,9.166666666666666,2.333333333333334
8,Delaware,135.4,18.1,109.33333333333333,13.666666666666666,4.433333333333335
9,District of Columbia,773.8,147.07999999999998,355.8333333333333,61.216666666666676,85.86333333333332
10,Florida,4877.2,30.580000000000002,4541.833333333333,25.983333333333334,4.596666666666668
11,Georgia,2800.2,35.220000000000006,2492.1666666666665,29.45,5.770000000000007
12,Hawaii,87.0,7.720000000000001,89.16666666666667,7.466666666666666,0.25333333333333474
13,Idaho,42.6,3.4199999999999995,36.166666666666664,2.6666666666666665,0.753333333333333
14,Illinois,1691.0,15.920000000000002,1475.3333333333333,13.716666666666663,2.2033333333333385
15,Indiana,473.6,8.900000000000002,513.3333333333334,9.316666666666666,-0.4166666666666643
16,Iowa,112.0,4.42,118.5,4.550000000000001,-0.13000000000000078
17,Kansas,142.6,6.140000000000001,142.0,5.933333333333334,0.206666666666667
18,Kentucky,340.0,9.44,350.1666666666667,9.433333333333334,0.0066666666666659324
19,Louisiana,1113.4,29.9,1088.6666666666667,28.266666666666666,1.6333333333333329
20,Maine,51.0,4.5,41.5,3.6166666666666667,0.8833333333333333
21,Maryland,1639.6,34.14,1135.1666666666667,22.599999999999998,11.540000000000003
22,Massachusetts,704.4,12.6,633.0,10.85,1.75
23,Michigan,779.8,9.379999999999999,749.1666666666666,8.916666666666666,0.46333333333333293
24,Minnesota,330.8,7.539999999999999,294.1666666666667,6.433333333333334,1.1066666666666656
25,Mississippi,486.8,20.1,463.5,18.75,1.3500000000000014
26,Missouri,537.2,10.78,475.6666666666667,9.333333333333334,1.4466666666666654
27,Montana,23.0,2.7800000000000002,21.333333333333332,2.45,0.33000000000000007
28,Nebraska,96.2,6.5,81.5,5.25,1.25
29,Nevada,373.2,17.0,474.5,19.633333333333333,-2.633333333333333
30,New Hampshire,43.6,3.88,35.0,3.0333333333333337,0.8466666666666662
31,New Jersey,1325.2,18.14,1169.1666666666667,15.65,2.49
32,New Mexico,142.8,8.559999999999999,135.0,7.783333333333332,0.7766666666666664
33,New York,3994.4,24.32,2941.1666666666665,17.683333333333337,6.636666666666663
34,North Carolina,1475.4,18.8,1299.5,15.366666666666667,3.4333333333333336
35,North Dakota,12.6,2.2600000000000002,29.666666666666668,4.8,-2.5399999999999996
36,Ohio,1028.4,10.679999999999998,973.1666666666666,9.950000000000001,0.7299999999999969
37,Oklahoma,292.6,9.56,296.0,9.216666666666667,0.3433333333333337
38,Oregon,256.2,7.959999999999999,224.66666666666666,6.55,1.4099999999999993
39,Pennsylvania,1541.2,14.399999999999997,1147.1666666666667,10.549999999999999,3.849999999999998
40,Rhode Island,107.0,11.920000000000002,76.83333333333333,8.433333333333332,3.48666666666667
41,South Carolina,735.2,19.16,718.8333333333334,17.38333333333333,1.7766666666666708
42,South Dakota,25.4,3.8,32.5,4.616666666666667,-0.8166666666666673
43,Tennessee,896.4,17.0,744.3333333333334,13.416666666666666,3.583333333333334
44,Texas,4317.2,21.439999999999998,4442.166666666667,19.85,1.5899999999999963
45,Utah,113.4,5.32,120.33333333333333,5.133333333333334,0.18666666666666654
46,Vermont,16.6,3.1,14.5,2.6666666666666665,0.43333333333333357
47,Virginia,974.4,14.680000000000001,906.3333333333334,12.866666666666665,1.8133333333333361
48,Washington,512.4,9.14,449.1666666666667,7.416666666666667,1.7233333333333336
49,West Virginia,79.2,5.06,76.33333333333333,4.866666666666666,0.19333333333333336
50,Wisconsin,245.0,5.159999999999999,230.5,4.75,0.40999999999999925
51,Wyoming,16.8,3.7,14.333333333333334,2.983333333333333,0.7166666666666672
1,"Ziebach County, SD",0.0,0.0,0.0,0.0,0.0
2,"Zavala County, TX",0.0,0.0,0.0,0.0,0.0
3,"Yuba County, CA",0.0,0.0,,,
4,"Young County, TX",0.0,0.0,0.0,0.0,0.0
5,"York County, NE",0.0,0.0,0.0,0.0,0.0
6,"Yoakum County, TX",0.0,0.0,0.0,0.0,0.0
7,"Yellow Medicine County, MN",0.0,0.0,0.0,0.0,0.0
8,"Yates County, NY",0.0,0.0,0.0,0.0,0.0
9,"Yadkin County, NC",0.0,0.0,,,
10,"Wyoming County, WV",0.0,0.0,1.5,8.225,-8.225
11,"Wyoming County, PA",0.0,0.0,0.0,0.0,0.0
12,"Wyoming County, NY",0.0,0.0,0.0,0.0,0.0
13,"Wright County, MO",0.0,0.0,0.0,0.0,0.0
14,"Wright County, IA",0.0,0.0,0.0,0.0,0.0
15,"Worth County, MO",0.0,0.0,0.0,0.0,0.0
16,"Worth County, IA",0.0,0.0,0.0,0.0,0.0
17,"Woodward County, OK",0.0,0.0,0.0,0.0,0.0
18,"Woodson County, KS",0.0,0.0,0.0,0.0,0.0
19,"Woods County, OK",0.0,0.0,0.0,0.0,0.0
20,"Woodruff County, AR",0.0,0.0,0.0,0.0,0.0
21,"Wise County, VA",0.0,0.0,0.0,0.0,0.0
