CalcLocation,Name,Address,City,State,Zip,formated_phone,Status,Icon,Type
"18.18193800,-67.13380200",FARMACIA LA SALUD,CALLE SAN IGNACIO 250,MAYAGUEZ,PR,6804625,787-832-6355,not participating,measle_white,Pharmacy
"18.16527300,-66.72258300",FARMACIA JENNY,MUNOZ RIVERA ESQ SAN JOAQUIN,ADJUNTAS,PR,601,787-829-2480,open,small_green,Pharmacy
"18.16527300,-66.72258300",FARMACIA PROFESIONAL,22 Barbosa St,ADJUNTAS,PR,601,787-829-3305,open,small_green,Pharmacy
"18.16350600,-66.72143400",FARMACIA RAMOS,CALLE MUNOZ RIVERA 26,ADJUNTAS,PR,6012234,787-829-2495,not participating,measle_white,Pharmacy
"18.16251600,-66.72444000",Farmacia Policlinica Castaner,Carr 123 km 35.7 Bo Garzas,Adjuntas,PR,601,787-829-5656,open,small_green,Pharmacy
"18.37985800,-67.18463500",FARMACIA DOMENECH LLC,CALLE COLON 228,AGUADA,PR,6023224,787-868-2135,open,small_green,Pharmacy
"18.37985800,-67.18463500",Farmacia La Salud,CALLE COLON #252,AGUADA,PR,602,787-868-8544,open,small_green,Pharmacy
"18.39310300,-67.18095300",FARMACIA COOPERATIVA DE AGUADA,BO ASOMANTE CARR 115 KM 24.6,AGUADA,PR,602,787-868-9495,not participating,measle_white,Pharmacy
"18.38178600,-67.18270600",NUESTRA FARMACIA,90 CALLE COLON,AGUADA,PR,6023113,787-868-2300,open,small_green,Pharmacy
"18.38030400,-67.18835200",FARMACIA DEL PUEBLO,Calle Marina 162 Calle Marina 162,AGUADA,PR,602,787-868-5890,not participating,measle_white,Pharmacy
"18.39310300,-67.18095300",FARMACIA AGUADA,CARR 417 KM 3 0 BO MALPASO,AGUADA,PR,6020991,787-868-6240,open,small_green,Pharmacy
"18.37985800,-67.18463500",FARMACIA HEIDI,CALLE COLON 260,AGUADA,PR,6022925,787-868-3710,open,small_green,Pharmacy
"18.37944900,-67.18550200",Nuestra Farmacia San Francisco,166 CALLE COLON,AGUADA,PR,602,787-868-4940,open,small_green,Pharmacy
"18.39310300,-67.18095300",FARMACIA ZARINET,CARR 417 KM 4.2 BO MAMEY,AGUADA,PR,602,787-252-1642,open,small_green,Pharmacy
"18.39310300,-67.18095300",Farmacia San Antonio,AVE NATIVO ALERS DESVIO SUR,AGUADA,PR,6020991,787-868-2805,open,small_green,Pharmacy
"18.39310300,-67.18095300",FARMACIA TU FAMILIA,CARR 416 KM 8 6 BO LAGUNA,AGUADA,PR,602,787-868-0959,open,small_green,Pharmacy
"18.37985800,-67.18463500",FARMACIA ALONDRA,CARR 115 KM 19 2 BO RIO GRANDE,AGUADA,PR,602,787-868-1377,open,small_green,Pharmacy
"18.39310300,-67.18095300",Farmacia Piedras Blancas,Carr 416 KM 0.9,Aguada,PR,602,787-252-5100,open,small_green,Pharmacy
"18.39310300,-67.18095300",Farmacia Oreste,Barrio Jaguey Carr.411 Km. 2.8,Aguada,PR,602,787-589-7281,open,small_green,Pharmacy
"18.37985800,-67.18463500",Farmacia Costa Caribe,Carr 115 Km 20.5,Aguada,PR,602,787-505-8405,open,small_green,Pharmacy
"18.45131900,-67.15139100","farmacia ferrari, inc",AVE SAN CARLOS ESQ JESUS T PINEIRO,AGUADILLA,PR,603,787-891-0007,open,small_green,Pharmacy
