Drugs,Side_Effects,Reasons,Classify
Combivir,headache,HIV,NRT
Combivir,dizziness,HIV,NRT
Combivir,nausea,HIV,NRT
Combivir,loss of appetite,HIV,NRT
Combivir,diarrhea,HIV,NRT
Combivir,trouble sleeping,HIV,NRT
Combivir,cold symptoms (stuffy nose sneezing sinus pain cough) or,HIV,NRT
Combivir,changes in the shape or location of body fat (especially in your arms legs face neck breasts and trunk),HIV,NRT
Combivir,mental mood changes (such as depression),HIV,NRT
Combivir,signs of pancreatitis (such as vomiting stomach abdominal back pain fever),HIV,NRT
Combivir,easy bruising or bleeding or,HIV,NRT
Combivir,skin or nail color changes,HIV,NRT
Emtriva,headache,HIV,NRT
Emtriva,nausea,HIV,NRT
Emtriva,upset stomach,HIV,NRT
Emtriva,diarrhea,HIV,NRT
Emtriva,trouble sleeping,HIV,NRT
Emtriva,darkening skin color on palms of hands and soles of feet,HIV,NRT
Emtriva,dizziness,HIV,NRT
Emtriva,strange dreams,HIV,NRT
Emtriva,cough,HIV,NRT
Emtriva,runny nose,HIV,NRT
Emtriva,"skin rash or changes in the shape or location of body fat (especially in the arms legs face neck breasts 
	and trunk)",HIV,NRT
Emtriva,unexplained weight loss,HIV,NRT
Emtriva,persistent muscle aches or weakness,HIV,NRT
Emtriva,joint pain,HIV,NRT
Emtriva,numbness or tingling of the hands feet arms legs,HIV,NRT
Emtriva,severe tiredness,HIV,NRT
Emtriva,vision changes,HIV,NRT
Emtriva,severe or persistent headaches,HIV,NRT
Emtriva,signs of infection (such as fever chills trouble breathing cough non-healing skin sores),HIV,NRT
Emtriva,signs of an overactive thyroid (such as irritability nervousness heat intolerance fast pounding irregular heartbeat bulging eyes unusual growth in the neck thyroid known as a goiter),HIV,NRT
Emtriva,signs of a certain nerve problem known as Guillain-Barre Syndrome (such as difficulty breathing swallowing moving your eyes drooping face paralysis slurred speech) or,HIV,NRT
Emtriva,mental mood changes (such as depression),HIV,NRT
Epivir,headache,HIV,NRT
Epivir,dizziness,HIV,NRT
Epivir,nausea,HIV,NRT
Epivir,diarrhea,HIV,NRT
Epivir,trouble sleeping,HIV,NRT
Epivir,cough,HIV,NRT
Epivir,tired feeling,HIV,NRT
Epivir,runny or stuffy nose or,HIV,NRT
Epivir,changes in the shape or location of body fat (especially in your arms legs face neck breasts and trunk),HIV,NRT
Epivir,mental mood changes (such as depression) or,HIV,NRT
Epivir,stomach or back pain with nausea (pancreatitis),HIV,NRT
Epizicom,"Drugs A-Z List - by drug brand and generic 
	name",HIV,NRT
Epizicom,"Pill Identifier Tool 
	- identify drugs and medications by imprint color or shape Includes drug 
	pictures",HIV,NRT
Epizicom,"Picture Slideshows - 
	interactive medical slideshow on important medical topics",HIV,NRT
Epizicom,"Image Gallery - 
	learn about skin disorder medical anatomy tumors and more through images and illustrations ",HIV,NRT
Epizicom,"Latest Drug News - 
	WebMD & FDA Updates and news releases on prescription medications and drug 
	manufacturing distribution",HIV,NRT
Epizicom,"Diseases 
	Condition and Tests - The RxList disease and condition listing contains 
	explanations of many diseases conditions medical procedures and tests",HIV,NRT
Epizicom,"Drug Medical Dictionary 
	- definitions and explanations of many medical terms including prescription 
	medication abbreviations",HIV,NRT
Epizicom,Neurontin (gabapentin),HIV,NRT
Epizicom,Celexa (citalopram hydrobromide),HIV,NRT
Epizicom,Xanax (CIV alprazolam),HIV,NRT
Epizicom,Klonopin (clonazepam),HIV,NRT
Epizicom,Cipro (ciprofloxacin hydrochloride),HIV,NRT
Epizicom,Percocet (oxycodone and acetaminophen),HIV,NRT
Epizicom,"Vicodin ((hydrocodone bitartrate and 
		acetaminophen)",HIV,NRT
