Drugs,Reasons,Reviews,Date Posted,Ratings,Source
Truvada,HIV,"Doctor put me  truvada as part of my medication for HIV, I almost died from it.  My kidneys went down to 50%, luckily we caught it in time.  The new medication is just one pill and the pill and myself get along.",2018-04-11,1.0,drugs.com
Truvada,HIV,No side effects experienced in almost two years on this drug. Now taking with Tivicay and no problem so far.,2016-08-26,10.0,drugs.com
Truvada,HIV,"I`ve been on truvada daily for more than 5 years. I have had numerous problems tho it has kept my viral load undetectable. Most recent issues are elevated creatine, elevated lipase, UTI`s, nausea, vomiting, bloating. They are slowly ruling out all other causes but I am suspecting it is the meds. I started on truvada, norvir and lexiva but after a few years on that combo my liver began to fail. They stopped the HIV meds then but opted to reintroduce the truvada as it's excreted thru kidneys and added isentress. That was changed to tivicay and truvada which is my current regimen.",2015-10-18,3.0,drugs.com
Truvada,HIV,"I have been taking  Truvuda and Edurant combination for the past two years, no side effects at all and my viral load is 20, CD4 good too. And living in Thailand the medication is so cheap.",2015-08-02,10.0,drugs.com
Truvada,HIV,Been on Truvada/Norvir/Prezista combination for 3 years after Zerit was discontinued and I developed a resistance to Sustiva. No noted side effects other than urine diluted. ,2015-02-02,10.0,drugs.com
Truvada,HIV,"I started Truvada once a day along with Isentress twice a day and my HIV Load was 28,000 and CD4% 31%. After 40 days my HIV load is <20 and CD 4% 32,7. Excellent improvement considering I have experienced ZERO side effects and all other lab work came out well. I am 49 yrs old and very active.",2013-08-29,10.0,drugs.com
Truvada,HIV,"I have been on the combination of Truvada/Prezista/Norvir for over 2 years now.  The side effects that cause me the most problems are the ones dealing with my kidneys!  The Truvada has made my GFR go down to 30, very close to changing medicines at that point. But it has been working so well that we took a very close monitoring of my kidney function, and my GFR has stabilized around 55.  Other than that the side effects have been minimal to none.  Great medicine overall!",2011-12-24,9.0,drugs.com
Truvada,HIV,"I started use Truvada, when Intelence affected my liver. Great combination. I stopped use sleeping pills. Take Truvada before bed. Great medicine.",2011-09-30,10.0,drugs.com
Truvada,HIV,"My viral load has gone for 180,000 to undetectable in 10 months.",2011-05-19,10.0,drugs.com
Truvada,HIV,After one year on Truvada in combination with Prezista and Norvir - the only listed side effect I may be suffering from is insomnia - and I think that has more to do with other factors than with Truvada (I take it at Noon).  After hearing about possible side effects with HIV medicines- it is a pleasant surprise!,2010-04-19,9.0,drugs.com
Truvada,HIV,I've been using Truvada for about three months with no noted side effects. Once daily dosing of one pill is great and it can be taken with or without food.,2008-09-04,10.0,drugs.com
Atripla,HIV,I was on atripla for 10 years and my doctor begged me to switch for years and then finally  about a year ago I took that leap of faith she said to take and got on Genvoya and ever since I have felt ill and heavy tired feeling! I puked last night and had diarrhea! I felt like death rolled over me so today I call my Hiv doctor and she said it’s to detrimental for you health but she gave it to me for 10  years and when I switched my labs was fine! She’s hates atripla and I guess if it’s people’s last option they die because she won’t give it out! Also she put in my medical records it’s detrimental to my health after she lied to me about it being discontinued! She also put in my record Genvoya is the drug she wants me on even though it’s being detrimental to my health right now! I’m not taking Genvoya anymore because I can’t handle what it does ,2020-02-11,10.0,drugs.com
Atripla,HIV,"viral load of 22,624 and CD4 in 263. By December 2015 the viral load was <20 although the CD4 fell to 69 (I was told that possible low was for a strong stress of a problem), but in February 2016 the CD4 rose to 252 and in April 2018 CD4 to 463. No serious side effects so far despite having more than 3 years with the treatment.",2019-01-02,9.0,drugs.com
