,Drugs,Side_Effects
0,Combivir,"headache,"
1,Combivir,"dizziness,"
2,Combivir,"nausea,"
3,Combivir,"loss of appetite,"
4,Combivir,"diarrhea,"
5,Combivir,"trouble sleeping,"
6,Combivir,"cold symptoms (stuffy nose, sneezing, sinus pain, cough), or"
7,Combivir,"changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and trunk)."
8,Combivir,"mental/mood changes (such as depression),"
9,Combivir,"signs of pancreatitis (such as vomiting, stomach/abdominal/back pain, fever),"
10,Combivir,"easy bruising or bleeding, or"
11,Combivir,skin or nail color changes.
12,Emtriva,headache
13,Emtriva,nausea
14,Emtriva,upset stomach
15,Emtriva,diarrhea
16,Emtriva,trouble sleeping
17,Emtriva,darkening skin color on palms of hands and soles of feet
18,Emtriva,dizziness
19,Emtriva,strange dreams
20,Emtriva,cough
21,Emtriva,runny nose
22,Emtriva,"skin rash or changes in the shape or location of body fat (especially in the arms legs face neck breasts 
	and trunk)"
23,Emtriva,"unexplained weight loss,"
24,Emtriva,"persistent muscle aches or weakness,"
25,Emtriva,"joint pain,"
26,Emtriva,"numbness or tingling of the hands/feet/arms/legs,"
27,Emtriva,"severe tiredness,"
28,Emtriva,"vision changes,"
29,Emtriva,"severe or persistent headaches,"
30,Emtriva,"signs of infection (such as fever, chills, trouble breathing, cough, non-healing skin sores),"
31,Emtriva,"signs of an overactive thyroid (such as irritability, nervousness, heat intolerance, fast/pounding/irregular heartbeat, bulging eyes, unusual growth in the neck/thyroid known as a goiter),"
32,Emtriva,"signs of a certain nerve problem known as Guillain-Barre Syndrome (such as difficulty breathing/swallowing/moving your eyes, drooping face, paralysis, slurred speech), or"
33,Emtriva,mental/mood changes (such as depression).
34,Epivir,"headache,"
35,Epivir,"dizziness,"
36,Epivir,"nausea,"
37,Epivir,"diarrhea,"
38,Epivir,"trouble sleeping,"
39,Epivir,"cough,"
40,Epivir,"tired feeling,"
41,Epivir,"runny or stuffy nose, or"
