State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
SC,Abbeville County,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
LA,Acadia Parish,"Acadia Parish, LA",22001,10,19.8,"50,606",HIV diagnoses,2018
VA,Accomack County,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Ada County,"Ada County, ID",16001,14,3.6,"391,848",HIV diagnoses,2018
OK,Adair County,"Adair County, OK",40001,0,0,"17,876",HIV diagnoses,2018
MO,Adair County,"Adair County, MO",29001,0,0,"22,046",HIV diagnoses,2018
KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Adair County,"Adair County, IA",19001,0,0,"5,993",HIV diagnoses,2018
WI,Adams County,"Adams County, WI",55001,0,0,"18,336",HIV diagnoses,2018
WA,Adams County,"Adams County, WA",53001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Adams County,"Adams County, IL",17001,0,0,"55,066",HIV diagnoses,2018
ID,Adams County,"Adams County, ID",16003,0,0,"3,718",HIV diagnoses,2018
CO,Adams County,"Adams County, CO",8001,48,11.6,"414,377",HIV diagnoses,2018
PA,Adams County,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OH,Adams County,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ND,Adams County,"Adams County, ND",38001,0,0,"1,978",HIV diagnoses,2018
NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Adams County,"Adams County, MS",28001,9,33.7,"26,672",HIV diagnoses,2018
IA,Adams County,"Adams County, IA",19003,0,0,"3,084",HIV diagnoses,2018
IN,Adams County,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VT,Addison County,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Aiken County,"Aiken County, SC",45003,24,16.8,"143,165",HIV diagnoses,2018
MN,Aitkin County,"Aitkin County, MN",27001,0,0,"14,058",HIV diagnoses,2018
FL,Alachua County,"Alachua County, FL",12001,41,17.5,"234,099",HIV diagnoses,2018
NC,Alamance County,"Alamance County, NC",37001,20,14.3,"140,226",HIV diagnoses,2018
CA,Alameda County,"Alameda County, CA",6001,198,14,"1,417,180",HIV diagnoses,2018
CO,Alamosa County,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WY,Albany County,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Albany County,"Albany County, NY",36001,26,9.7,"267,131",HIV diagnoses,2018
VA,Albemarle County,"Albemarle County, VA",51003,11,11.8,"93,431",HIV diagnoses,2018
MI,Alcona County,"Alcona County, MI",26001,0,0,"9,468",HIV diagnoses,2018
MS,Alcorn County,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Aleutians East Borough,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Aleutians West Census Area,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Alexander County,"Alexander County, IL",17003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Alexander County,"Alexander County, NC",37003,0,0,"32,141",HIV diagnoses,2018
VA,Alexandria City,"Alexandria City, VA",51510,27,19.7,"137,340",HIV diagnoses,2018
OK,Alfalfa County,"Alfalfa County, OK",40003,0,0,"4,922",HIV diagnoses,2018
MI,Alger County,"Alger County, MI",26003,0,0,"8,177",HIV diagnoses,2018
IA,Allamakee County,"Allamakee County, IA",19005,0,0,"11,449",HIV diagnoses,2018
MI,Allegan County,"Allegan County, MI",26005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Allegany County,"Allegany County, NY",36003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MD,Allegany County,"Allegany County, MD",24001,8,12.8,"62,300",HIV diagnoses,2018
VA,Alleghany County,"Alleghany County, VA",51005,0,0,"13,026",HIV diagnoses,2018
NC,Alleghany County,"Alleghany County, NC",37005,0,0,"9,806",HIV diagnoses,2018
PA,Allegheny County,"Allegheny County, PA",42003,85,8.1,"1,054,853",HIV diagnoses,2018
OH,Allen County,"Allen County, OH",39003,7,8.2,"85,848",HIV diagnoses,2018
KY,Allen County,"Allen County, KY",21003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Allen County,"Allen County, KS",20001,0,0,"10,498",HIV diagnoses,2018
IN,Allen County,"Allen County, IN",18003,25,8.2,"306,242",HIV diagnoses,2018
