Full Name,F Diag 08,F Diag Rate 08,M Diag 08,M Diag Rate 08,F Diag 09,F Diag Rate 09,M Diag 09,M Diag Rate 09,F Diag 10,F Diag Rate 10,M Diag 10,M Diag Rate 10,F Diag 11,F Diag Rate 11,M Diag 11,M Diag Rate 11,F Diag 12,F Diag Rate 12,M Diag 12,M Diag Rate 12,F Diag 13,F Diag Rate 13,M Diag 13,M Diag Rate 13,F Diag 14,F Diag Rate 14,M Diag 14,M Diag Rate 14,F Diag 15,F Diag Rate 15,M Diag 15,M Diag Rate 15,F Diag 16,F Diag Rate 16,M Diag 16,M Diag Rate 16,F Diag 17,F Diag Rate 17,M Diag 17,M Diag Rate 17,F Diag 18,F Diag Rate 18,M Diag 18,M Diag Rate 18
United States,11397,8.9,35893,29.2,10203,7.9,34548,27.9,9454,7.2,33613,26.9,8717,6.6,32594,25.8,8125,6.1,32404,25.4,7606,5.6,31624,24.6,7580,5.6,32383,24.9,7389,5.4,32407,24.7,7497,5.4,32023,24.2,7284,5.2,30942,23.2,7139,5.1,30147,22.5
Alabama,212,10.5,497,26.8,167,8.2,528,28.3,183,8.8,498,26,161,7.7,522,27.2,136,6.5,530,27.5,142,6.8,493,25.4,133,6.3,536,27.5,142,6.7,521,26.7,146,6.9,517,26.4,137,6.4,514,26.2,117,5.5,455,23.1
Alaska,8,3,31,10.6,9,3.3,12,4.1,10,3.6,25,8.3,7,2.5,17,5.6,9,3.2,19,6.1,6,2.1,17,5.4,7,2.5,31,9.8,5,1.8,20,6.3,8,2.8,29,9.1,8,2.8,26,8.2,4,1.4,16,5.1
Arizona,84,3.2,595,22.8,78,2.9,564,21.3,72,2.7,547,21.2,75,2.8,488,18.6,90,3.3,530,19.9,87,3.1,602,22.3,112,4,629,22.8,98,3.4,592,21.1,101,3.5,613,21.5,105,3.5,620,21.3,95,3.1,711,24
Arkansas,43,3.5,195,17,61,5,219,19,37,3,197,16.8,48,3.9,193,16.3,44,3.5,203,17.1,58,4.6,204,17.1,47,3.7,265,22.1,54,4.3,219,18.2,46,3.6,266,22,49,3.8,238,19.6,52,4,229,18.7
California,726,4.8,4993,33.6,663,4.4,4754,31.6,624,4,4648,30.6,556,3.5,4488,29.3,544,3.4,4506,29.1,509,3.2,4202,26.8,595,3.7,4574,28.9,539,3.3,4569,28.6,610,3.7,4562,28.3,529,3.2,4237,26.1,510,3,3888,23.8
Colorado,63,3.1,388,19.1,48,2.3,322,15.6,59,2.8,360,17.4,46,2.2,317,15.1,54,2.5,317,14.8,42,1.9,270,12.4,49,2.2,329,14.8,54,2.4,323,14.2,47,2,376,16.2,41,1.7,401,17,41,1.7,368,15.3
Connecticut,103,6.8,244,17.2,87,5.7,254,17.8,112,7.2,276,19,92,5.9,258,17.6,73,4.6,218,14.8,68,4.3,259,17.5,79,5,214,14.5,70,4.4,209,14.1,55,3.5,203,13.7,76,4.8,199,13.4,55,3.5,195,13.1
Delaware,46,12.2,107,30.6,39,10.2,111,31.4,27,6.9,96,26.6,27,6.8,87,23.9,37,9.3,100,27.1,28,6.9,81,21.7,42,10.3,73,19.3,19,4.6,84,22,26,6.2,86,22.3,36,8.5,90,23.1,22,5.2,69,17.5
District of Columbia,308,113.4,721,305.1,250,90.6,583,242.9,229,81,570,229.6,174,60.4,464,182.8,162,55.2,408,157.6,120,40.1,367,138.5,82,27,336,124.8,93,30.1,276,101,89,28.4,259,93.3,71,22.4,234,83.6,45,14.1,163,57.8
Florida,1631,20.5,4144,54.7,1324,16.6,3710,48.6,1199,14.5,3433,44.2,1132,13.5,3438,43.6,1019,12,3356,42,1057,12.3,3239,39.9,959,11,3517,42.7,961,10.8,3610,43,1017,11.2,3645,42.5,994,10.7,3569,40.9,976,10.4,3707,41.8
Georgia,808,20.1,2350,61.7,697,17.1,2213,57.2,651,15.9,2002,52.4,611,14.8,2051,53,569,13.6,2049,52.3,462,10.9,1876,47.4,464,10.8,1916,47.9,499,11.5,2125,52.5,494,11.2,2001,48.7,555,12.4,2009,48.3,566,12.5,1986,47.2
Hawaii,12,2.2,71,13.1,15,2.8,72,13.2,14,2.4,88,15.4,12,2.1,69,12,11,1.9,71,12.2,6,1,89,15.1,10,1.7,89,15,9,1.5,110,18.4,8,1.3,70,11.7,6,1,72,12,6,1,60,10.1
Idaho,8,1.3,41,6.7,4,0.6,44,7.1,10,1.6,34,5.4,6,0.9,29,4.6,5,0.8,32,5,2,0.3,25,3.9,0,0,22,3.3,5,0.7,35,5.2,8,1.2,37,5.4,4,0.6,42,6,8,1.1,29,4
Illinois,441,8.2,1365,26.5,376,6.9,1352,26,301,5.5,1356,26.2,317,5.8,1300,25,288,5.2,1359,26.1,282,5.1,1300,24.8,243,4.4,1290,24.6,241,4.4,1309,25,237,4.3,1246,23.8,221,4,1131,21.6,228,4.2,1124,21.5
Indiana,98,3.7,365,14.2,103,3.8,360,13.9,98,3.6,388,14.9,75,2.7,390,14.9,91,3.3,400,15.2,85,3.1,387,14.6,87,3.1,379,14.2,149,5.3,483,18,102,3.6,382,14.2,106,3.7,410,15.1,112,3.9,398,14.6
Iowa,17,1.3,78,6.4,21,1.7,102,8.3,20,1.6,94,7.6,20,1.5,92,7.3,20,1.5,96,7.6,32,2.5,88,6.9,17,1.3,77,6,26,2,98,7.6,28,2.1,105,8.2,24,1.8,100,7.7,31,2.3,85,6.5
Kansas,23,2,116,10.3,41,3.5,111,9.8,20,1.7,116,10.1,21,1.8,114,9.9,27,2.3,124,10.7,22,1.8,125,10.7,29,2.4,102,8.7,26,2.2,128,10.8,28,2.3,119,10,28,2.3,91,7.7,25,2.1,129,10.8
Kentucky,51,2.8,304,17.6,66,3.6,278,15.9,74,4,257,14.6,47,2.5,263,14.8,58,3.1,302,16.9,62,3.3,292,16.3,59,3.1,285,15.8,55,2.9,286,15.8,52,2.7,285,15.7,68,3.6,297,16.3,68,3.6,292,16
Louisiana,364,19.2,707,40.3,388,20.3,784,44.3,319,16.6,793,43.7,356,18.4,836,45.8,304,15.6,716,38.9,279,14.2,850,45.9,312,15.8,886,47.6,267,13.4,831,44.4,296,14.8,814,43.4,243,12.2,768,41,256,12.8,730,39
Maine,8,1.4,37,6.8,13,2.2,41,7.5,8,1.4,48,8.7,11,1.9,41,7.4,14,2.4,34,6.1,8,1.4,27,4.8,16,2.7,41,7.3,9,1.5,37,6.6,21,3.5,32,5.7,4,0.7,26,4.6,6,1,22,3.9
Maryland,693,28.3,1341,59.5,570,23.1,1108,48.8,565,22.4,1175,50.8,406,16,1014,43.4,366,14.3,960,40.7,373,14.4,927,38.9,365,14,870,36.3,320,12.2,856,35.5,309,11.8,791,32.7,287,10.9,734,30.2,270,10.2,709,29.1
Massachusetts,206,7.2,535,20.1,163,5.6,528,19.6,206,7.1,502,18.8,187,6.4,491,18.2,188,6.4,516,18.9,172,5.8,497,18.1,163,5.4,480,17.3,159,5.3,439,15.7,169,5.6,469,16.6,153,5,443,15.6,182,5.9,472,16.5
Michigan,170,4,604,14.9,159,3.7,644,15.9,149,3.5,613,15.3,157,3.7,614,15.3,148,3.5,641,15.8,126,2.9,622,15.3,142,3.3,639,15.7,129,3,596,14.6,117,2.7,628,15.3,143,3.3,635,15.4,147,3.4,571,13.8
Minnesota,85,3.9,245,11.4,76,3.5,304,14.1,74,3.3,261,12.1,77,3.4,218,10,64,2.8,250,11.4,75,3.3,231,10.4,72,3.1,239,10.7,72,3.1,224,9.9,67,2.9,229,10.1,69,3,204,8.9,66,2.8,217,9.4
Mississippi,167,13.4,350,30.6,145,11.6,352,30.7,113,9,339,29,136,10.7,389,33.2,90,7.1,353,30,111,8.7,359,30.3,109,8.5,365,30.8,109,8.5,397,33.5,99,7.7,326,27.5,107,8.3,320,26.9,106,8.2,373,31.3
Missouri,103,4,441,18.5,90,3.5,430,17.9,106,4.1,463,19.2,75,2.9,449,18.5,82,3.2,447,18.3,76,2.9,389,15.9,77,3,389,15.8,75,2.9,388,15.7,99,3.8,411,16.6,102,3.9,402,16.1,79,3,367,14.7
Montana,5,1.2,17,4.2,2,0.5,29,7.1,3,0.7,17,4.1,4,1,18,4.3,4,0.9,16,3.8,2,0.5,20,4.7,3,0.7,11,2.6,1,0.2,17,3.9,2,0.5,18,4.1,2,0.5,29,6.5,3,0.7,20,4.4
Nebraska,28,3.8,69,9.6,37,5,71,9.8,25,3.3,90,12.2,10,1.3,69,9.3,12,1.6,70,9.4,16,2.1,63,8.4,10,1.3,78,10.2,12,1.5,67,8.7,14,1.8,62,8,16,2,72,9.2,7,0.9,72,9.2
Nevada,61,5.9,326,30.3,58,5.5,304,27.9,62,5.6,311,27.8,54,4.9,328,29.2,47,4.2,315,27.6,57,5,375,32.4,52,4.4,376,32,60,5,416,34.8,71,5.8,441,36.2,61,4.9,430,34.7,63,5,445,35.1
New Hampshire,10,1.8,33,6,8,1.4,31,5.6,5,0.9,45,8.2,6,1,33,6,11,1.9,36,6.5,8,1.4,27,4.8,7,1.2,33,5.8,2,0.3,23,4,14,2.4,26,4.5,9,1.5,25,4.3,8,1.3,28,4.8
New Jersey,426,11.5,1005,28.7,402,10.8,996,28.3,367,9.6,981,27.7,310,8.1,865,24.3,322,8.4,952,26.6,306,8,902,25.1,315,8.2,927,25.7,281,7.3,919,25.4,283,7.3,913,25.2,282,7.3,843,23.2,242,6.2,802,22
New Mexico,18,2.2,134,16.8,28,3.4,132,16.4,21,2.4,126,15.2,20,2.3,118,14.1,10,1.1,107,12.7,18,2.1,123,14.5,15,1.7,118,13.9,9,1,126,14.8,15,1.7,129,15.1,18,2,118,13.7,19,2.1,102,11.8
New York,1211,14.3,3379,43,1063,12.5,3112,39.4,956,11.2,2959,37.8,906,10.6,2866,36.3,773,9,2747,34.6,661,7.7,2591,32.5,701,8.1,2623,32.8,615,7.1,2436,30.4,592,6.8,2228,27.8,564,6.5,2166,27.1,511,5.9,1959,24.5
North Carolina,422,10.8,1279,34.7,398,10,1179,31.5,351,8.6,1085,28.4,331,8,1102,28.5,280,6.7,950,24.3,253,6,1023,25.8,274,6.4,1037,25.9,258,5.9,1069,26.4,259,5.9,1127,27.4,253,5.7,1044,25.1,238,5.3,962,22.8
North Dakota,1,0.4,12,4.4,1,0.4,13,4.8,4,1.4,9,3.2,1,0.4,11,3.8,5,1.7,6,2,4,1.4,15,4.9,3,1,17,5.4,6,2,14,4.4,19,6.3,27,8.5,7,2.3,30,9.4,13,4.3,23,7.2
Ohio,219,4.4,837,18.1,225,4.5,820,17.6,168,3.4,814,17.5,223,4.5,819,17.6,179,3.6,838,17.9,178,3.6,859,18.3,132,2.6,814,17.2,183,3.6,742,15.7,191,3.8,770,16.2,182,3.6,804,16.9,171,3.4,813,17
