"Date Printed: Sunday, February 9, 2020 10:06:45 PM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2018","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","41",2.8,"1,482,073"
"HIV diagnoses","2018","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","70",11.2,"627,458"
"HIV diagnoses","2018","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","87",14.7,"592,302"
"HIV diagnoses","2018","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","192",29.8,"643,540"
"HIV diagnoses","2018","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","182",23.8,"763,986"
"HIV diagnoses","2017","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","52",3.6,"1,455,726"
"HIV diagnoses","2017","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","86",13.5,"636,448"
"HIV diagnoses","2017","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","109",18.4,"591,701"
"HIV diagnoses","2017","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","214",33.4,"640,156"
"HIV diagnoses","2017","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","190",24.7,"770,746"
"HIV diagnoses","2016","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","62",4.3,"1,428,741"
"HIV diagnoses","2016","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","97",15.1,"643,843"
"HIV diagnoses","2016","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","110",18.5,"594,173"
"HIV diagnoses","2016","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","215",33.8,"636,025"
"HIV diagnoses","2016","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","179",22.9,"780,190"
"HIV diagnoses","2015","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","66",4.7,"1,399,589"
"HIV diagnoses","2015","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","86",13.3,"648,992"
"HIV diagnoses","2015","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","113",18.8,"600,368"
"HIV diagnoses","2015","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","200",31.8,"629,640"
"HIV diagnoses","2015","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","198",25,"792,159"
"HIV diagnoses","2014","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","53",3.9,"1,370,618"
"HIV diagnoses","2014","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","76",11.6,"656,351"
