"Date Printed: Sunday, February 9, 2020 10:50:02 PM"
Title: HIV viral suppression | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"HIV viral suppression","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,946",61.1,"7,297"
"HIV viral suppression","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,857",59.4,"11,539"
"HIV viral suppression","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,577",55.9,"11,759"
"HIV viral suppression","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,987",52.4,"11,436"
"HIV viral suppression","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,537",50.3,"11,009"
"HIV viral suppression","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","654",76.6,"501"
"HIV viral suppression","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","472",74.8,"631"
"HIV viral suppression","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","426",71.8,"593"
"HIV viral suppression","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","412",64,"644"
"HIV viral suppression","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","375",58.6,"640"
"HIV viral suppression","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,228",27.3,"4,490"
"HIV viral suppression","2011","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","120,666",66.2,"79,917"
"HIV viral suppression","2015","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","75,358",64.3,"117,118"
"HIV viral suppression","2014","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","71,936",63.2,"113,883"
"HIV viral suppression","2013","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","62,378",55.6,"112,231"
"HIV viral suppression","2012","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","58,826",54,"108,925"
"HIV viral suppression","2011","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","55,974",53,"105,689"
"HIV viral suppression","2010","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","30,721",58.1,"52,842"
"HIV viral suppression","2016","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,765",56.4,"6,640"
"HIV viral suppression","2015","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,671",51,"11,114"
"HIV viral suppression","2014","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,216",48.7,"10,705"
"HIV viral suppression","2013","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9,912",64.9,"6,435"
"HIV viral suppression","2015","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,664",66.3,"10,052"
"HIV viral suppression","2014","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,812",68.6,"9,926"
"HIV viral suppression","2013","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,049",67.3,"2,052"
"HIV viral suppression","2015","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,964",64.2,"3,061"
"HIV viral suppression","2014","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,870",60.6,"3,088"
"HIV viral suppression","2013","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","410",13.6,"3,009"
"HIV viral suppression","2016","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14,115",55.2,"7,787"
"HIV viral suppression","2015","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,075",50.5,"14,023"
"HIV viral suppression","2014","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,526",51.6,"14,574"
"HIV viral suppression","2013","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,760",51.5,"15,075"
"HIV viral suppression","2012","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,481",50.4,"14,832"
"HIV viral suppression","2011","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,936",49.1,"14,140"
"HIV viral suppression","2010","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,940",42.6,"13,948"
"HIV viral suppression","2016","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","103,068",61.8,"63,746"
"HIV viral suppression","2015","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","60,984",60.4,"101,004"
"HIV viral suppression","2014","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","48,718",57.1,"27,827"
"HIV viral suppression","2015","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","26,746",56.7,"47,130"
"HIV viral suppression","2014","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","24,120",53.6,"44,967"
"HIV viral suppression","2013","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","22,509",50.7,"44,374"
"HIV viral suppression","2012","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13,408",35.8,"37,457"
"HIV viral suppression","2016","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,530",67.5,"1,707"
"HIV viral suppression","2015","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,602",61.6,"2,600"
"HIV viral suppression","2014","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,574",59.9,"2,626"
"HIV viral suppression","2013","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,419",54.6,"2,599"
"HIV viral suppression","2012","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,281",50.4,"2,540"
"HIV viral suppression","2011","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,301",51.5,"2,528"
"HIV viral suppression","2010","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","913",36.8,"2,481"
"HIV viral suppression","2016","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","33,938",53.5,"18,141"
"HIV viral suppression","2015","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","17,874",52.8,"33,835"
"HIV viral suppression","2014","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16,756",50.4,"33,271"
"HIV viral suppression","2013","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15,958",49.1,"32,489"
"HIV viral suppression","2012","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13,723",43.4,"31,623"
"HIV viral suppression","2011","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,089",36,"30,796"
"HIV viral suppression","2010","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,571",25.5,"29,708"
"HIV viral suppression","2016","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10,420",61.8,"6,440"
"HIV viral suppression","2015","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,262",62.1,"10,090"
"HIV viral suppression","2014","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,683",58.2,"9,771"
"HIV viral suppression","2013","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,629",59.7,"9,425"
"HIV viral suppression","2012","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,983",55,"9,065"
"HIV viral suppression","2011","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,733",54.1,"8,749"
"HIV viral suppression","2010","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,321",51.4,"8,403"
"HIV viral suppression","2016","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,427",78.9,"1,914"
"HIV viral suppression","2015","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,763",76.7,"2,300"
"HIV viral suppression","2014","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,659",73.3,"2,264"
"HIV viral suppression","2013","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,386",64.7,"2,142"
"HIV viral suppression","2012","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,311",62.8,"2,088"
"HIV viral suppression","2011","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,253",63.2,"1,984"
"HIV viral suppression","2010","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,106",58.2,"1,899"
"HIV viral suppression","2016","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","18,938",62.6,"11,862"
"HIV viral suppression","2015","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10,882",59.3,"18,337"
"HIV viral suppression","2014","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9,891",55.8,"17,717"
"HIV viral suppression","2013","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,716",51.7,"16,864"
"HIV viral suppression","2012","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,599",47.1,"16,142"
"HIV viral suppression","2011","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,856",43.6,"15,726"
"HIV viral suppression","2010","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,405",42.8,"14,965"
"HIV viral suppression","2016","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,454",76.3,"1,109"
"HIV viral suppression","2015","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","977",68.8,"1,420"
"HIV viral suppression","2014","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,011",73.4,"1,377"
"HIV viral suppression","2013","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","841",63.6,"1,322"
"HIV viral suppression","2012","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","523",40.8,"1,281"
"HIV viral suppression","2011","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","31,324",54.5,"17,081"
"HIV viral suppression","2015","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15,024",47.9,"31,366"
"HIV viral suppression","2014","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13,620",44.5,"30,598"
"HIV viral suppression","2013","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,128",41.8,"29,026"
"HIV viral suppression","2012","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,007",38.6,"28,542"
"HIV viral suppression","2011","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,366",30,"27,872"
"HIV viral suppression","2010","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","19,364",68.3,"13,234"
"HIV viral suppression","2015","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,380",65,"19,052"
"HIV viral suppression","2014","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,712",67.9,"18,714"
"HIV viral suppression","2013","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,262",67.5,"18,175"
"HIV viral suppression","2012","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14,501",70.7,"10,256"
"HIV viral suppression","2015","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9,095",65.7,"13,849"
"HIV viral suppression","2014","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,454",60.1,"14,063"
"HIV viral suppression","2013","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,097",56.4,"14,365"
"HIV viral suppression","2012","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,283",52.6,"13,856"
"HIV viral suppression","2011","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,568",49.1,"13,378"
"HIV viral suppression","2010","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,067",46.7,"12,985"
"HIV viral suppression","2016","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,732",68.1,"5,265"
"HIV viral suppression","2015","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,894",65.5,"7,468"
"HIV viral suppression","2014","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,806",66.4,"7,240"
"HIV viral suppression","2013","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,578",65,"7,043"
"HIV viral suppression","2012","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,380",38.1,"6,254"
"HIV viral suppression","2016","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,905",53.3,"4,747"
