Geography,M2F Diag 08,ID Diag 08,M2M Diag 08,M2MID Diag 08,O Diag 08,M2F Diag 09,ID Diag 09,M2M Diag 09,M2MID Diag 09,O Diag 09,M2F Diag 10,ID Diag 10,M2M Diag 10,M2MID Diag 10,O Diag 10,M2F Diag 11,ID Diag 11,M2M Diag 11,M2MID Diag 11,O Diag 11,M2F Diag 12,ID Diag 12,M2M Diag 12,M2MID Diag 12,O Diag 12,M2F Diag 13,ID Diag 13,M2M Diag 13,M2MID Diag 13,O Diag 13,M2F Diag 14,ID Diag 14,M2M Diag 14,M2MID Diag 14,O Diag 14,M2F Diag 15,ID Diag 15,M2M Diag 15,M2MID Diag 15,O Diag 15,M2F Diag 16,ID Diag 16,M2M Diag 16,M2MID Diag 16,O Diag 16,M2F Diag 17,ID Diag 17,M2M Diag 17,M2MID Diag 17,O Diag 17,M2F Diag 18,ID Diag 18,M2M Diag 18,M2MID Diag 18,O Diag 18
United States,14189,4455,26537,2017,93,12926,3793,26070,1876,85,12032,3307,25895,1752,82,11171,2827,25619,1618,77,10423,2549,25915,1565,77,9912,2333,25467,1432,87,9853,2222,26428,1395,66,9584,2328,26387,1432,65,9759,2192,26090,1409,71,9056,2343,25404,1347,76,8778,2478,24650,1305,76
Alabama,253,54,378,22,1,200,41,427,27,1,203,38,417,22,1,191,25,435,30,2,160,27,459,20,0,172,31,417,14,2,165,26,462,16,1,192,24,429,17,1,184,29,434,16,1,161,25,443,22,1,150,20,394,7,1
Alaska,10,4,22,3,0,9,5,8,0,0,8,3,24,0,0,8,4,12,0,0,11,2,13,1,1,9,1,12,1,0,14,0,23,1,0,9,0,15,1,0,9,0,26,2,0,7,3,20,4,0,3,2,12,3,0
Arizona,95,76,459,49,1,98,67,431,46,1,87,49,433,49,1,96,60,367,40,0,117,56,407,40,0,101,60,480,45,3,113,66,512,48,3,114,58,459,58,1,104,64,505,39,2,114,47,515,46,4,101,59,605,39,3
Arkansas,44,15,166,12,0,58,22,188,11,2,39,20,162,14,0,50,12,175,4,0,42,13,182,9,1,64,10,182,6,0,46,22,234,10,0,59,12,196,5,1,57,11,229,14,1,56,17,205,9,0,66,15,192,7,1
California,799,437,4101,373,9,716,363,3964,371,4,702,369,3892,303,6,588,287,3896,270,3,592,252,3925,277,5,585,257,3645,219,4,662,278,3993,230,6,591,256,4038,219,4,674,277,3993,223,6,564,283,3696,219,4,544,266,3386,198,5
Colorado,71,22,318,39,1,59,13,258,40,1,80,13,276,51,0,44,21,254,44,0,55,17,260,40,0,57,12,223,20,0,58,20,267,33,1,56,16,259,46,1,47,31,294,49,2,54,20,319,47,1,45,24,300,40,1
Connecticut,132,54,149,12,0,121,56,157,7,1,149,62,170,6,0,115,38,189,9,0,91,41,150,8,1,104,35,182,5,1,104,32,148,8,1,103,17,148,10,1,79,22,150,8,0,92,31,144,7,1,71,22,149,6,1
Delaware,60,21,67,5,0,53,21,71,5,0,49,7,62,4,0,38,10,63,3,0,63,10,61,3,1,41,8,54,6,0,57,8,50,1,0,34,6,57,5,0,54,3,51,3,0,50,13,59,5,0,35,4,48,4,0
District of Columbia,356,129,486,58,1,317,99,392,24,1,295,71,399,32,1,235,44,337,21,1,189,40,325,16,0,141,36,283,25,2,113,30,265,9,0,120,19,226,4,0,119,18,203,8,0,87,16,195,8,0,51,15,140,2,0
Florida,2372,389,2827,173,14,2051,303,2529,129,21,1816,259,2407,136,14,1801,196,2446,110,17,1624,193,2448,101,10,1531,190,2459,101,16,1512,198,2644,115,6,1479,185,2791,113,4,1584,179,2782,112,6,1538,180,2745,93,6,1588,220,2768,105,3
Georgia,944,230,1885,94,5,839,183,1790,95,3,773,150,1648,77,5,749,159,1681,69,4,698,132,1724,62,3,628,94,1561,53,3,642,94,1604,39,1,714,89,1765,54,2,685,76,1680,52,2,764,89,1669,39,4,712,90,1710,37,3
Hawaii,13,3,62,6,0,15,7,62,3,0,16,11,73,3,0,21,6,50,5,0,11,5,61,5,0,12,6,73,3,0,15,6,68,10,0,23,12,82,2,0,13,3,60,2,0,12,5,57,4,0,7,5,49,5,0
Idaho,12,1,29,7,0,3,5,35,6,0,10,4,23,6,0,6,1,27,1,0,3,4,22,9,0,4,2,16,5,0,2,0,17,4,0,10,2,25,3,0,12,2,27,4,0,7,1,29,8,0,9,3,21,5,0
Illinois,456,194,1059,88,9,410,150,1082,75,12,385,129,1073,64,6,364,112,1062,70,9,334,74,1169,56,14,329,68,1121,51,13,281,67,1118,61,7,292,56,1128,63,12,286,68,1067,51,12,269,55,993,22,13,275,66,968,33,11
Indiana,133,35,276,19,1,120,29,296,18,0,124,29,309,23,0,117,14,312,21,1,147,23,301,20,0,119,23,314,15,1,124,16,306,21,0,117,188,305,21,2,136,42,283,23,1,145,45,311,14,1,157,51,281,21,1
Iowa,19,7,67,1,0,30,14,75,4,0,28,7,67,11,0,28,3,68,13,0,24,8,71,13,0,34,7,75,4,0,20,7,61,6,0,27,12,79,6,0,37,4,83,8,0,30,8,77,9,0,34,7,65,10,0
Kansas,30,11,90,8,0,49,11,81,11,0,31,3,91,11,0,27,12,89,7,0,31,5,105,9,0,26,7,105,10,0,30,10,84,7,0,27,7,107,12,1,27,10,96,14,0,26,8,79,5,1,30,6,100,18,0
Kentucky,61,35,236,22,0,69,30,229,15,1,83,28,208,11,0,57,23,219,11,0,60,26,256,15,3,68,25,242,18,2,69,15,245,14,0,60,19,242,19,1,58,21,238,20,0,51,51,229,34,0,56,57,229,18,1
Louisiana,477,98,467,28,1,548,119,471,34,1,458,93,527,33,1,506,89,572,25,1,443,69,489,18,1,412,71,614,31,1,449,69,652,29,1,400,68,596,33,1,412,52,617,29,1,318,60,605,26,2,338,62,559,26,2
Maine,8,5,29,1,1,13,7,31,4,0,9,5,39,1,1,13,7,30,2,1,14,2,30,2,1,6,6,22,0,1,26,4,26,0,1,9,7,29,1,1,20,5,25,2,1,5,4,20,1,0,6,5,17,0,1
Maryland,848,338,783,60,5,730,203,702,42,1,717,184,789,42,8,540,121,725,34,1,525,98,675,25,3,528,84,648,36,4,500,63,655,15,1,474,62,619,20,1,438,60,575,24,2,381,61,561,16,1,368,53,544,13,2
Massachusetts,219,122,357,41,1,191,100,370,28,2,211,110,356,31,1,205,103,340,28,2,206,93,376,27,2,186,83,380,18,2,170,71,378,21,4,154,87,332,22,3,166,105,345,19,3,137,141,292,25,1,173,126,331,24,1
Michigan,183,65,497,29,1,187,51,539,26,1,170,59,514,17,2,175,48,525,22,2,168,48,550,22,2,156,54,516,18,4,158,34,569,18,3,138,43,524,19,2,127,42,542,32,3,142,48,562,24,2,142,56,495,21,4
Minnesota,88,21,201,21,0,88,16,256,20,1,83,17,215,19,1,85,12,185,13,1,71,18,211,14,1,88,10,194,13,1,80,11,202,14,3,83,9,175,25,4,83,10,173,27,3,83,13,157,19,2,75,15,169,22,2
Mississippi,182,40,280,14,1,178,29,274,15,2,133,34,267,18,1,175,22,315,12,0,125,16,292,8,2,154,17,292,7,1,132,10,324,6,1,213,2,286,4,0,176,5,243,1,0,152,11,259,4,1,130,17,326,5,1
Missouri,102,30,375,37,1,97,20,381,22,1,112,33,403,21,0,86,24,393,21,0,90,22,390,26,1,92,31,326,15,1,91,22,327,26,0,100,22,325,17,0,115,24,353,17,1,119,22,337,25,1,87,28,304,26,2
Montana,6,2,13,0,0,3,2,22,4,0,3,1,15,1,0,4,3,13,1,0,5,3,11,2,0,2,0,19,1,0,3,2,7,2,0,1,2,10,5,0,2,3,11,3,0,2,7,19,2,0,3,2,13,5,0
Nebraska,34,7,50,6,1,38,10,55,4,1,28,9,70,6,2,13,2,59,5,0,22,4,46,8,2,23,3,49,4,0,19,2,61,6,0,15,2,58,4,1,17,5,50,4,0,19,5,61,3,0,11,3,61,5,0
Nevada,67,31,260,28,1,56,24,262,20,0,64,20,264,25,0,54,23,284,19,3,51,21,265,25,0,66,22,309,34,1,61,24,311,31,1,68,25,352,30,1,80,32,369,31,0,60,31,364,36,0,74,22,382,29,2
New Hampshire,11,5,25,2,0,10,5,23,1,0,10,1,39,0,0,11,2,24,2,0,14,3,25,6,0,6,6,19,4,0,7,3,28,1,0,5,2,17,1,0,12,6,21,1,0,7,6,19,3,0,5,7,23,1,0
New Jersey,521,246,612,48,4,461,247,647,41,2,435,207,659,44,3,365,160,613,36,2,386,158,695,35,1,361,160,655,30,2,378,149,688,25,2,373,112,684,25,5,399,109,668,20,2,372,119,613,19,2,312,115,590,24,3
New Mexico,22,17,97,16,0,28,18,95,20,0,25,12,98,13,0,19,17,89,12,1,18,9,74,16,0,18,13,95,15,0,22,14,90,7,0,10,13,96,15,1,19,11,100,14,1,16,12,97,11,0,16,13,83,9,0
New York,1412,584,2418,167,9,1306,480,2239,146,5,1141,409,2232,127,6,1070,360,2206,133,4,943,301,2146,128,3,815,228,2087,121,2,840,243,2148,90,4,766,239,1967,77,2,733,204,1807,73,2,679,178,1799,70,5,618,193,1583,74,2
North Carolina,575,117,953,52,3,553,96,888,37,3,452,91,857,32,4,426,99,873,32,3,366,69,768,26,2,352,75,804,42,3,354,68,840,47,2,330,53,893,49,2,339,60,941,43,3,324,61,878,34,1,289,60,810,38,3
North Dakota,3,0,8,1,1,4,1,7,2,0,4,1,7,0,0,1,0,10,1,0,5,0,4,1,0,5,0,13,1,0,4,0,15,1,0,8,1,9,2,0,16,5,20,3,2,12,1,23,1,0,18,0,15,3,0
Ohio,274,58,687,33,3,276,58,671,39,1,202,41,699,38,2,242,62,703,33,2,198,51,722,43,3,201,61,738,34,4,164,45,705,31,2,185,65,645,27,3,191,82,643,43,3,167,107,664,46,1,158,133,653,39,1
Oklahoma,51,32,185,18,1,63,27,182,22,2,61,18,176,30,0,60,31,194,26,0,50,26,186,22,0,52,33,225,23,0,51,20,200,32,0,52,16,211,35,0,64,18,181,29,1,52,26,193,29,0,41,27,153,13,1
Oregon,44,26,194,22,1,22,25,169,33,0,32,15,165,24,1,21,20,171,27,0,33,13,197,26,1,30,16,157,25,0,25,21,157,36,0,25,23,150,23,1,29,15,157,25,0,31,29,128,16,0,28,34,143,26,0
Pennsylvania,813,249,645,65,2,621,241,731,63,2,565,170,685,57,3,550,141,645,42,1,543,152,673,46,1,484,103,667,38,1,469,70,624,34,0,389,82,669,32,1,404,70,625,32,1,290,118,654,26,1,254,148,563,34,3
Rhode Island,44,25,51,4,0,30,14,72,3,0,28,18,64,5,0,25,4,65,6,0,27,7,42,3,0,19,9,47,3,0,26,4,57,3,0,21,3,38,2,0,19,6,42,4,0,17,6,56,4,0,15,3,54,4,0
South Carolina,276,52,358,21,3,237,51,444,27,1,253,43,450,20,1,237,40,438,26,0,209,33,432,25,1,218,43,427,18,1,196,34,517,15,1,182,36,443,6,0,197,36,499,13,1,198,35,464,14,1,200,32,475,12,1
South Dakota,11,4,12,1,0,6,1,12,3,0,14,4,13,1,0,5,5,7,3,0,11,5,9,1,0,14,9,8,1,0,17,2,7,3,0,10,1,11,1,0,14,4,21,3,0,7,5,22,6,0,5,2,19,1,0
