Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After,Difference_Cases,Difference_Rates
US,43390,17,39004,14.5,4386,2.5
Alabama,687,17.4,642,15.8,45,1.6
Alaska,29,5.1,30,4.9,-1,0.2
Arizona,625,11.8,728,12.7,-103,-0.9
Arkansas,248,10.3,288,11.6,-40,-1.3
California,5300,17.3,4887,15.1,413,2.2
Colorado,395,9.5,390,8.5,5,1
Connecticut,343,11.5,280,9.2,63,2.3
Delaware,135,18.1,109,13.7,26,4.4
District of Columbia,774,147.1,356,61.2,418,85.9
Florida,4877,30.6,4542,26,335,4.6
Georgia,2800,35.2,2492,29.4,308,5.8
Hawaii,87,7.7,89,7.5,-2,0.2
Idaho,43,3.4,36,2.7,7,0.7
Illinois,1691,15.9,1475,13.7,216,2.2
Indiana,474,8.9,513,9.3,-39,-0.4
Iowa,112,4.4,118,4.6,-6,-0.2
Kansas,143,6.1,142,5.9,1,0.2
Kentucky,340,9.4,350,9.4,-10,0
Louisiana,1113,29.9,1089,28.3,24,1.6
Maine,51,4.5,42,3.6,9,0.9
Maryland,1640,34.1,1135,22.6,505,11.5
Massachusetts,704,12.6,633,10.8,71,1.8
Michigan,780,9.4,749,8.9,31,0.5
Minnesota,331,7.5,294,6.4,37,1.1
Mississippi,487,20.1,464,18.8,23,1.3
Missouri,537,10.8,476,9.3,61,1.5
Montana,23,2.8,21,2.4,2,0.4
Nebraska,96,6.5,82,5.2,14,1.3
Nevada,373,17,474,19.6,-101,-2.6
New Hampshire,44,3.9,35,3,9,0.9
New Jersey,1325,18.1,1169,15.6,156,2.5
New Mexico,143,8.6,135,7.8,8,0.8
New York,3994,24.3,2941,17.7,1053,6.6
North Carolina,1475,18.8,1300,15.4,175,3.4
North Dakota,13,2.3,30,4.8,-17,-2.5
Ohio,1028,10.7,973,10,55,0.7
Oklahoma,293,9.6,296,9.2,-3,0.4
Oregon,256,8,225,6.6,31,1.4
Pennsylvania,1541,14.4,1147,10.5,394,3.9
Rhode Island,107,11.9,77,8.4,30,3.5
South Carolina,735,19.2,719,17.4,16,1.8
South Dakota,25,3.8,32,4.6,-7,-0.8
Tennessee,896,17,744,13.4,152,3.6
Texas,4317,21.4,4442,19.8,-125,1.6
Utah,113,5.3,120,5.1,-7,0.2
Vermont,17,3.1,14,2.7,3,0.4
Virginia,974,14.7,906,12.9,68,1.8
Washington,512,9.1,449,7.4,63,1.7
West Virginia,79,5.1,76,4.9,3,0.2
Wisconsin,245,5.2,230,4.8,15,0.4
Wyoming,17,3.7,14,3,3,0.7
Ziebach County SD,0,0,0,0,0,0
Zavala County TX,0,0,0,0,0,0
Yuba County CA,0,0,,,,
Young County TX,0,0,0,0,0,0
York County NE,0,0,0,0,0,0
Yoakum County TX,0,0,0,0,0,0
Yellow Medicine County MN,0,0,0,0,0,0
Yates County NY,0,0,0,0,0,0
Yadkin County NC,0,0,,,,
Wyoming County WV,0,0,2,8.2,-2,-8.2
Wyoming County PA,0,0,0,0,0,0
Wyoming County NY,0,0,0,0,0,0
Wright County MO,0,0,0,0,0,0
Wright County IA,0,0,0,0,0,0
Worth County MO,0,0,0,0,0,0
Worth County IA,0,0,0,0,0,0
Woodward County OK,0,0,0,0,0,0
Woodson County KS,0,0,0,0,0,0
Woods County OK,0,0,0,0,0,0
Woodruff County AR,0,0,0,0,0,0
Wise County VA,0,0,0,0,0,0
Wise County TX,0,0,3,5.6,-3,-5.6
Winston County AL,0,0,0,0,0,0
Winona County MN,0,0,0,0,0,0
Winneshiek County IA,0,0,0,0,0,0
Winnebago County IA,0,0,0,0,0,0
Winkler County TX,0,0,0,0,0,0
Winchester City VA,2,10.5,,,,
Wilson County KS,0,0,0,0,0,0
Williams County OH,0,0,0,0,0,0
Williams County ND,0,0,2,7.4,-2,-7.4
Wilkinson County MS,0,0,0,0,0,0
Wilkin County MN,0,0,0,0,0,0
Wilkes County NC,4,7,,,,
Wilbarger County TX,0,0,0,0,0,0
Wichita County KS,0,0,0,0,0,0
Wibaux County MT,0,0,0,0,0,0
Whitley County IN,0,0,0,0,0,0
White Pine County NV,0,0,0,0,0,0
White County IN,0,0,0,0,0,0
White County IL,0,0,0,0,0,0
Wheeler County TX,0,0,0,0,0,0
Wheeler County OR,0,0,0,0,0,0
Wheeler County NE,0,0,0,0,0,0
Wheeler County GA,0,0,0,0,0,0
Wheatland County MT,0,0,0,0,0,0
Wetzel County WV,0,0,0,0,0,0
Weston County WY,0,0,0,0,0,0
Wells County ND,0,0,0,0,0,0
Wells County IN,0,0,0,0,0,0
Webster County WV,0,0,0,0,0,0
Webster County NE,0,0,0,0,0,0
Webster County IA,0,0,0,0,0,0
Weakley County TN,0,0,0,0,0,0
Waynesboro City VA,0,0,0,0,0,0
Wayne County WV,0,0,0,0,0,0
Wayne County UT,0,0,0,0,0,0
Wayne County TN,0,0,0,0,0,0
Wayne County NE,0,0,0,0,0,0
Wayne County MS,0,0,2,9.9,-2,-9.9
Wayne County MO,0,0,0,0,0,0
Wayne County IL,0,0,0,0,0,0
Wayne County IA,0,0,0,0,0,0
Waushara County WI,0,0,0,0,0,0
Waupaca County WI,0,0,0,0,0,0
Watonwan County MN,0,0,0,0,0,0
Washita County OK,0,0,0,0,0,0
Washington County OK,0,0,,,,
Washington County ME,0,0,0,0,0,0
Washington County KS,0,0,0,0,0,0
Washington County IN,0,0,0,0,0,0
Washington County ID,0,0,0,0,0,0
Washington County CO,0,0,0,0,0,0
Washington County AL,0,0,0,0,0,0
Washakie County WY,0,0,0,0,0,0
Waseca County MN,0,0,0,0,0,0
Wasco County OR,0,0,0,0,0,0
Wasatch County UT,0,0,0,0,0,0
Warrick County IN,0,0,,,,
Warren County IN,0,0,0,0,0,0
Warren County IA,0,0,0,0,0,0
Warren County GA,0,0,0,0,0,0
Ward County TX,0,0,0,0,0,0
Walworth County SD,0,0,0,0,0,0
Walthall County MS,0,0,0,0,0,0
Walsh County ND,0,0,0,0,0,0
Wallowa County OR,0,0,0,0,0,0
Wallace County KS,0,0,0,0,0,0
Walla Walla County WA,0,0,0,0,0,0
Waldo County ME,0,0,0,0,0,0
Wahkiakum County WA,0,0,0,0,0,0
Wadena County MN,0,0,0,0,0,0
Wabaunsee County KS,0,0,0,0,0,0
Wabasha County MN,0,0,0,0,0,0
Wabash County IL,0,0,0,0,0,0
Vernon County WI,0,0,0,0,0,0
Vernon County MO,0,0,0,0,0,0
Venango County PA,0,0,0,0,0,0
Van Wert County OH,0,0,0,0,0,0
Van Buren County TN,0,0,0,0,0,0
Van Buren County IA,0,0,0,0,0,0
Van Buren County AR,0,0,0,0,0,0
Valley County NE,0,0,0,0,0,0
Valley County MT,0,0,0,0,0,0
Upton County TX,0,0,0,0,0,0
Upshur County WV,0,0,0,0,0,0
Union County TN,0,0,0,0,0,0
Union County SD,0,0,0,0,0,0
Union County PA,0,0,,,,
Union County OR,0,0,0,0,0,0
Union County NM,0,0,0,0,0,0
Union County MS,0,0,0,0,0,0
Union County IN,0,0,0,0,0,0
Union County IL,0,0,0,0,0,0
Union County IA,0,0,0,0,0,0
Union County GA,0,0,0,0,0,0
Tyrrell County NC,0,0,0,0,0,0
Tyler County WV,0,0,0,0,0,0
Twin Falls County ID,0,0,2,3.8,-2,-3.8
Twiggs County GA,0,0,0,0,0,0
Tuscola County MI,0,0,0,0,0,0
Turner County SD,0,0,0,0,0,0
Tucker County WV,0,0,0,0,0,0
Trousdale County TN,0,0,0,0,0,0
Tripp County SD,0,0,0,0,0,0
Trinity County CA,0,0,0,0,0,0
Treutlen County GA,0,0,0,0,0,0
Trempealeau County WI,0,0,0,0,0,0
Trego County KS,0,0,0,0,0,0
Treasure County MT,0,0,0,0,0,0
Traverse County MN,0,0,0,0,0,0
Traill County ND,0,0,0,0,0,0
Towns County GA,0,0,0,0,0,0
Towner County ND,0,0,0,0,0,0
Toole County MT,0,0,0,0,0,0
Todd County SD,0,0,0,0,0,0
Todd County MN,0,0,0,0,0,0
Tishomingo County MS,0,0,0,0,0,0
Tipton County IN,0,0,0,0,0,0
Tioga County PA,0,0,0,0,0,0
Tillman County OK,0,0,0,0,0,0
Tillamook County OR,0,0,0,0,0,0
Thurston County NE,0,0,0,0,0,0
Throckmorton County TX,0,0,0,0,0,0
Thomas County NE,0,0,0,0,0,0
Thomas County KS,0,0,0,0,0,0
Thayer County NE,0,0,0,0,0,0
Teton County WY,0,0,0,0,0,0
Teton County MT,0,0,0,0,0,0
Teton County ID,0,0,0,0,0,0
Terry County TX,0,0,0,0,0,0
Terrell County TX,0,0,0,0,0,0
Terrell County GA,0,0,,,,
Tensas Parish LA,0,0,0,0,0,0
Teller County CO,0,0,0,0,0,0
Taylor County WV,0,0,0,0,0,0
Taylor County WI,0,0,0,0,0,0
Taylor County IA,0,0,0,0,0,0
Tattnall County GA,0,0,8,36.8,-8,-36.8
Tama County IA,0,0,0,0,0,0
Tallahatchie County MS,0,0,,,,
Switzerland County IN,0,0,0,0,0,0
Swisher County TX,0,0,0,0,0,0
Swift County MN,0,0,0,0,0,0
Sweet Grass County MT,0,0,0,0,0,0
Swain County NC,0,0,0,0,0,0
Sutton County TX,0,0,0,0,0,0
Sumter County AL,0,0,,,,
Summit County UT,0,0,0,0,0,0
Summers County WV,0,0,0,0,0,0
Sully County SD,0,0,0,0,0,0
Sullivan County PA,0,0,0,0,0,0
Sullivan County NH,0,0,0,0,0,0
Sullivan County MO,0,0,0,0,0,0
Sullivan County IN,0,0,0,0,0,0
Sublette County WY,0,0,0,0,0,0
Stutsman County ND,0,0,0,0,0,0
Storey County NV,0,0,0,0,0,0
Stonewall County TX,0,0,0,0,0,0
Stone County MS,0,0,2,16.4,-2,-16.4
Stone County MO,0,0,0,0,0,0
Stone County AR,0,0,0,0,0,0
Stokes County NC,0,0,0,0,0,0
Stoddard County MO,0,0,0,0,0,0
Stillwater County MT,0,0,0,0,0,0
Stewart County TN,0,0,0,0,0,0
Stevens County MN,0,0,0,0,0,0
Stevens County KS,0,0,0,0,0,0
Steuben County IN,0,0,0,0,0,0
Sterling County TX,0,0,0,0,0,0
Stephens County OK,0,0,0,0,0,0
Stephens County GA,0,0,0,0,0,0
Steele County ND,0,0,0,0,0,0
Steele County MN,0,0,0,0,0,0
Ste. Genevieve County MO,0,0,0,0,0,0
Starr County TX,0,0,6,12.3,-6,-12.3
Stark County ND,0,0,0,0,0,0
Stark County IL,0,0,0,0,0,0
Stanton County NE,0,0,0,0,0,0
Stanton County KS,0,0,0,0,0,0
Stanley County SD,0,0,0,0,0,0
Stafford County KS,0,0,0,0,0,0
Spink County SD,0,0,0,0,0,0
Socorro County NM,0,0,0,0,0,0
Snyder County PA,0,0,0,0,0,0
Smith County KS,0,0,0,0,0,0
Slope County ND,0,0,0,0,0,0
Sioux County NE,0,0,0,0,0,0
Sioux County ND,0,0,0,0,0,0
Sierra County NM,0,0,0,0,0,0
Sierra County CA,0,0,0,0,0,0
Sibley County MN,0,0,0,0,0,0
Shoshone County ID,0,0,0,0,0,0
Shiawassee County MI,0,0,0,0,0,0
Sherman County TX,0,0,0,0,0,0
Sherman County OR,0,0,0,0,0,0
Sherman County NE,0,0,0,0,0,0
Sherman County KS,0,0,0,0,0,0
Sheridan County WY,0,0,0,0,0,0
Sheridan County NE,0,0,0,0,0,0
Sheridan County ND,0,0,0,0,0,0
Sheridan County MT,0,0,0,0,0,0
Sheridan County KS,0,0,0,0,0,0
Shenandoah County VA,0,0,0,0,0,0
Shelby County OH,0,0,6,13.8,-6,-13.8
Shelby County MO,0,0,0,0,0,0
Shawano County WI,0,0,0,0,0,0
Sharp County AR,0,0,0,0,0,0
Shannon County MO,0,0,0,0,0,0
Seward County NE,0,0,0,0,0,0
Sevier County UT,0,0,0,0,0,0
Sevier County AR,0,0,0,0,0,0
Sequatchie County TN,0,0,0,0,0,0
Seneca County NY,0,0,0,0,0,0
Seminole County GA,0,0,0,0,0,0
Sedgwick County CO,0,0,0,0,0,0
Searcy County AR,0,0,0,0,0,0
Scotts Bluff County NE,0,0,0,0,0,0
Scott County MO,0,0,0,0,0,0
Scott County KS,0,0,0,0,0,0
Scott County IN,0,0,47,236,-47,-236
Scott County IL,0,0,0,0,0,0
Scott County AR,0,0,0,0,0,0
Scotland County MO,0,0,0,0,0,0
Schuyler County MO,0,0,0,0,0,0
Schuyler County IL,0,0,0,0,0,0
Schoolcraft County MI,0,0,0,0,0,0
Schoharie County NY,0,0,0,0,0,0
Schleicher County TX,0,0,0,0,0,0
Saunders County NE,0,0,0,0,0,0
Sargent County ND,0,0,0,0,0,0
Sanpete County UT,0,0,0,0,0,0
Sanders County MT,0,0,0,0,0,0
Sanborn County SD,0,0,0,0,0,0
San Saba County TX,0,0,0,0,0,0
San Miguel County CO,0,0,0,0,0,0
San Juan County UT,0,0,0,0,0,0
San Juan County CO,0,0,0,0,0,0
Saline County MO,0,0,0,0,0,0
Saline County KS,2,5.4,2,3.6,0,1.8
Saguache County CO,0,0,0,0,0,0
Sagadahoc County ME,0,0,0,0,0,0
Russell County VA,0,0,0,0,0,0
Russell County KS,0,0,0,0,0,0
Rusk County WI,0,0,0,0,0,0
Rush County IN,0,0,0,0,0,0
Runnels County TX,0,0,0,0,0,0
Routt County CO,0,0,0,0,0,0
Rosebud County MT,0,0,0,0,0,0
Roseau County MN,0,0,0,0,0,0
Roosevelt County MT,0,0,0,0,0,0
Rooks County KS,0,0,0,0,0,0
Roger Mills County OK,0,0,0,0,0,0
Rockbridge County VA,0,0,0,0,0,0
Rock County NE,0,0,0,0,0,0
Rock County MN,0,0,0,0,0,0
Roberts County TX,0,0,0,0,0,0
Roberts County SD,0,0,0,0,0,0
Roane County WV,0,0,0,0,0,0
Roane County TN,0,0,0,0,0,0
Ritchie County WV,0,0,0,0,0,0
Ripley County IN,0,0,0,0,0,0
Rio Grande County CO,0,0,0,0,0,0
Rio Blanco County CO,0,0,0,0,0,0
Ringgold County IA,0,0,0,0,0,0
Richland County WI,0,0,0,0,0,0
Richland County ND,0,0,0,0,0,0
Richland County MT,0,0,0,0,0,0
Richland County IL,0,0,0,0,0,0
Richardson County NE,0,0,0,0,0,0
Rich County UT,0,0,0,0,0,0
Rice County KS,0,0,0,0,0,0
Rhea County TN,0,0,0,0,0,0
Reynolds County MO,0,0,0,0,0,0
Republic County KS,0,0,0,0,0,0
Renville County ND,0,0,0,0,0,0
Renville County MN,0,0,0,0,0,0
Refugio County TX,0,0,0,0,0,0
Redwood County MN,0,0,0,0,0,0
Red Willow County NE,0,0,0,0,0,0
Red River Parish LA,0,0,0,0,0,0
Red River County TX,0,0,0,0,0,0
Real County TX,0,0,0,0,0,0
Reagan County TX,0,0,0,0,0,0
Rawlins County KS,0,0,0,0,0,0
Ransom County ND,0,0,0,0,0,0
Randolph County WV,0,0,0,0,0,0
Randolph County IL,0,0,0,0,0,0
Randolph County AL,0,0,0,0,0,0
Ramsey County ND,0,0,0,0,0,0
Ralls County MO,0,0,0,0,0,0
Rains County TX,0,0,0,0,0,0
Radford City VA,0,0,0,0,0,0
Quitman County GA,0,0,0,0,0,0
Quay County NM,0,0,0,0,0,0
Putnam County OH,0,0,0,0,0,0
Putnam County MO,0,0,0,0,0,0
Putnam County IL,0,0,0,0,0,0
Putnam County GA,0,0,3,16,-3,-16
Pushmataha County OK,0,0,0,0,0,0
Pulaski County IN,0,0,0,0,0,0
Pulaski County IL,0,0,0,0,0,0
Pulaski County GA,0,0,0,0,0,0
Prowers County CO,0,0,0,0,0,0
Price County WI,0,0,0,0,0,0
Presque Isle County MI,0,0,0,0,0,0
Presidio County TX,0,0,0,0,0,0
Prentiss County MS,0,0,0,0,0,0
Preble County OH,0,0,0,0,0,0
Pratt County KS,0,0,0,0,0,0
Prairie County MT,0,0,0,0,0,0
Poweshiek County IA,0,0,0,0,0,0
Power County ID,0,0,0,0,0,0
Powder River County MT,0,0,0,0,0,0
Potter County SD,0,0,0,0,0,0
Potter County PA,0,0,0,0,0,0
Pottawatomie County KS,0,0,0,0,0,0
Posey County IN,0,0,0,0,0,0
Poquoson City VA,0,0,0,0,0,0
Pope County MN,0,0,0,0,0,0
Pontotoc County OK,0,0,0,0,0,0
Pondera County MT,0,0,0,0,0,0
Polk County NE,0,0,0,0,0,0
Polk County NC,0,0,0,0,0,0
Polk County MO,0,0,0,0,0,0
Polk County MN,0,0,0,0,0,0
Polk County GA,0,0,5,14.5,-5,-14.5
Poinsett County AR,0,0,,,,
Pocahontas County WV,0,0,0,0,0,0
Pocahontas County IA,0,0,0,0,0,0
Plymouth County IA,0,0,0,0,0,0
Plumas County CA,0,0,0,0,0,0
Pleasants County WV,0,0,0,0,0,0
Platte County WY,0,0,0,0,0,0
Platte County NE,0,0,0,0,0,0
Plaquemines Parish LA,0,0,0,0,0,0
Piute County UT,0,0,0,0,0,0
Pitkin County CO,0,0,0,0,0,0
Piscataquis County ME,0,0,0,0,0,0
Pipestone County MN,0,0,0,0,0,0
Pike County OH,0,0,0,0,0,0
Pike County MO,0,0,0,0,0,0
Pike County IN,0,0,0,0,0,0
Pike County IL,0,0,0,0,0,0
Pike County AR,0,0,0,0,0,0
Pierce County NE,0,0,0,0,0,0
Pierce County ND,0,0,0,0,0,0
Pickett County TN,0,0,0,0,0,0
Pickens County GA,0,0,0,0,0,0
Piatt County IL,0,0,0,0,0,0
Phillips County MT,0,0,0,0,0,0
Phillips County KS,0,0,0,0,0,0
Phillips County CO,0,0,0,0,0,0
Phelps County NE,0,0,0,0,0,0
Pettis County MO,0,0,2,7.2,-2,-7.2
Petroleum County MT,0,0,0,0,0,0
Pershing County NV,0,0,0,0,0,0
Perry County MO,0,0,0,0,0,0
Perry County IN,0,0,0,0,0,0
Perry County AR,0,0,0,0,0,0
Perry County AL,0,0,0,0,0,0
Perkins County SD,0,0,0,0,0,0
Perkins County NE,0,0,0,0,0,0
Pepin County WI,0,0,0,0,0,0
Pennington County MN,0,0,0,0,0,0
Pendleton County WV,0,0,0,0,0,0
Pend Oreille County WA,0,0,0,0,0,0
Pembina County ND,0,0,0,0,0,0
Pecos County TX,0,0,0,0,0,0
Payette County ID,0,0,0,0,0,0
Pawnee County OK,0,0,0,0,0,0
Pawnee County NE,0,0,0,0,0,0
Pawnee County KS,0,0,0,0,0,0
Paulding County GA,2,1.5,10,8,-8,-6.5
Patrick County VA,0,0,0,0,0,0
Park County WY,0,0,0,0,0,0
Park County MT,0,0,0,0,0,0
Park County CO,0,0,0,0,0,0
Palo Pinto County TX,0,0,0,0,0,0
Page County IA,0,0,0,0,0,0
Oxford County ME,0,0,0,0,0,0
Owyhee County ID,0,0,0,0,0,0
Owen County IN,0,0,0,0,0,0
Overton County TN,0,0,0,0,0,0
Ouray County CO,0,0,0,0,0,0
Ouachita County AR,0,0,0,0,0,0
Ottawa County KS,0,0,0,0,0,0
Otoe County NE,0,0,0,0,0,0
Otero County CO,0,0,0,0,0,0
Oscoda County MI,0,0,0,0,0,0
Osceola County IA,0,0,0,0,0,0
Osborne County KS,0,0,0,0,0,0
Osage County MO,0,0,0,0,0,0
Osage County KS,0,0,0,0,0,0
Oregon County MO,0,0,0,0,0,0
Orange County VA,0,0,5,17.1,-5,-17.1
Orange County IN,0,0,0,0,0,0
Ontonagon County MI,0,0,0,0,0,0
Oneida County WI,0,0,0,0,0,0
Oneida County ID,0,0,0,0,0,0
Oliver County ND,0,0,0,0,0,0
Oldham County TX,0,0,0,0,0,0
Okmulgee County OK,2,6.1,0,0,2,6.1
Okeechobee County FL,4,13.1,6,16,-2,-2.9
Ohio County IN,0,0,0,0,0,0
Ogemaw County MI,0,0,0,0,0,0
Oconto County WI,0,0,0,0,0,0
Oconee County SC,0,0,6,9.7,-6,-9.7
Oconee County GA,0,0,0,0,0,0
Ochiltree County TX,0,0,0,0,0,0
Nye County NV,0,0,0,0,0,0
Nuckolls County NE,0,0,0,0,0,0
Noxubee County MS,2,27,0,0,2,27
Nowata County OK,0,0,0,0,0,0
Norton County KS,0,0,0,0,0,0
Norton City VA,0,0,0,0,0,0
Northumberland County VA,0,0,0,0,0,0
Norman County MN,0,0,0,0,0,0
Nolan County TX,0,0,0,0,0,0
Nodaway County MO,0,0,0,0,0,0
Nobles County MN,0,0,0,0,0,0
Noble County OK,0,0,0,0,0,0
Noble County OH,0,0,0,0,0,0
Noble County IN,0,0,0,0,0,0
Niobrara County WY,0,0,0,0,0,0
Nicholas County WV,0,0,0,0,0,0
Newton County TX,0,0,0,0,0,0
Newton County IN,0,0,0,0,0,0
Newton County AR,0,0,0,0,0,0
Newaygo County MI,0,0,0,0,0,0
Nevada County AR,0,0,0,0,0,0
Ness County KS,0,0,0,0,0,0
Neosho County KS,0,0,0,0,0,0
Nemaha County NE,0,0,0,0,0,0
Nemaha County KS,0,0,0,0,0,0
Nelson County ND,0,0,0,0,0,0
Nance County NE,0,0,0,0,0,0
Musselshell County MT,0,0,0,0,0,0
Murray County OK,0,0,0,0,0,0
Murray County MN,0,0,0,0,0,0
Mountrail County ND,0,0,0,0,0,0
Moultrie County IL,0,0,0,0,0,0
Motley County TX,0,0,0,0,0,0
Morton County ND,0,0,0,0,0,0
Morton County KS,0,0,0,0,0,0
Morrow County OR,0,0,0,0,0,0
Morrison County MN,0,0,0,0,0,0
Morris County TX,0,0,0,0,0,0
Morris County KS,0,0,0,0,0,0
Morrill County NE,0,0,0,0,0,0
Morgan County WV,0,0,0,0,0,0
Morgan County UT,0,0,0,0,0,0
Morgan County OH,0,0,0,0,0,0
Morgan County MO,0,0,0,0,0,0
Mora County NM,0,0,0,0,0,0
Moore County TX,0,0,,,,
Moore County TN,0,0,0,0,0,0
Moody County SD,0,0,0,0,0,0
Montour County PA,0,0,0,0,0,0
Montmorency County MI,0,0,0,0,0,0
Montgomery County MS,0,0,0,0,0,0
Montgomery County MO,0,0,0,0,0,0
Montgomery County IN,0,0,,,,
Montgomery County GA,0,0,0,0,0,0
Montgomery County AR,0,0,0,0,0,0
Montcalm County MI,0,0,0,0,0,0
Montague County TX,0,0,0,0,0,0
Monroe County WI,0,0,0,0,0,0
Monroe County OH,0,0,0,0,0,0
Monroe County MO,0,0,0,0,0,0
Monroe County IA,0,0,0,0,0,0
Monroe County GA,0,0,0,0,0,0
Monroe County AR,0,0,0,0,0,0
Monona County IA,0,0,0,0,0,0
Mitchell County TX,0,0,0,0,0,0
Mitchell County KS,0,0,0,0,0,0
Mitchell County IA,0,0,0,0,0,0
Missaukee County MI,0,0,0,0,0,0
Minidoka County ID,0,0,0,0,0,0
Mingo County WV,0,0,0,0,0,0
Mineral County WV,0,0,0,0,0,0
Mineral County NV,0,0,0,0,0,0
Mineral County MT,0,0,0,0,0,0
Mineral County CO,0,0,0,0,0,0
Miner County SD,0,0,0,0,0,0
Mills County TX,0,0,0,0,0,0
Miller County MO,0,0,0,0,0,0
Miller County GA,0,0,0,0,0,0
Millard County UT,0,0,0,0,0,0
Miami County KS,0,0,0,0,0,0
Merrick County NE,0,0,0,0,0,0
Mercer County ND,0,0,0,0,0,0
Mercer County MO,0,0,0,0,0,0
Mercer County IL,0,0,0,0,0,0
Menominee County WI,0,0,0,0,0,0
Menominee County MI,0,0,0,0,0,0
Menard County TX,0,0,0,0,0,0
Mellette County SD,0,0,0,0,0,0
Meigs County TN,0,0,0,0,0,0
Meigs County OH,0,0,0,0,0,0
Meeker County MN,0,0,0,0,0,0
Meagher County MT,0,0,0,0,0,0
Meade County KS,0,0,0,0,0,0
Mcpherson County SD,0,0,0,0,0,0
Mcpherson County NE,0,0,0,0,0,0
Mcnairy County TN,0,0,0,0,0,0
Mcmullen County TX,0,0,0,0,0,0
Mclean County ND,0,0,0,0,0,0
Mckenzie County ND,0,0,0,0,0,0
Mcintosh County ND,0,0,0,0,0,0
Mcintosh County GA,0,0,0,0,0,0
Mchenry County ND,0,0,0,0,0,0
Mcduffie County GA,0,0,,,,
Mcdonough County IL,0,0,0,0,0,0
Mcdonald County MO,0,0,0,0,0,0
Mcculloch County TX,0,0,0,0,0,0
Mccormick County SC,0,0,0,0,0,0
Mccook County SD,0,0,0,0,0,0
Mccone County MT,0,0,0,0,0,0
Mcclain County OK,0,0,0,0,0,0
Mayes County OK,0,0,0,0,0,0
Massac County IL,0,0,0,0,0,0
Mason County TX,0,0,0,0,0,0
Mason County IL,0,0,0,0,0,0
Martin County NC,0,0,2,12.4,-2,-12.4
Martin County MN,0,0,0,0,0,0
Martin County IN,0,0,0,0,0,0
Marshall County SD,0,0,0,0,0,0
Marshall County OK,0,0,0,0,0,0
Marshall County MN,0,0,0,0,0,0
Marshall County KS,0,0,0,0,0,0
Marshall County IL,0,0,0,0,0,0
Marquette County WI,0,0,0,0,0,0
Marquette County MI,0,0,0,0,0,0
Mariposa County CA,0,0,0,0,0,0
Marion County MO,0,0,,,,
Marion County KS,0,0,0,0,0,0
Marion County IL,0,0,,,,
Marion County AR,0,0,0,0,0,0
Marinette County WI,0,0,0,0,0,0
Maries County MO,0,0,0,0,0,0
Manistee County MI,0,0,0,0,0,0
Major County OK,0,0,0,0,0,0
Mahnomen County MN,0,0,0,0,0,0
Mahaska County IA,0,0,0,0,0,0
Madison County TX,2,13,,,,
Madison County NE,0,0,0,0,0,0
Madison County NC,0,0,0,0,0,0
Madison County MT,0,0,0,0,0,0
Madison County MO,0,0,0,0,0,0
Madison County ID,0,0,0,0,0,0
Madison County GA,0,0,0,0,0,0
Madison County AR,0,0,0,0,0,0
Mackinac County MI,0,0,0,0,0,0
Lyon County IA,0,0,0,0,0,0
Lynn County TX,0,0,0,0,0,0
Lyman County SD,0,0,0,0,0,0
Luna County NM,0,0,0,0,0,0
Luce County MI,0,0,0,0,0,0
Lucas County IA,0,0,0,0,0,0
Love County OK,0,0,0,0,0,0
Loup County NE,0,0,0,0,0,0
Louisa County IA,0,0,0,0,0,0
Loudon County TN,2,5.8,0,0,2,5.8
Los Alamos County NM,0,0,0,0,0,0
Long County GA,0,0,2,10.7,-2,-10.7
Logan County WV,0,0,0,0,0,0
Logan County NE,0,0,0,0,0,0
Logan County ND,0,0,0,0,0,0
Logan County KS,0,0,0,0,0,0
Logan County CO,0,0,0,0,0,0
Logan County AR,0,0,0,0,0,0
Llano County TX,0,0,0,0,0,0
Livingston County MO,0,0,0,0,0,0
Lipscomb County TX,0,0,0,0,0,0
Linn County MO,0,0,0,0,0,0
Lincoln County WV,0,0,0,0,0,0
Lincoln County WI,0,0,0,0,0,0
Lincoln County WA,0,0,0,0,0,0
Lincoln County OR,0,0,0,0,0,0
Lincoln County NV,0,0,0,0,0,0
Lincoln County NM,0,0,0,0,0,0
Lincoln County NE,0,0,0,0,0,0
Lincoln County MT,0,0,0,0,0,0
Lincoln County MO,0,0,0,0,0,0
Lincoln County MN,0,0,0,0,0,0
Lincoln County KS,0,0,0,0,0,0
Lincoln County ID,0,0,0,0,0,0
Lincoln County CO,0,0,0,0,0,0
Liberty County MT,0,0,0,0,0,0
