Full Name,Diag 08,Diag Rate 08,Diag 09,Diag Rate 09,Diag 10,Diag Rate 10,Diag 11,Diag Rate 11,Diag 12,Diag Rate 12,Diag 13,Diag Rate 13,Diag 14,Diag Rate 14,Diag 15,Diag Rate 15,Diag 16,Diag Rate 16,Diag 17,Diag Rate 17,Diag 18,Diag Rate 18
United States,47290,18.8,44751,17.7,43067,16.8,41311,16,40529,15.5,39230,14.9,39963,15,39796,14.8,39520,14.6,38226,14,37286,13.6
Alabama,709,18.3,695,17.8,681,17.1,683,17.1,666,16.6,635,15.7,669,16.5,663,16.3,663,16.2,651,15.9,572,13.9
Alaska,39,7,21,3.7,35,6.1,24,4.1,28,4.7,23,3.8,38,6.3,25,4.2,37,6.1,34,5.6,20,3.3
Arizona,679,13,642,12.1,619,11.8,563,10.6,620,11.5,689,12.6,741,13.3,690,12.2,714,12.4,725,12.3,806,13.4
Arkansas,238,10.1,280,11.8,234,9.7,241,9.9,247,10.1,262,10.7,312,12.7,273,11,312,12.6,287,11.5,281,11.2
California,5719,19.2,5417,18,5272,17.1,5044,16.2,5050,16.1,4711,14.9,5169,16.1,5108,15.8,5172,15.8,4766,14.5,4398,13.3
Colorado,451,11.1,370,9,419,10.1,363,8.6,371,8.6,312,7.1,378,8.5,377,8.3,423,9.1,442,9.4,409,8.5
Connecticut,347,11.8,341,11.6,388,12.9,350,11.6,291,9.6,327,10.7,293,9.6,279,9.1,258,8.4,275,9,250,8.2
Delaware,153,21,150,20.4,123,16.3,114,15,137,17.8,109,14,115,14.6,103,12.9,112,13.9,126,15.5,91,11.1
District of Columbia,1029,202.6,833,161.4,799,150.5,638,117.8,570,103.1,487,86.3,418,73,369,63.4,348,58.9,305,51.1,208,34.6
Florida,5775,37.2,5034,32.2,4632,28.9,4570,28.1,4375,26.5,4296,25.7,4476,26.4,4571,26.4,4662,26.4,4563,25.4,4683,25.6
Georgia,3158,40.3,2910,36.7,2653,33.5,2662,33.3,2618,32.3,2338,28.6,2380,28.7,2624,31.2,2495,29.3,2564,29.7,2552,29.2
Hawaii,83,7.7,87,8,102,8.9,81,7,82,7,95,8,99,8.3,119,10,78,6.5,78,6.5,66,5.5
Idaho,49,4,48,3.9,44,3.5,35,2.8,37,2.9,27,2.1,22,1.7,40,3,45,3.3,46,3.3,37,2.6
Illinois,1806,17.1,1728,16.3,1657,15.6,1617,15.2,1647,15.4,1582,14.7,1533,14.2,1550,14.4,1483,13.8,1352,12.6,1352,12.6
Indiana,463,8.8,463,8.8,486,9.1,465,8.7,491,9.1,472,8.7,466,8.5,632,11.5,484,8.8,516,9.3,510,9.1
Iowa,95,3.8,123,4.9,114,4.5,112,4.4,116,4.5,120,4.7,94,3.6,124,4.8,133,5.1,124,4.7,116,4.4
Kansas,139,6.1,152,6.6,136,5.8,135,5.8,151,6.4,147,6.2,131,5.5,154,6.4,147,6.1,119,5,154,6.4
Kentucky,355,10,344,9.6,331,9.2,310,8.5,360,9.9,354,9.6,344,9.3,341,9.2,337,9.1,365,9.8,360,9.6
Louisiana,1071,29.4,1172,31.8,1112,29.8,1192,31.6,1020,26.9,1129,29.6,1198,31.2,1098,28.5,1110,28.7,1011,26.1,986,25.5
Maine,45,4,54,4.8,56,4.9,52,4.6,48,4.2,35,3.1,57,5,46,4,53,4.6,30,2.6,28,2.4
Maryland,2034,43.3,1678,35.4,1740,36,1420,29.1,1326,26.9,1300,26.2,1235,24.7,1176,23.4,1100,21.8,1021,20.2,979,19.3
Massachusetts,741,13.4,691,12.4,708,12.7,678,12.1,704,12.4,669,11.7,643,11.1,598,10.3,638,10.9,596,10.1,654,11
Michigan,774,9.3,803,9.6,762,9.2,771,9.3,789,9.5,748,9,781,9.3,725,8.6,745,8.9,778,9.2,718,8.5
Minnesota,330,7.6,380,8.7,335,7.6,295,6.7,314,7.1,306,6.8,311,6.9,296,6.5,296,6.4,273,5.9,283,6.1
Mississippi,517,21.6,497,20.7,452,18.6,525,21.5,443,18.1,470,19.1,474,19.2,506,20.5,425,17.2,427,17.2,479,19.3
Missouri,544,11,520,10.5,569,11.4,524,10.5,529,10.5,465,9.2,466,9.2,463,9.1,510,10,504,9.8,446,8.7
Montana,22,2.7,31,3.8,20,2.4,22,2.6,20,2.4,22,2.6,14,1.6,18,2.1,20,2.3,31,3.5,23,2.6
Nebraska,97,6.7,108,7.4,115,7.7,79,5.3,82,5.4,79,5.2,88,5.7,79,5.1,76,4.9,88,5.6,79,5
Nevada,387,18.3,362,16.9,373,16.8,382,17.1,362,15.9,432,18.8,428,18.3,476,19.9,512,21,491,19.8,508,20
New Hampshire,43,3.8,39,3.5,50,4.5,39,3.5,47,4.1,35,3.1,40,3.5,25,2.2,40,3.4,34,2.9,36,3.1
New Jersey,1431,19.9,1398,19.3,1348,18.4,1175,15.9,1274,17.2,1208,16.2,1242,16.7,1200,16.1,1196,16,1125,15,1044,13.9
New Mexico,152,9.4,160,9.8,147,8.7,138,8.1,117,6.8,141,8.2,133,7.7,135,7.8,144,8.3,136,7.8,121,6.9
New York,4590,28.1,4175,25.4,3915,23.9,3772,22.9,3520,21.3,3252,19.6,3324,20,3051,18.3,2820,16.9,2730,16.4,2470,14.9
North Carolina,1701,22.4,1577,20.4,1436,18.1,1433,17.9,1230,15.2,1276,15.6,1311,15.8,1327,15.8,1386,16.3,1297,15,1200,13.7
North Dakota,13,2.4,14,2.6,13,2.3,12,2.1,11,1.9,19,3.2,20,3.3,20,3.2,46,7.4,37,5.9,36,5.8
Ohio,1056,11,1045,10.9,982,10.2,1042,10.8,1017,10.5,1037,10.7,946,9.7,925,9.5,961,9.8,986,10,984,10
Oklahoma,287,9.6,295,9.8,286,9.3,311,10,284,9.1,332,10.5,304,9.5,314,9.8,293,9.1,299,9.2,234,7.2
Oregon,286,9.1,249,7.8,237,7.4,239,7.3,270,8.2,228,6.9,239,7.1,222,6.5,226,6.5,203,5.8,230,6.5
Pennsylvania,1773,16.7,1658,15.6,1480,13.8,1380,12.8,1415,13.1,1292,11.9,1197,11,1173,10.8,1131,10.4,1088,10,1002,9.2
Rhode Island,123,13.8,119,13.3,115,12.8,100,11.1,78,8.6,78,8.6,89,9.8,64,7,71,7.8,83,9.1,76,8.3
