Geography,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,
,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases
Alabama,93,45,127,22,1,99,54,130,24,3,91,50,110,21,2,84,38,117,13,3,92,38,127,19,5,81,33,109,18,2,89,45,121,18,5,94,31,123,25,4,87,34,120,22,2,71,23,127,19,3
Alaska,6,6,8,1,0,4,3,6,0,0,5,2,8,1,0,3,3,6,0,0,1,3,4,3,0,4,5,4,2,1,5,0,6,2,0,4,0,4,3,0,4,1,7,1,0,1,4,3,0,0
Arizona,28,55,113,36,1,22,34,120,34,3,26,29,111,32,2,22,25,118,26,0,26,40,117,26,1,22,35,127,28,2,32,33,123,28,3,21,39,123,27,2,35,38,129,38,2,24,29,118,27,0
Arkansas,31,18,54,9,1,23,23,55,10,1,26,19,60,9,0,34,11,60,5,2,16,9,58,7,0,35,14,60,11,0,37,13,58,12,1,27,12,56,14,2,25,9,52,7,1,19,11,60,13,1
California,212,320,959,266,20,205,279,904,227,17,194,249,877,207,17,171,273,912,232,16,182,261,887,208,18,159,282,950,206,10,179,247,974,228,8,169,283,987,242,17,198,257,"1,053",240,17,168,231,"1,052",242,15
Colorado,11,18,66,22,1,10,22,89,22,1,18,25,78,15,1,18,23,64,21,0,5,21,65,20,1,7,16,72,18,1,19,12,91,23,1,12,12,82,17,1,14,14,80,18,1,15,21,78,19,1
Connecticut,54,155,36,12,3,42,140,32,14,6,43,116,39,9,1,44,110,54,6,1,43,101,34,10,3,33,97,31,13,0,25,105,39,12,2,48,82,43,7,3,46,88,48,11,2,39,105,43,8,3
Delaware,27,38,22,8,0,18,34,25,5,0,26,22,28,1,1,17,35,15,3,0,21,31,20,4,0,22,27,18,5,1,20,35,26,6,1,26,27,14,4,0,15,18,17,3,2,13,27,20,5,0
District of Columbia,77,118,81,31,1,81,98,92,17,2,84,86,70,15,2,90,89,80,15,5,76,64,71,17,3,63,60,59,19,0,65,61,69,15,0,72,63,93,23,4,74,61,96,20,2,82,70,63,12,3
