Geography,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,
,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,
,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"Abbeville County, SC",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Acadia Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,6,24.6,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Accomack County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Ada County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Adair County, IA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adair County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Adair County, MO",0,0,0,0,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0
"Adair County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,0,0,0,0,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0
