"Date Printed: Sunday, February 9, 2020 10:27:51 PM"
Title: HIV deaths | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | United States | All races/ethnicities | Both sexes | Ages 13 years and older | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","174","Data not available","NA"
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,163","Data not available","NA"
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,327","Data not available","NA"
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3,451","Data not available","NA"
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,855","Data not available","NA"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","177","Data not available","NA"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,226","Data not available","NA"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,387","Data not available","NA"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3,661","Data not available","NA"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,883","Data not available","NA"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","180","Data not available","NA"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,065","Data not available","NA"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,402","Data not available","NA"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3,638","Data not available","NA"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,575","Data not available","NA"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","153","Data not available","NA"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,241","Data not available","NA"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,346","Data not available","NA"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3,869","Data not available","NA"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,538","Data not available","NA"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","169","Data not available","NA"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,133","Data not available","NA"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,335","Data not available","NA"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3,878","Data not available","NA"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,401","Data not available","NA"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","194","Data not available","NA"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,299","Data not available","NA"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,290","Data not available","NA"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3,965","Data not available","NA"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,285","Data not available","NA"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","200","Data not available","NA"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,288","Data not available","NA"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,334","Data not available","NA"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","4,180","Data not available","NA"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,330","Data not available","NA"
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","174","Data not available","NA"
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,431","Data not available","NA"
