"Date Printed: Thursday, February 27, 2020 2:17:54 AM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | Ages 13 years and older | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","117",5.5,"2,141,967"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","455",23.1,"1,967,392"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","137",6.4,"2,133,287"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","514",26.2,"1,961,490"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","146",6.9,"2,125,061"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","517",26.4,"1,957,911"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","142",6.7,"2,117,377"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","521",26.7,"1,953,371"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","133",6.3,"2,110,869"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","536",27.5,"1,948,342"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","142",6.8,"2,101,141"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","493",25.4,"1,940,730"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","136",6.5,"2,089,581"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","530",27.5,"1,929,754"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","161",7.7,"2,077,945"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","522",27.2,"1,919,548"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","183",8.8,"2,068,063"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","498",26,"1,912,562"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","167",8.2,"2,030,630"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","528",28.3,"1,868,058"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","212",10.5,"2,017,863"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","497",26.8,"1,853,133"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4",1.4,"287,114"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","16",5.1,"314,981"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","8",2.8,"286,945"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","26",8.2,"316,216"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","8",2.8,"286,643"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","29",9.1,"317,514"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","5",1.8,"284,863"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","20",6.3,"316,078"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7",2.5,"284,286"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","31",9.8,"315,188"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","6",2.1,"284,573"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","17",5.4,"314,812"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","9",3.2,"282,704"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","19",6.1,"310,067"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7",2.5,"279,573"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","17",5.6,"304,994"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","10",3.6,"276,121"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","25",8.3,"301,628"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","9",3.3,"271,828"
