,Name,Type,Deaths_08,Death_Rate_08,Deaths_09,Death_Rate_09,Deaths_10,Death_Rate_10,Deaths_11,Death_Rate_11,Deaths_12,Death_Rate_12,Deaths_13,Death_Rate_13,Deaths_14,Death_Rate_14,Deaths_15,Death_Rate_15,Deaths_16,Death_Rate_16,Deaths_17,Death_Rate_17
1,US,National,"18,544",7.4,"18,064",7.1,"16,774",6.5,"16,331",6.3,"16,034",6.1,"15,917",6,"16,148",6.1,"15,859",5.9,"16,334",6,"15,969",5.9
0,Alabama,State,288,7.4,310,8.0,274,6.9,255,6.4,281,7.0,244,6.0,279,6.9,276,6.8,266,6.5,244,6.0
1,Alaska,State,21,3.8,13,2.3,16,2.8,12,2.1,11,1.9,16,2.7,12,2.0,12,2.0,13,2.2,8,1.3
2,Arizona,State,233,4.5,213,4.0,199,3.8,191,3.6,211,3.9,214,3.9,220,4.0,213,3.8,242,4.2,197,3.4
3,Arkansas,State,113,4.8,112,4.7,114,4.7,111,4.6,90,3.7,120,4.9,120,4.9,110,4.5,94,3.8,104,4.2
4,California,State,"1,777",6.0,"1,632",5.4,"1,543",5.0,"1,605",5.2,"1,555",5.0,"1,607",5.1,"1,635",5.1,"1,698",5.2,"1,765",5.4,"1,708",5.2
5,Colorado,State,118,2.9,144,3.5,137,3.3,126,3.0,112,2.6,114,2.6,146,3.3,124,2.7,127,2.7,133,2.8
6,Connecticut,State,260,8.9,234,7.9,209,6.9,214,7.1,191,6.3,175,5.7,184,6.0,183,6.0,195,6.4,197,6.4
7,Delaware,State,95,13.0,82,11.1,77,10.2,70,9.2,77,10.0,72,9.3,88,11.2,70,8.8,55,6.8,65,8.0
8,District of Columbia,State,308,60.6,290,56.2,258,48.6,279,51.5,231,41.8,200,35.5,210,36.7,255,43.8,253,42.8,230,38.5
9,Florida,State,"2,408",15.5,"2,229",14.3,"2,018",12.6,"2,012",12.4,"1,963",11.9,"2,000",12.0,"1,963",11.6,"2,080",12.0,"2,168",12.3,"2,077",11.6
10,Georgia,State,904,11.5,967,12.2,897,11.3,816,10.2,827,10.2,836,10.2,913,11.0,822,9.8,822,9.7,791,9.2
11,Hawaii,State,46,4.3,26,2.4,36,3.1,41,3.5,51,4.4,39,3.3,44,3.7,32,2.7,39,3.2,36,3.0
12,Idaho,State,16,1.3,7,0.6,15,1.2,14,1.1,24,1.9,14,1.1,21,1.6,14,1.0,12,0.9,19,1.4
13,Illinois,State,613,5.8,615,5.8,659,6.2,565,5.3,551,5.1,512,4.8,523,4.9,545,5.1,524,4.9,494,4.6
14,Indiana,State,202,3.9,206,3.9,171,3.2,199,3.7,169,3.1,181,3.3,180,3.3,177,3.2,197,3.6,190,3.4
15,Iowa,State,25,1.0,37,1.5,28,1.1,37,1.5,43,1.7,43,1.7,54,2.1,36,1.4,33,1.3,43,1.6
16,Kansas,State,58,2.5,41,1.8,49,2.1,46,2.0,44,1.9,56,2.4,46,1.9,51,2.1,49,2.0,47,2.0
17,Kentucky,State,137,3.8,125,3.5,119,3.3,110,3.0,117,3.2,120,3.3,119,3.2,123,3.3,122,3.3,130,3.5
18,Louisiana,State,484,13.3,539,14.6,456,12.2,473,12.6,470,12.4,416,10.9,422,11.0,420,10.9,419,10.8,399,10.3
19,Maine,State,26,2.3,24,2.1,22,1.9,24,2.1,19,1.7,30,2.6,19,1.7,19,1.7,23,2.0,35,3.0
20,Maryland,State,745,15.9,680,14.4,613,12.7,583,12.0,632,12.8,614,12.4,591,11.8,546,10.9,641,12.7,595,11.8
21,Massachusetts,State,297,5.4,299,5.4,281,5.0,261,4.6,267,4.7,269,4.7,263,4.5,298,5.1,292,5.0,297,5.0
