,Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After,Difference_Cases,Difference_Rates
1,US,43390.0,17.0,39004.0,14.5,4386.0,2.5
1,Alabama,687.0,17.4,642.0,15.8,45.0,1.5999999999999979
2,Alaska,29.0,5.1,30.0,4.9,-1.0,0.1999999999999993
3,Arizona,625.0,11.8,728.0,12.7,-103.0,-0.8999999999999986
4,Arkansas,248.0,10.3,288.0,11.6,-40.0,-1.299999999999999
5,California,5300.0,17.3,4887.0,15.1,413.0,2.200000000000001
6,Colorado,395.0,9.5,390.0,8.5,5.0,1.0
7,Connecticut,343.0,11.5,280.0,9.2,63.0,2.3000000000000007
8,Delaware,135.0,18.1,109.0,13.7,26.0,4.400000000000002
9,District of Columbia,774.0,147.1,356.0,61.2,418.0,85.89999999999999
10,Florida,4877.0,30.6,4542.0,26.0,335.0,4.600000000000001
11,Georgia,2800.0,35.2,2492.0,29.4,308.0,5.800000000000004
12,Hawaii,87.0,7.7,89.0,7.5,-2.0,0.20000000000000018
13,Idaho,43.0,3.4,36.0,2.7,7.0,0.6999999999999997
14,Illinois,1691.0,15.9,1475.0,13.7,216.0,2.200000000000001
15,Indiana,474.0,8.9,513.0,9.3,-39.0,-0.40000000000000036
16,Iowa,112.0,4.4,118.0,4.6,-6.0,-0.1999999999999993
17,Kansas,143.0,6.1,142.0,5.9,1.0,0.1999999999999993
18,Kentucky,340.0,9.4,350.0,9.4,-10.0,0.0
19,Louisiana,1113.0,29.9,1089.0,28.3,24.0,1.5999999999999979
20,Maine,51.0,4.5,42.0,3.6,9.0,0.8999999999999999
21,Maryland,1640.0,34.1,1135.0,22.6,505.0,11.5
22,Massachusetts,704.0,12.6,633.0,10.8,71.0,1.799999999999999
23,Michigan,780.0,9.4,749.0,8.9,31.0,0.5
24,Minnesota,331.0,7.5,294.0,6.4,37.0,1.0999999999999996
25,Mississippi,487.0,20.1,464.0,18.8,23.0,1.3000000000000007
26,Missouri,537.0,10.8,476.0,9.3,61.0,1.5
27,Montana,23.0,2.8,21.0,2.4,2.0,0.3999999999999999
28,Nebraska,96.0,6.5,82.0,5.2,14.0,1.2999999999999998
29,Nevada,373.0,17.0,474.0,19.6,-101.0,-2.6000000000000014
30,New Hampshire,44.0,3.9,35.0,3.0,9.0,0.8999999999999999
31,New Jersey,1325.0,18.1,1169.0,15.6,156.0,2.5000000000000018
32,New Mexico,143.0,8.6,135.0,7.8,8.0,0.7999999999999998
33,New York,3994.0,24.3,2941.0,17.7,1053.0,6.600000000000001
34,North Carolina,1475.0,18.8,1300.0,15.4,175.0,3.4000000000000004
35,North Dakota,13.0,2.3,30.0,4.8,-17.0,-2.5
36,Ohio,1028.0,10.7,973.0,10.0,55.0,0.6999999999999993
37,Oklahoma,293.0,9.6,296.0,9.2,-3.0,0.40000000000000036
38,Oregon,256.0,8.0,225.0,6.6,31.0,1.4000000000000004
39,Pennsylvania,1541.0,14.4,1147.0,10.5,394.0,3.9000000000000004
40,Rhode Island,107.0,11.9,77.0,8.4,30.0,3.5
41,South Carolina,735.0,19.2,719.0,17.4,16.0,1.8000000000000007
42,South Dakota,25.0,3.8,32.0,4.6,-7.0,-0.7999999999999998
43,Tennessee,896.0,17.0,744.0,13.4,152.0,3.5999999999999996
44,Texas,4317.0,21.4,4442.0,19.8,-125.0,1.5999999999999979
45,Utah,113.0,5.3,120.0,5.1,-7.0,0.20000000000000018
46,Vermont,17.0,3.1,14.0,2.7,3.0,0.3999999999999999
47,Virginia,974.0,14.7,906.0,12.9,68.0,1.799999999999999
48,Washington,512.0,9.1,449.0,7.4,63.0,1.6999999999999993
49,West Virginia,79.0,5.1,76.0,4.9,3.0,0.1999999999999993
50,Wisconsin,245.0,5.2,230.0,4.8,15.0,0.40000000000000036
51,Wyoming,17.0,3.7,14.0,3.0,3.0,0.7000000000000002
1,Ziebach County SD,0.0,0.0,0.0,0.0,0.0,0.0
2,Zavala County TX,0.0,0.0,0.0,0.0,0.0,0.0
3,Yuba County CA,0.0,0.0,,,,
4,Young County TX,0.0,0.0,0.0,0.0,0.0,0.0
5,York County NE,0.0,0.0,0.0,0.0,0.0,0.0
6,Yoakum County TX,0.0,0.0,0.0,0.0,0.0,0.0
7,Yellow Medicine County MN,0.0,0.0,0.0,0.0,0.0,0.0
8,Yates County NY,0.0,0.0,0.0,0.0,0.0,0.0
9,Yadkin County NC,0.0,0.0,,,,
10,Wyoming County WV,0.0,0.0,2.0,8.2,-2.0,-8.2
11,Wyoming County PA,0.0,0.0,0.0,0.0,0.0,0.0
12,Wyoming County NY,0.0,0.0,0.0,0.0,0.0,0.0
13,Wright County MO,0.0,0.0,0.0,0.0,0.0,0.0
14,Wright County IA,0.0,0.0,0.0,0.0,0.0,0.0
15,Worth County MO,0.0,0.0,0.0,0.0,0.0,0.0
16,Worth County IA,0.0,0.0,0.0,0.0,0.0,0.0
17,Woodward County OK,0.0,0.0,0.0,0.0,0.0,0.0
18,Woodson County KS,0.0,0.0,0.0,0.0,0.0,0.0
19,Woods County OK,0.0,0.0,0.0,0.0,0.0,0.0
20,Woodruff County AR,0.0,0.0,0.0,0.0,0.0,0.0
21,Wise County VA,0.0,0.0,0.0,0.0,0.0,0.0
22,Wise County TX,0.0,0.0,3.0,5.6,-3.0,-5.6
23,Winston County AL,0.0,0.0,0.0,0.0,0.0,0.0
24,Winona County MN,0.0,0.0,0.0,0.0,0.0,0.0
25,Winneshiek County IA,0.0,0.0,0.0,0.0,0.0,0.0
26,Winnebago County IA,0.0,0.0,0.0,0.0,0.0,0.0
27,Winkler County TX,0.0,0.0,0.0,0.0,0.0,0.0
28,Winchester City VA,2.0,10.5,,,,
29,Wilson County KS,0.0,0.0,0.0,0.0,0.0,0.0
30,Williams County OH,0.0,0.0,0.0,0.0,0.0,0.0
31,Williams County ND,0.0,0.0,2.0,7.4,-2.0,-7.4
32,Wilkinson County MS,0.0,0.0,0.0,0.0,0.0,0.0
33,Wilkin County MN,0.0,0.0,0.0,0.0,0.0,0.0
34,Wilkes County NC,4.0,7.0,,,,
35,Wilbarger County TX,0.0,0.0,0.0,0.0,0.0,0.0
36,Wichita County KS,0.0,0.0,0.0,0.0,0.0,0.0
37,Wibaux County MT,0.0,0.0,0.0,0.0,0.0,0.0
38,Whitley County IN,0.0,0.0,0.0,0.0,0.0,0.0
39,White Pine County NV,0.0,0.0,0.0,0.0,0.0,0.0
40,White County IN,0.0,0.0,0.0,0.0,0.0,0.0
41,White County IL,0.0,0.0,0.0,0.0,0.0,0.0
42,Wheeler County TX,0.0,0.0,0.0,0.0,0.0,0.0
43,Wheeler County OR,0.0,0.0,0.0,0.0,0.0,0.0
44,Wheeler County NE,0.0,0.0,0.0,0.0,0.0,0.0
45,Wheeler County GA,0.0,0.0,0.0,0.0,0.0,0.0
46,Wheatland County MT,0.0,0.0,0.0,0.0,0.0,0.0
47,Wetzel County WV,0.0,0.0,0.0,0.0,0.0,0.0
48,Weston County WY,0.0,0.0,0.0,0.0,0.0,0.0
49,Wells County ND,0.0,0.0,0.0,0.0,0.0,0.0
