"Date Printed: Thursday, February 27, 2020 2:18:07 AM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | United States | All races/ethnicities | Female | Male | Ages 13 years and older | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7,139",5.1,"140,336,765"
"HIV diagnoses","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","30,147",22.5,"134,269,183"
"HIV diagnoses","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7,284",5.2,"139,255,181"
"HIV diagnoses","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","30,942",23.2,"133,205,723"
"HIV diagnoses","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7,497",5.4,"138,171,280"
"HIV diagnoses","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","32,023",24.2,"132,130,147"
"HIV diagnoses","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7,389",5.4,"137,032,024"
"HIV diagnoses","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","32,407",24.7,"130,973,498"
"HIV diagnoses","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7,580",5.6,"135,925,089"
"HIV diagnoses","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","32,383",24.9,"129,807,589"
"HIV diagnoses","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","7,606",5.6,"134,752,935"
"HIV diagnoses","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","31,624",24.6,"128,603,070"
"HIV diagnoses","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","8,125",6.1,"133,623,578"
"HIV diagnoses","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","32,404",25.4,"127,408,467"
"HIV diagnoses","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","8,717",6.6,"132,483,287"
"HIV diagnoses","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","32,594",25.8,"126,182,901"
"HIV diagnoses","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","9,454",7.2,"131,356,808"
"HIV diagnoses","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","33,613",26.9,"125,033,620"
"HIV diagnoses","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","10,203",7.9,"129,285,690"
"HIV diagnoses","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","34,548",27.9,"123,967,448"
"HIV diagnoses","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","11,397",8.9,"128,222,223"
"HIV diagnoses","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","35,893",29.2,"122,787,775"
