"Date Printed: Sunday, February 9, 2020 10:19:26 PM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","150","Data not available","NA"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","7","Data not available","NA"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","20","Data not available","NA"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","394","Data not available","NA"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","161","Data not available","NA"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","22","Data not available","NA"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","25","Data not available","NA"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","443","Data not available","NA"
