GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC26,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC39,HC01_EST_VC40
Id,Id2,Geography,Total; Estimate; Total population,Total; Estimate; Total population - AGE - Under 5 years,Total; Estimate; Total population - AGE - 5 to 9 years,Total; Estimate; Total population - AGE - 10 to 14 years,Total; Estimate; Total population - AGE - 15 to 19 years,Total; Estimate; Total population - AGE - 20 to 24 years,Total; Estimate; Total population - AGE - 25 to 29 years,Total; Estimate; Total population - AGE - 30 to 34 years,Total; Estimate; Total population - AGE - 35 to 39 years,Total; Estimate; Total population - AGE - 40 to 44 years,Total; Estimate; Total population - AGE - 45 to 49 years,Total; Estimate; Total population - AGE - 50 to 54 years,Total; Estimate; Total population - AGE - 55 to 59 years,Total; Estimate; Total population - AGE - 60 to 64 years,Total; Estimate; Total population - AGE - 65 to 69 years,Total; Estimate; Total population - AGE - 70 to 74 years,Total; Estimate; Total population - AGE - 75 to 79 years,Total; Estimate; Total population - AGE - 80 to 84 years,Total; Estimate; Total population - AGE - 85 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,Total; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,Total; Estimate; Total population - PERCENT IMPUTED - Sex,Total; Estimate; Total population - PERCENT IMPUTED - Age
0100000US,,United States,301621159,6.9,6.6,6.8,7.3,6.9,6.8,6.4,7.0,7.4,7.6,7.0,6.0,4.8,3.6,2.9,2.5,1.9,1.7,13.3,4.3,9.9,41.9,78.4,75.5,17.4,15.2,12.5,6.1,36.7,97.2,58.9,19.9,38.9,0.3,0.8
0400000US01,01,Alabama,4627851,6.7,6.7,6.7,7.2,7.0,6.7,6.0,6.6,7.1,7.4,7.0,6.2,5.2,4.1,3.2,2.7,1.9,1.6,13.3,4.3,9.9,40.7,78.6,75.7,18.7,16.3,13.5,6.2,37.3,93.7,60.8,21.7,39.1,0.4,0.9
0400000US02,02,Alaska,683478,7.4,6.9,7.0,8.3,8.6,7.5,6.4,6.7,7.5,8.2,7.9,6.4,4.3,2.6,1.7,1.2,0.7,0.7,13.9,5.2,11.8,45.0,77.1,73.5,11.1,9.2,6.9,2.6,33.3,109.5,50.1,10.3,39.8,0.2,0.6
0400000US04,04,Arizona,6338755,7.9,7.2,7.1,6.9,6.7,7.6,6.9,7.0,6.6,6.8,6.1,5.5,4.8,3.7,2.9,2.8,1.9,1.6,14.2,4.3,9.3,41.7,76.5,73.6,17.8,15.7,12.9,6.3,34.9,100.2,64.7,21.3,43.4,0.3,0.7
0400000US05,05,Arkansas,2834797,6.9,6.9,6.7,7.2,6.6,6.8,6.1,6.5,6.9,7.2,6.8,6.0,5.3,4.1,3.3,2.7,2.1,1.8,13.6,4.2,9.6,40.1,78.1,75.3,19.3,17.0,14.0,6.6,37.0,95.8,63.4,22.9,40.4,0.2,0.5
0400000US06,06,California,36553215,7.3,6.7,7.2,7.6,7.5,7.3,7.0,7.4,7.5,7.4,6.6,5.5,4.2,3.1,2.5,2.1,1.7,1.5,13.8,4.5,10.5,44.2,77.4,74.3,15.2,13.2,10.9,5.3,34.7,100.1,57.8,17.3,40.5,0.3,0.9
0400000US08,08,Colorado,4861515,7.2,6.8,6.5,6.7,6.9,7.8,7.1,7.6,7.3,7.9,7.3,6.1,4.6,3.0,2.4,1.9,1.5,1.3,13.3,4.1,9.6,43.5,78.2,75.5,14.8,12.7,10.1,4.7,35.7,101.7,53.1,15.5,37.5,0.3,0.6
0400000US09,09,Connecticut,3502309,6.1,6.3,6.7,7.2,6.4,5.7,5.8,7.1,8.0,8.3,7.5,6.3,5.1,3.6,3.0,2.5,2.1,2.3,13.0,4.3,9.2,40.1,79.6,76.6,18.6,16.3,13.5,6.9,39.1,95.0,58.3,21.3,37.0,0.2,0.8
0400000US10,10,Delaware,864764,6.8,6.1,6.7,7.2,6.7,6.3,5.9,6.9,7.5,7.6,7.0,6.0,5.5,4.0,3.1,2.8,1.7,1.8,12.8,4.1,9.9,40.7,79.0,76.2,19.0,16.7,13.5,6.4,37.8,93.8,59.5,21.6,37.9,0.3,0.7
