GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC01_EST_VC05,HC02_EST_VC05,HC01_EST_VC06,HC02_EST_VC06,HC01_EST_VC07,HC02_EST_VC07,HC01_EST_VC08,HC02_EST_VC08,HC01_EST_VC09,HC02_EST_VC09,HC01_EST_VC10,HC02_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC01_EST_VC13,HC02_EST_VC13,HC01_EST_VC14,HC02_EST_VC14,HC01_EST_VC15,HC02_EST_VC15,HC01_EST_VC16,HC02_EST_VC16,HC01_EST_VC17,HC02_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC01_EST_VC23,HC02_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC01_EST_VC25,HC02_EST_VC25,HC01_EST_VC26,HC02_EST_VC26,HC01_EST_VC27,HC02_EST_VC27,HC01_EST_VC28,HC02_EST_VC28,HC01_EST_VC29,HC02_EST_VC29,HC01_EST_VC30,HC02_EST_VC30,HC01_EST_VC31,HC02_EST_VC31,HC01_EST_VC32,HC02_EST_VC32,HC01_EST_VC33,HC02_EST_VC33,HC01_EST_VC34,HC02_EST_VC34,HC01_EST_VC37,HC02_EST_VC37,HC01_EST_VC38,HC02_EST_VC38,HC01_EST_VC39,HC02_EST_VC39,HC01_EST_VC40,HC02_EST_VC40,HC01_EST_VC41,HC02_EST_VC41,HC01_EST_VC44,HC02_EST_VC44,HC01_EST_VC45,HC02_EST_VC45
Id,Id2,Geography,Total; Estimate; Total population,Percent; Estimate; Total population,Total; Estimate; AGE - Under 5 years,Percent; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Percent; Estimate; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Percent; Estimate; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Percent; Estimate; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Percent; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Percent; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Percent; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Percent; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Percent; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Percent; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Percent; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Percent; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Percent; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Percent; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Percent; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Percent; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Percent; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Percent; Estimate; AGE - 85 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Percent; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Total; Estimate; SELECTED AGE CATEGORIES - 15 to 17 years,Percent; Estimate; SELECTED AGE CATEGORIES - 15 to 17 years,Total; Estimate; SELECTED AGE CATEGORIES - Under 18 years,Percent; Estimate; SELECTED AGE CATEGORIES - Under 18 years,Total; Estimate; SELECTED AGE CATEGORIES - 18 to 24 years,Percent; Estimate; SELECTED AGE CATEGORIES - 18 to 24 years,Total; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Percent; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Total; Estimate; SELECTED AGE CATEGORIES - 16 years and over,Percent; Estimate; SELECTED AGE CATEGORIES - 16 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 18 years and over,Percent; Estimate; SELECTED AGE CATEGORIES - 18 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 21 years and over,Percent; Estimate; SELECTED AGE CATEGORIES - 21 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Percent; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 62 years and over,Percent; Estimate; SELECTED AGE CATEGORIES - 62 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 65 years and over,Percent; Estimate; SELECTED AGE CATEGORIES - 65 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 75 years and over,Percent; Estimate; SELECTED AGE CATEGORIES - 75 years and over,Total; Estimate; SUMMARY INDICATORS - Median age (years),Percent; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Percent; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Percent; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Old-age dependency ratio,Percent; Estimate; SUMMARY INDICATORS - Old-age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Percent; Estimate; SUMMARY INDICATORS - Child dependency ratio,Total; Estimate; PERCENT ALLOCATED - Sex,Percent; Estimate; PERCENT ALLOCATED - Sex,Total; Estimate; PERCENT ALLOCATED - Age,Percent; Estimate; PERCENT ALLOCATED - Age
0100000US,,United States,325719178,(X),19795159,6.1,20095947,6.2,21130768,6.5,21497166,6.6,21950055,6.7,23085789,7.1,21879946,6.7,21373244,6.6,19744661,6.1,20948890,6.4,21382065,6.6,21765184,6.7,20254592,6.2,16926936,5.2,12804940,3.9,8854621,2.7,5969742,1.8,6259473,1.9,41226715,12.7,12626809,3.9,73648683,22.6,30820412,9.5,129530861,39.8,260564248,80.0,252070495,77.4,238648563,73.3,71070304,21.8,62536354,19.2,50815712,15.6,21083836,6.5,38.1,(X),97.0,(X),61.8,(X),25.2,(X),36.6,(X),(X),0.1,(X),1.7
0400000US01,01,Alabama,4874747,(X),288897,5.9,299117,6.1,314609,6.5,336176,6.9,326341,6.7,323695,6.6,305183,6.3,305656,6.3,290350,6.0,310367,6.4,319963,6.6,329812,6.8,321365,6.6,268718,5.5,212195,4.4,141230,2.9,98405,2.0,82668,1.7,613726,12.6,191438,3.9,1094061,22.4,471079,9.7,1887401,38.7,3906384,80.1,3780686,77.6,3564164,73.1,1124581,23.1,993444,20.4,803216,16.5,322303,6.6,38.9,(X),93.8,(X),63.7,(X),27.0,(X),36.7,(X),(X),0.1,(X),2.1
0400000US02,02,Alaska,739795,(X),52919,7.2,54491,7.4,48746,6.6,47758,6.5,54320,7.3,62707,8.5,55442,7.5,55766,7.5,41358,5.6,41908,5.7,47144,6.4,49003,6.6,45192,6.1,34504,4.7,22334,3.0,12092,1.6,8071,1.1,6040,0.8,103237,14.0,29025,3.9,185181,25.0,73053,9.9,317351,42.9,573196,77.5,554614,75.0,525783,71.1,128233,17.3,107917,14.6,83041,11.2,26203,3.5,34.5,(X),109.0,(X),56.9,(X),17.6,(X),39.3,(X),(X),0.0,(X),2.4
0400000US04,04,Arizona,7016270,(X),435041,6.2,439162,6.3,478839,6.8,476414,6.8,475452,6.8,499445,7.1,453882,6.5,442224,6.3,417233,5.9,429169,6.1,421272,6.0,433857,6.2,413430,5.9,394533,5.6,306632,4.4,230010,3.3,138737,2.0,130938,1.9,918001,13.1,279686,4.0,1632728,23.3,672180,9.6,2764650,39.4,5571583,79.4,5383542,76.7,5084668,72.5,1614280,23.0,1447871,20.6,1200850,17.1,499685,7.1,37.7,(X),98.8,(X),67.7,(X),28.7,(X),39.0,(X),(X),0.1,(X),1.9
0400000US05,05,Arkansas,3004279,(X),186640,6.2,199930,6.7,199660,6.6,209425,7.0,200226,6.7,197480,6.6,185306,6.2,190300,6.3,180696,6.0,185059,6.2,190828,6.4,194372,6.5,187333,6.2,162714,5.4,128881,4.3,96547,3.2,55188,1.8,53694,1.8,399590,13.3,122203,4.1,708433,23.6,287448,9.6,1163433,38.7,2375324,79.1,2295846,76.4,2165739,72.1,684357,22.8,607540,20.2,497024,16.5,205429,6.8,38.1,(X),97.1,(X),67.0,(X),27.6,(X),39.4,(X),(X),0.1,(X),1.8
0400000US06,06,California,39536653,(X),2460425,6.2,2468508,6.2,2597863,6.6,2569487,6.5,2761097,7.0,3124228,7.9,2893997,7.3,2706394,6.8,2526483,6.4,2606810,6.6,2552937,6.5,2495755,6.3,2267852,5.7,1835876,4.6,1362679,3.4,927803,2.3,657869,1.7,720590,1.8,5066371,12.8,1530590,3.9,9057386,22.9,3799994,9.6,16581686,41.9,31510759,79.7,30479267,77.1,28872308,73.0,7772669,19.7,6822072,17.3,5504817,13.9,2306262,5.8,36.5,(X),98.8,(X),58.3,(X),22.0,(X),36.3,(X),(X),0.1,(X),2.3
0400000US08,08,Colorado,5607154,(X),332593,5.9,346265,6.2,369721,6.6,361580,6.4,374927,6.7,436176,7.8,430994,7.7,399860,7.1,362296,6.5,368199,6.6,346557,6.2,367628,6.6,336659,6.0,278796,5.0,202548,3.6,127314,2.3,80877,1.4,84164,1.5,715986,12.8,213780,3.8,1262359,22.5,522727,9.3,2365833,42.2,4488813,80.1,4344795,77.5,4123152,73.5,1110358,19.8,971549,17.3,773699,13.8,292355,5.2,36.8,(X),101.2,(X),57.0,(X),21.7,(X),35.3,(X),(X),0.1,(X),1.7
0400000US09,09,Connecticut,3588184,(X),182194,5.1,195071,5.4,224082,6.2,244257,6.8,248726,6.9,222189,6.2,221952,6.2,217358,6.1,204022,5.7,247645,6.9,267680,7.5,268023,7.5,243891,6.8,189220,5.3,149858,4.2,97385,2.7,72294,2.0,92337,2.6,419153,11.7,140931,3.9,742278,20.7,352052,9.8,1358504,37.9,2937891,81.9,2845906,79.3,2690570,75.0,844985,23.5,744392,20.7,601094,16.8,262016,7.3,40.9,(X),95.3,(X),59.8,(X),26.8,(X),33.1,(X),(X),0.1,(X),1.6
0400000US10,10,Delaware,961939,(X),54907,5.7,56924,5.9,57597,6.0,59926,6.2,58899,6.1,69339,7.2,61610,6.4,60156,6.3,50912,5.3,58755,6.1,65777,6.8,67129,7.0,66791,6.9,58619,6.1,45739,4.8,31501,3.3,18454,1.9,18904,2.0,114521,11.9,34885,3.6,204313,21.2,83940,8.7,360842,37.5,781963,81.3,757626,78.8,718238,74.7,240008,25.0,212082,22.0,173217,18.0,68859,7.2,40.1,(X),93.8,(X),64.6,(X),29.6,(X),35.0,(X),(X),0.1,(X),1.6
