,Area,Year,Annual Avg Pay,Annual Avg Weekly Wage,Area Type,Area Code
0,U.S. TOTAL,2007,44458,855,Nation,US000
1,Alabama  ,2007,37492,721,State,01000
2,Alaska  ,2007,43972,846,State,02000
3,Arizona  ,2007,41551,799,State,04000
4,Arkansas  ,2007,34118,656,State,05000
5,California  ,2007,50538,972,State,06000
6,Colorado  ,2007,45396,873,State,08000
7,Connecticut  ,2007,58029,1116,State,09000
8,Delaware  ,2007,47308,910,State,10000
9,District of Columbia,2007,73450,1412,State,11000
10,Florida  ,2007,39746,764,State,12000
11,Georgia  ,2007,42178,811,State,13000
12,Hawaii  ,2007,39466,759,State,15000
13,Idaho  ,2007,33544,645,State,16000
14,Illinois  ,2007,47685,917,State,17000
15,Indiana  ,2007,37528,722,State,18000
16,Iowa  ,2007,35738,687,State,19000
17,Kansas  ,2007,37044,712,State,20000
18,Kentucky  ,2007,36480,702,State,21000
19,Louisiana  ,2007,38229,735,State,22000
20,Maine  ,2007,35129,676,State,23000
21,Maryland  ,2007,48241,928,State,24000
22,Massachusetts  ,2007,55244,1062,State,25000
23,Michigan  ,2007,43357,834,State,26000
24,Minnesota  ,2007,44375,853,State,27000
25,Mississippi  ,2007,32291,621,State,28000
26,Missouri  ,2007,38603,742,State,29000
27,Montana  ,2007,32224,620,State,30000
28,Nebraska  ,2007,35238,678,State,31000
29,Nevada  ,2007,42149,811,State,32000
30,New Hampshire  ,2007,43863,844,State,33000
31,New Jersey  ,2007,53853,1036,State,34000
32,New Mexico  ,2007,36379,700,State,35000
33,New York  ,2007,59439,1143,State,36000
34,North Carolina  ,2007,38909,748,State,37000
35,North Dakota  ,2007,33086,636,State,38000
36,Ohio  ,2007,39917,768,State,39000
37,Oklahoma  ,2007,35491,683,State,40000
38,Oregon  ,2007,39569,761,State,41000
39,Pennsylvania  ,2007,43239,832,State,42000
40,Rhode Island  ,2007,41646,801,State,44000
41,South Carolina  ,2007,35393,681,State,45000
42,South Dakota  ,2007,31655,609,State,46000
43,Tennessee  ,2007,39082,752,State,47000
44,Texas  ,2007,44695,860,State,48000
45,Utah  ,2007,37054,713,State,49000
46,Vermont  ,2007,36956,711,State,50000
47,Virginia  ,2007,45995,885,State,51000
48,Washington  ,2007,45021,866,State,53000
49,West Virginia  ,2007,34106,656,State,54000
50,Wisconsin  ,2007,38050,732,State,55000
51,Wyoming  ,2007,39254,755,State,56000
52,U.S. TOTAL,2008,45563,876,Nation,US000
53,Alabama  ,2008,38734,745,State,01000
54,Alaska  ,2008,45805,881,State,02000
55,Arizona  ,2008,42518,818,State,04000
56,Arkansas  ,2008,34919,672,State,05000
57,California  ,2008,51487,990,State,06000
58,Colorado  ,2008,46614,896,State,08000
59,Connecticut  ,2008,58395,1123,State,09000
60,Delaware  ,2008,47569,915,State,10000
61,District of Columbia,2008,76518,1472,State,11000
62,Florida  ,2008,40568,780,State,12000
63,Georgia  ,2008,42585,819,State,13000
64,Hawaii  ,2008,40675,782,State,15000
65,Idaho  ,2008,33897,652,State,16000
66,Illinois  ,2008,48719,937,State,17000
67,Indiana  ,2008,38403,739,State,18000
68,Iowa  ,2008,36964,711,State,19000
69,Kansas  ,2008,38178,734,State,20000
70,Kentucky  ,2008,37434,720,State,21000
71,Louisiana  ,2008,40381,777,State,22000
72,Maine  ,2008,36317,698,State,23000
73,Maryland  ,2008,49535,953,State,24000
74,Massachusetts  ,2008,56746,1091,State,25000
75,Michigan  ,2008,44245,851,State,26000
76,Minnesota  ,2008,45826,881,State,27000
77,Mississippi  ,2008,33508,644,State,28000
78,Missouri  ,2008,40361,776,State,29000
79,Montana  ,2008,33305,640,State,30000
80,Nebraska  ,2008,36243,697,State,31000
81,Nevada  ,2008,42984,827,State,32000
82,New Hampshire  ,2008,44912,864,State,33000
83,New Jersey  ,2008,55280,1063,State,34000
84,New Mexico  ,2008,37910,729,State,35000
85,New York  ,2008,60288,1159,State,36000
86,North Carolina  ,2008,39740,764,State,37000
87,North Dakota  ,2008,35075,675,State,38000
88,Ohio  ,2008,40784,784,State,39000
89,Oklahoma  ,2008,37284,717,State,40000
90,Oregon  ,2008,40500,779,State,41000
91,Pennsylvania  ,2008,44381,853,State,42000
92,Rhode Island  ,2008,43029,827,State,44000
93,South Carolina  ,2008,36252,697,State,45000
94,South Dakota  ,2008,32822,631,State,46000
